Head:  X: 0.2244526 ,Y: 0.3579701 ,Z: 1.438429
Shoulder Center:  X: 0.09507634 ,Y: 0.2355339 ,Z: 1.531631
Shoulder Left:  X: -0.05234132 ,Y: 0.1741726 ,Z: 1.477295
Shoulder Right:  X: 0.1825179 ,Y: 0.1360451 ,Z: 1.699527
Spine:  X: 0.05793479 ,Y: -0.02555042 ,Z: 1.632887
Hip Center:  X: 0.05011895 ,Y: -0.0771173 ,Z: 1.655969
Hip Left:  X: -0.01272495 ,Y: -0.1434186 ,Z: 1.632143
Hip Right:  X: 0.09303025 ,Y: -0.1458832 ,Z: 1.728173
Elbow Left:  X: -0.1341084 ,Y: -0.006428378 ,Z: 1.438239
Wrist Left:  X: -0.02386805 ,Y: -0.1599291 ,Z: 1.42093
Hand Left:  X: 0.01287873 ,Y: -0.211096 ,Z: 1.418883
Elbow Right:  X: 0.1814062 ,Y: -0.05391123 ,Z: 1.773
Wrist Right:  X: 0.2337924 ,Y: -0.1768601 ,Z: 1.614933
Hand Right:  X: 0.2951165 ,Y: -0.1841008 ,Z: 1.566244
--------------------------------------
Head:  X: 0.2240976 ,Y: 0.3586175 ,Z: 1.438109
Shoulder Center:  X: 0.09493235 ,Y: 0.2362317 ,Z: 1.531858
Shoulder Left:  X: -0.05268468 ,Y: 0.1746088 ,Z: 1.477447
Shoulder Right:  X: 0.1825761 ,Y: 0.1367697 ,Z: 1.699128
Spine:  X: 0.0577104 ,Y: -0.02543293 ,Z: 1.632842
Hip Center:  X: 0.04991228 ,Y: -0.07710482 ,Z: 1.655887
Hip Left:  X: -0.01292228 ,Y: -0.1433211 ,Z: 1.632039
Hip Right:  X: 0.09275648 ,Y: -0.1457637 ,Z: 1.727886
Elbow Left:  X: -0.1341887 ,Y: -0.01160178 ,Z: 1.43911
Wrist Left:  X: -0.02053273 ,Y: -0.1624557 ,Z: 1.420574
Hand Left:  X: 0.0173526 ,Y: -0.2127403 ,Z: 1.418116
Elbow Right:  X: 0.1830036 ,Y: -0.05160876 ,Z: 1.773567
Wrist Right:  X: 0.2270811 ,Y: -0.1817674 ,Z: 1.619844
Hand Right:  X: 0.2886356 ,Y: -0.1847149 ,Z: 1.570964
--------------------------------------
Head:  X: 0.2236367 ,Y: 0.3596507 ,Z: 1.437973
Shoulder Center:  X: 0.09453388 ,Y: 0.2373185 ,Z: 1.532235
Shoulder Left:  X: -0.05305005 ,Y: 0.1751551 ,Z: 1.477588
Shoulder Right:  X: 0.1824287 ,Y: 0.137033 ,Z: 1.698669
Spine:  X: 0.05686369 ,Y: -0.02487556 ,Z: 1.633185
Hip Center:  X: 0.0490687 ,Y: -0.07675599 ,Z: 1.656192
Hip Left:  X: -0.01364248 ,Y: -0.1429109 ,Z: 1.632182
Hip Right:  X: 0.09162343 ,Y: -0.1451271 ,Z: 1.728258
Elbow Left:  X: -0.1341721 ,Y: -0.01148185 ,Z: 1.439078
Wrist Left:  X: -0.01673467 ,Y: -0.1592419 ,Z: 1.418968
Hand Left:  X: 0.02241113 ,Y: -0.2084953 ,Z: 1.415984
Elbow Right:  X: 0.1839948 ,Y: -0.04987209 ,Z: 1.773838
Wrist Right:  X: 0.182694 ,Y: -0.2020805 ,Z: 1.650717
Hand Right:  X: 0.2437125 ,Y: -0.1983817 ,Z: 1.601179
--------------------------------------
Head:  X: 0.2232166 ,Y: 0.3612253 ,Z: 1.437749
Shoulder Center:  X: 0.09415583 ,Y: 0.2383946 ,Z: 1.532366
Shoulder Left:  X: -0.05326414 ,Y: 0.1759047 ,Z: 1.477864
Shoulder Right:  X: 0.1822668 ,Y: 0.1373216 ,Z: 1.698364
Spine:  X: 0.05654313 ,Y: -0.02474183 ,Z: 1.633099
Hip Center:  X: 0.04876304 ,Y: -0.0767615 ,Z: 1.656072
Hip Left:  X: -0.01383123 ,Y: -0.1427713 ,Z: 1.632053
Hip Right:  X: 0.09117697 ,Y: -0.1449918 ,Z: 1.727805
Elbow Left:  X: -0.1337697 ,Y: -0.009375389 ,Z: 1.439211
Wrist Left:  X: -0.02016474 ,Y: -0.1600775 ,Z: 1.42028
Hand Left:  X: 0.01770359 ,Y: -0.2103115 ,Z: 1.417687
Elbow Right:  X: 0.1848286 ,Y: -0.04597626 ,Z: 1.774801
Wrist Right:  X: 0.2204891 ,Y: -0.186211 ,Z: 1.628577
Hand Right:  X: 0.3168205 ,Y: -0.1853714 ,Z: 1.552015
--------------------------------------
Head:  X: 0.2225636 ,Y: 0.3620025 ,Z: 1.437462
Shoulder Center:  X: 0.09371732 ,Y: 0.2391613 ,Z: 1.532518
Shoulder Left:  X: -0.05353862 ,Y: 0.1763698 ,Z: 1.478065
Shoulder Right:  X: 0.182163 ,Y: 0.1380284 ,Z: 1.698338
Spine:  X: 0.05679316 ,Y: -0.0244989 ,Z: 1.634024
Hip Center:  X: 0.04926043 ,Y: -0.07671125 ,Z: 1.657306
Hip Left:  X: -0.01267811 ,Y: -0.1429452 ,Z: 1.6341
Hip Right:  X: 0.09210239 ,Y: -0.1441958 ,Z: 1.729067
Elbow Left:  X: -0.1337543 ,Y: -0.009269642 ,Z: 1.439174
Wrist Left:  X: -0.01898103 ,Y: -0.1589924 ,Z: 1.420209
Hand Left:  X: 0.01927674 ,Y: -0.2089 ,Z: 1.417605
Elbow Right:  X: 0.1855569 ,Y: -0.04440742 ,Z: 1.775661
Wrist Right:  X: 0.1817704 ,Y: -0.1993196 ,Z: 1.656626
Hand Right:  X: 0.2434096 ,Y: -0.1987824 ,Z: 1.607636
--------------------------------------
Head:  X: 0.2215282 ,Y: 0.3634598 ,Z: 1.437032
Shoulder Center:  X: 0.09311855 ,Y: 0.240066 ,Z: 1.532623
Shoulder Left:  X: -0.05389419 ,Y: 0.1769532 ,Z: 1.478273
Shoulder Right:  X: 0.182082 ,Y: 0.13816 ,Z: 1.69827
Spine:  X: 0.05584773 ,Y: -0.02386804 ,Z: 1.63403
Hip Center:  X: 0.04829692 ,Y: -0.07623047 ,Z: 1.657254
Hip Left:  X: -0.01369405 ,Y: -0.1423146 ,Z: 1.633817
Hip Right:  X: 0.09098516 ,Y: -0.1437194 ,Z: 1.729006
Elbow Left:  X: -0.1336027 ,Y: -0.008617681 ,Z: 1.439318
Wrist Left:  X: -0.01751434 ,Y: -0.1571699 ,Z: 1.419251
Hand Left:  X: 0.02118178 ,Y: -0.2066874 ,Z: 1.416278
Elbow Right:  X: 0.1858743 ,Y: -0.04375699 ,Z: 1.775688
