--------------------------------------
Head:  X: 0.2121001 ,Y: 0.3244772 ,Z: 1.493291
Shoulder Center:  X: 0.1127047 ,Y: 0.1673092 ,Z: 1.543549
Shoulder Left:  X: -0.01806255 ,Y: 0.08554237 ,Z: 1.516728
Shoulder Right:  X: 0.2121196 ,Y: 0.06358033 ,Z: 1.725243
Spine:  X: 0.0416391 ,Y: -0.09845052 ,Z: 1.697415
Hip Center:  X: 0.02904156 ,Y: -0.1532637 ,Z: 1.729031
Hip Left:  X: -0.0471523 ,Y: -0.2100522 ,Z: 1.706245
Hip Right:  X: 0.07364778 ,Y: -0.2154707 ,Z: 1.81681
Elbow Left:  X: -0.039328 ,Y: -0.1003231 ,Z: 1.469457
Wrist Left:  X: 0.0462993 ,Y: -0.3254389 ,Z: 1.405134
Hand Left:  X: 0.1314382 ,Y: -0.307664 ,Z: 1.428037
Elbow Right:  X: 0.2047061 ,Y: -0.1198411 ,Z: 1.745912
Wrist Right:  X: 0.2582491 ,Y: -0.231937 ,Z: 1.511283
Hand Right:  X: 0.2870039 ,Y: -0.3397641 ,Z: 1.483752
--------------------------------------
Head:  X: 0.2105989 ,Y: 0.3306443 ,Z: 1.492403
Shoulder Center:  X: 0.1127224 ,Y: 0.1672537 ,Z: 1.543407
Shoulder Left:  X: -0.01796573 ,Y: 0.08549506 ,Z: 1.516587
Shoulder Right:  X: 0.2122425 ,Y: 0.06355464 ,Z: 1.725141
Spine:  X: 0.04183583 ,Y: -0.09877403 ,Z: 1.696803
Hip Center:  X: 0.02933533 ,Y: -0.1536743 ,Z: 1.72823
Hip Left:  X: -0.04671571 ,Y: -0.2104963 ,Z: 1.705269
Hip Right:  X: 0.07410996 ,Y: -0.2160036 ,Z: 1.815598
Elbow Left:  X: -0.03877256 ,Y: -0.1002842 ,Z: 1.46934
Wrist Left:  X: 0.04661167 ,Y: -0.3263065 ,Z: 1.405121
Hand Left:  X: 0.1316505 ,Y: -0.3081778 ,Z: 1.428032
Elbow Right:  X: 0.2046929 ,Y: -0.1197017 ,Z: 1.745904
Wrist Right:  X: 0.2591727 ,Y: -0.2343152 ,Z: 1.513007
Hand Right:  X: 0.2870106 ,Y: -0.3400355 ,Z: 1.483783
--------------------------------------
Head:  X: 0.2102765 ,Y: 0.3307611 ,Z: 1.492178
Shoulder Center:  X: 0.1126586 ,Y: 0.1671866 ,Z: 1.543266
Shoulder Left:  X: -0.01796825 ,Y: 0.08551741 ,Z: 1.516497
Shoulder Right:  X: 0.2123277 ,Y: 0.0636062 ,Z: 1.724997
Spine:  X: 0.04190938 ,Y: -0.09889995 ,Z: 1.696633
Hip Center:  X: 0.02946215 ,Y: -0.1538224 ,Z: 1.728031
Hip Left:  X: -0.04651098 ,Y: -0.2106953 ,Z: 1.705068
Hip Right:  X: 0.07432307 ,Y: -0.2161425 ,Z: 1.815314
Elbow Left:  X: -0.03854569 ,Y: -0.1001471 ,Z: 1.469257
Wrist Left:  X: 0.04701382 ,Y: -0.3269677 ,Z: 1.404971
Hand Left:  X: 0.1319304 ,Y: -0.3085108 ,Z: 1.427937
Elbow Right:  X: 0.2047978 ,Y: -0.1193886 ,Z: 1.746263
Wrist Right:  X: 0.2584895 ,Y: -0.2313239 ,Z: 1.512025
Hand Right:  X: 0.2756662 ,Y: -0.3173926 ,Z: 1.531417
--------------------------------------
Head:  X: 0.2116306 ,Y: 0.3297535 ,Z: 1.49246
Shoulder Center:  X: 0.1126075 ,Y: 0.1672353 ,Z: 1.543131
Shoulder Left:  X: -0.01788491 ,Y: 0.08538452 ,Z: 1.516396
Shoulder Right:  X: 0.2123711 ,Y: 0.06364753 ,Z: 1.724851
Spine:  X: 0.0418791 ,Y: -0.09894608 ,Z: 1.696553
Hip Center:  X: 0.02943755 ,Y: -0.1538871 ,Z: 1.72795
Hip Left:  X: -0.04650206 ,Y: -0.2107403 ,Z: 1.704993
Hip Right:  X: 0.07430073 ,Y: -0.2161688 ,Z: 1.815189
Elbow Left:  X: -0.03840625 ,Y: -0.1001762 ,Z: 1.469396
Wrist Left:  X: 0.04732319 ,Y: -0.3276466 ,Z: 1.404901
Hand Left:  X: 0.1321485 ,Y: -0.3089125 ,Z: 1.427898
Elbow Right:  X: 0.2048875 ,Y: -0.1190924 ,Z: 1.746598
Wrist Right:  X: 0.2596464 ,Y: -0.2347806 ,Z: 1.514772
Hand Right:  X: 0.2870298 ,Y: -0.3428297 ,Z: 1.484588
--------------------------------------
Head:  X: 0.2110333 ,Y: 0.3307519 ,Z: 1.49202
Shoulder Center:  X: 0.1126944 ,Y: 0.1671115 ,Z: 1.543101
Shoulder Left:  X: -0.01777381 ,Y: 0.08517759 ,Z: 1.516283
Shoulder Right:  X: 0.2124063 ,Y: 0.06364524 ,Z: 1.724796
Spine:  X: 0.04182316 ,Y: -0.0985973 ,Z: 1.697637
Hip Center:  X: 0.02931517 ,Y: -0.1532987 ,Z: 1.729544
Hip Left:  X: -0.04688701 ,Y: -0.2095262 ,Z: 1.707728
Hip Right:  X: 0.0742719 ,Y: -0.2153278 ,Z: 1.816957
Elbow Left:  X: -0.03824097 ,Y: -0.1002274 ,Z: 1.469079
Wrist Left:  X: 0.04733459 ,Y: -0.3277892 ,Z: 1.404966
Hand Left:  X: 0.1321232 ,Y: -0.3090051 ,Z: 1.427919
Elbow Right:  X: 0.2041275 ,Y: -0.1203901 ,Z: 1.746915
Wrist Right:  X: 0.2599213 ,Y: -0.2363823 ,Z: 1.51572
Hand Right:  X: 0.2870207 ,Y: -0.3431106 ,Z: 1.484604
--------------------------------------
Head:  X: 0.2095285 ,Y: 0.3328324 ,Z: 1.491825
Shoulder Center:  X: 0.1126579 ,Y: 0.1670711 ,Z: 1.543063
Shoulder Left:  X: -0.0177219 ,Y: 0.08505513 ,Z: 1.516189
Shoulder Right:  X: 0.2123443 ,Y: 0.06358746 ,Z: 1.724545
Spine:  X: 0.04194842 ,Y: -0.09885445 ,Z: 1.697479
Hip Center:  X: 0.02954058 ,Y: -0.1536647 ,Z: 1.729292
Hip Left:  X: -0.04624269 ,Y: -0.2104366 ,Z: 1.707
Hip Right:  X: 0.07446485 ,Y: -0.2155397 ,Z: 1.81676
Elbow Left:  X: -0.0379964 ,Y: -0.100208 ,Z: 1.468798
Wrist Left:  X: 0.04747014 ,Y: -0.3281883 ,Z: 1.404876
Hand Left:  X: 0.1321796 ,Y: -0.3092476 ,Z: 1.42786
Elbow Right:  X: 0.2044829 ,Y: -0.1189846 ,Z: 1.74679
Wrist Right:  X: 0.2605132 ,Y: -0.2385657 ,Z: 1.517809
Hand Right:  X: 0.287479 ,Y: -0.3418624 ,Z: 1.48467
--------------------------------------
Head:  X: 0.2089968 ,Y: 0.3350209 ,Z: 1.49137
Shoulder Center:  X: 0.1126852 ,Y: 0.1670864 ,Z: 1.543026
Shoulder Left:  X: -0.01761529 ,Y: 0.08497005 ,Z: 1.516123
Shoulder Right:  X: 0.2123182 ,Y: 0.06358106 ,Z: 1.724443
Spine:  X: 0.04146167 ,Y: -0.09860834 ,Z: 1.698677
Hip Center:  X: 0.02881989 ,Y: -0.1533602 ,Z: 1.73098
Hip Left:  X: -0.04707162 ,Y: -0.2095499 ,Z: 1.709268
Hip Right:  X: 0.07365901 ,Y: -0.2146757 ,Z: 1.818247
Elbow Left:  X: -0.0379215 ,Y: -0.1001318 ,Z: 1.468572
Wrist Left:  X: 0.0477654 ,Y: -0.3290928 ,Z: 1.404802
Hand Left:  X: 0.1323467 ,Y: -0.3097857 ,Z: 1.427819
Elbow Right:  X: 0.2040158 ,Y: -0.1201027 ,Z: 1.74687
Wrist Right:  X: 0.2590605 ,Y: -0.2333027 ,Z: 1.514462
Hand Right:  X: 0.2873966 ,Y: -0.3404117 ,Z: 1.484325
--------------------------------------
Head:  X: 0.2089554 ,Y: 0.3352184 ,Z: 1.491233
Shoulder Center:  X: 0.1126806 ,Y: 0.1670566 ,Z: 1.54298
Shoulder Left:  X: -0.0174688 ,Y: 0.08488639 ,Z: 1.516122
Shoulder Right:  X: 0.2122786 ,Y: 0.06346586 ,Z: 1.724293
Spine:  X: 0.04131208 ,Y: -0.09878024 ,Z: 1.698444
Hip Center:  X: 0.0286269 ,Y: -0.1535937 ,Z: 1.730618
Hip Left:  X: -0.04718573 ,Y: -0.2097869 ,Z: 1.708625
Hip Right:  X: 0.07327319 ,Y: -0.2150032 ,Z: 1.817764
Elbow Left:  X: -0.03783629 ,Y: -0.1000026 ,Z: 1.468069
Wrist Left:  X: 0.04180251 ,Y: -0.3027354 ,Z: 1.40995
Hand Left:  X: 0.1286189 ,Y: -0.2940059 ,Z: 1.430863
Elbow Right:  X: 0.2043837 ,Y: -0.1189115 ,Z: 1.747094
Wrist Right:  X: 0.2583632 ,Y: -0.2301644 ,Z: 1.51365
Hand Right:  X: 0.2510871 ,Y: -0.2960395 ,Z: 1.516039
--------------------------------------
Head:  X: 0.2089323 ,Y: 0.3351818 ,Z: 1.491223
Shoulder Center:  X: 0.1127805 ,Y: 0.1668012 ,Z: 1.543008
Shoulder Left:  X: -0.01739607 ,Y: 0.08497433 ,Z: 1.516085
Shoulder Right:  X: 0.2123125 ,Y: 0.06343405 ,Z: 1.724271
Spine:  X: 0.0411295 ,Y: -0.09844916 ,Z: 1.698743
Hip Center:  X: 0.02834953 ,Y: -0.153034 ,Z: 1.731003
Hip Left:  X: -0.04757378 ,Y: -0.2093553 ,Z: 1.708743
Hip Right:  X: 0.07268114 ,Y: -0.2142064 ,Z: 1.819285
Elbow Left:  X: -0.03863356 ,Y: -0.0998558 ,Z: 1.469345
