--------------------------------------
Head:  X: -0.08535785 ,Y: 0.5415691 ,Z: 1.783579
Shoulder Center:  X: -0.1239188 ,Y: 0.3556047 ,Z: 1.807598
Shoulder Left:  X: -0.192647 ,Y: 0.2323493 ,Z: 1.69904
Shoulder Right:  X: 0.0457228 ,Y: 0.238259 ,Z: 1.938138
Spine:  X: -0.07181305 ,Y: 0.04934417 ,Z: 1.813519
Hip Center:  X: -0.05787455 ,Y: -0.0111036 ,Z: 1.814139
Hip Left:  X: -0.09829945 ,Y: -0.08160944 ,Z: 1.768596
Hip Right:  X: 0.007773988 ,Y: -0.08339842 ,Z: 1.858626
Elbow Left:  X: -0.1525629 ,Y: 0.09364232 ,Z: 1.550412
Wrist Left:  X: 0.01911478 ,Y: 0.06238296 ,Z: 1.460177
Hand Left:  X: 0.106267 ,Y: 0.07463185 ,Z: 1.437103
Elbow Right:  X: 0.2146525 ,Y: 0.05120727 ,Z: 1.876869
Wrist Right:  X: 0.3214979 ,Y: 0.06542383 ,Z: 1.629755
Hand Right:  X: 0.385552 ,Y: 0.07119738 ,Z: 1.628904
--------------------------------------
Head:  X: -0.08360947 ,Y: 0.5408544 ,Z: 1.784014
Shoulder Center:  X: -0.1242556 ,Y: 0.355353 ,Z: 1.807983
Shoulder Left:  X: -0.1925655 ,Y: 0.2322445 ,Z: 1.699087
Shoulder Right:  X: 0.04541382 ,Y: 0.2379921 ,Z: 1.937993
Spine:  X: -0.07187473 ,Y: 0.04928876 ,Z: 1.813691
Hip Center:  X: -0.05790367 ,Y: -0.01113715 ,Z: 1.814278
Hip Left:  X: -0.09824545 ,Y: -0.08160331 ,Z: 1.768696
Hip Right:  X: 0.007720227 ,Y: -0.08334906 ,Z: 1.858711
Elbow Left:  X: -0.1526517 ,Y: 0.09332837 ,Z: 1.550651
Wrist Left:  X: 0.01904738 ,Y: 0.06224534 ,Z: 1.460422
Hand Left:  X: 0.1063453 ,Y: 0.07438469 ,Z: 1.437338
Elbow Right:  X: 0.2124298 ,Y: 0.05157761 ,Z: 1.877226
Wrist Right:  X: 0.3411732 ,Y: 0.06774642 ,Z: 1.64149
Hand Right:  X: 0.3848614 ,Y: 0.07152905 ,Z: 1.628726
--------------------------------------
Head:  X: -0.08365132 ,Y: 0.5407044 ,Z: 1.784044
Shoulder Center:  X: -0.1245657 ,Y: 0.3554019 ,Z: 1.808195
Shoulder Left:  X: -0.1927593 ,Y: 0.2323892 ,Z: 1.69916
Shoulder Right:  X: 0.04522977 ,Y: 0.2382053 ,Z: 1.938116
Spine:  X: -0.07214788 ,Y: 0.0495485 ,Z: 1.814053
Hip Center:  X: -0.05816053 ,Y: -0.01083968 ,Z: 1.814662
Hip Left:  X: -0.09841439 ,Y: -0.08130623 ,Z: 1.769128
Hip Right:  X: 0.007513131 ,Y: -0.08305448 ,Z: 1.858968
Elbow Left:  X: -0.152756 ,Y: 0.09339929 ,Z: 1.550847
Wrist Left:  X: 0.01888184 ,Y: 0.06202793 ,Z: 1.460628
Hand Left:  X: 0.1063913 ,Y: 0.07388986 ,Z: 1.437679
Elbow Right:  X: 0.2124138 ,Y: 0.05156609 ,Z: 1.877266
Wrist Right:  X: 0.3381821 ,Y: 0.06974575 ,Z: 1.640015
Hand Right:  X: 0.3835896 ,Y: 0.0719431 ,Z: 1.628155
--------------------------------------
Head:  X: -0.0831346 ,Y: 0.5403568 ,Z: 1.784194
Shoulder Center:  X: -0.1246619 ,Y: 0.3554296 ,Z: 1.808576
Shoulder Left:  X: -0.192757 ,Y: 0.2324293 ,Z: 1.699352
Shoulder Right:  X: 0.04514456 ,Y: 0.2381894 ,Z: 1.938144
Spine:  X: -0.07224032 ,Y: 0.04956562 ,Z: 1.814167
Hip Center:  X: -0.0582477 ,Y: -0.01082603 ,Z: 1.814738
Hip Left:  X: -0.09852207 ,Y: -0.08125744 ,Z: 1.769126
Hip Right:  X: 0.007462145 ,Y: -0.08309077 ,Z: 1.859023
Elbow Left:  X: -0.1531199 ,Y: 0.09346879 ,Z: 1.5509
Wrist Left:  X: 0.01859006 ,Y: 0.06212798 ,Z: 1.460849
Hand Left:  X: 0.1062646 ,Y: 0.07385119 ,Z: 1.437988
Elbow Right:  X: 0.211298 ,Y: 0.0491518 ,Z: 1.87704
Wrist Right:  X: 0.3410748 ,Y: 0.06909032 ,Z: 1.642236
Hand Right:  X: 0.3828976 ,Y: 0.07175107 ,Z: 1.627604
--------------------------------------
Head:  X: -0.08326739 ,Y: 0.5404197 ,Z: 1.784218
Shoulder Center:  X: -0.1255525 ,Y: 0.3558311 ,Z: 1.809278
Shoulder Left:  X: -0.1928871 ,Y: 0.2324972 ,Z: 1.69943
Shoulder Right:  X: 0.04356055 ,Y: 0.2382119 ,Z: 1.937652
Spine:  X: -0.07258306 ,Y: 0.04974936 ,Z: 1.814459
Hip Center:  X: -0.05849748 ,Y: -0.01067767 ,Z: 1.814963
Hip Left:  X: -0.09853875 ,Y: -0.08119392 ,Z: 1.769143
Hip Right:  X: 0.006985557 ,Y: -0.08280903 ,Z: 1.859422
Elbow Left:  X: -0.1533158 ,Y: 0.09354192 ,Z: 1.550959
Wrist Left:  X: 0.01843715 ,Y: 0.06211203 ,Z: 1.461055
Hand Left:  X: 0.1062848 ,Y: 0.07368002 ,Z: 1.438277
Elbow Right:  X: 0.2100287 ,Y: 0.04839429 ,Z: 1.878096
Wrist Right:  X: 0.3349804 ,Y: 0.06938706 ,Z: 1.640658
Hand Right:  X: 0.3798944 ,Y: 0.07145709 ,Z: 1.625741
--------------------------------------
