Head:  X: 0.1385926 ,Y: 0.2883973 ,Z: 1.893917
Shoulder Center:  X: 0.1286324 ,Y: 0.11753 ,Z: 1.865266
Shoulder Left:  X: 0.01881972 ,Y: 0.009070633 ,Z: 1.797131
Shoulder Right:  X: 0.2522719 ,Y: 0.09339824 ,Z: 1.916037
Spine:  X: 0.1310057 ,Y: -0.1644931 ,Z: 1.876193
Hip Center:  X: 0.1471593 ,Y: -0.2172454 ,Z: 1.846826
Hip Left:  X: 0.09655723 ,Y: -0.2855864 ,Z: 1.811216
Hip Right:  X: 0.2051141 ,Y: -0.2779047 ,Z: 1.871908
Elbow Left:  X: 0.01010957 ,Y: -0.1662453 ,Z: 1.663524
Wrist Left:  X: 0.1266897 ,Y: 0.005425378 ,Z: 1.596254
Hand Left:  X: 0.1493294 ,Y: 0.01735466 ,Z: 1.570884
Elbow Right:  X: 0.3108487 ,Y: -0.1360807 ,Z: 1.876095
Wrist Right:  X: 0.3848253 ,Y: -0.003605168 ,Z: 1.757297
Hand Right:  X: 0.4002598 ,Y: 0.006397121 ,Z: 1.737207
--------------------------------------
Head:  X: 0.1357612 ,Y: 0.2879198 ,Z: 1.893706
Shoulder Center:  X: 0.1205788 ,Y: 0.1193524 ,Z: 1.865058
Shoulder Left:  X: 0.01096267 ,Y: 0.001672819 ,Z: 1.796494
Shoulder Right:  X: 0.2624291 ,Y: 0.05321206 ,Z: 1.910758
Spine:  X: 0.1319359 ,Y: -0.1585167 ,Z: 1.874234
Hip Center:  X: 0.1470285 ,Y: -0.2103287 ,Z: 1.848192
Hip Left:  X: 0.09740771 ,Y: -0.2806202 ,Z: 1.814211
Hip Right:  X: 0.2066081 ,Y: -0.2705578 ,Z: 1.871068
Elbow Left:  X: 0.01393051 ,Y: -0.1515344 ,Z: 1.670032
Wrist Left:  X: 0.1297618 ,Y: 0.0168217 ,Z: 1.585885
Hand Left:  X: 0.1504786 ,Y: 0.03080816 ,Z: 1.563918
Elbow Right:  X: 0.3276819 ,Y: -0.1742792 ,Z: 1.868446
Wrist Right:  X: 0.384737 ,Y: -0.002462156 ,Z: 1.758198
Hand Right:  X: 0.3949524 ,Y: 0.0128511 ,Z: 1.742922
