Head:  X: 0.1709401 ,Y: 0.2816988 ,Z: 1.867292
Shoulder Center:  X: 0.1410849 ,Y: 0.09830794 ,Z: 1.866795
Shoulder Left:  X: 0.03527067 ,Y: 0.001896757 ,Z: 1.787727
Shoulder Right:  X: 0.2793969 ,Y: 0.03090728 ,Z: 1.893492
Spine:  X: 0.1378555 ,Y: -0.2005334 ,Z: 1.876514
Hip Center:  X: 0.1530938 ,Y: -0.2559587 ,Z: 1.843528
Hip Left:  X: 0.1020225 ,Y: -0.3202455 ,Z: 1.805868
Hip Right:  X: 0.2087301 ,Y: -0.314654 ,Z: 1.869298
Elbow Left:  X: 0.02748795 ,Y: -0.1516327 ,Z: 1.660152
Wrist Left:  X: 0.1878426 ,Y: -0.1433086 ,Z: 1.454386
Hand Left:  X: 0.2164915 ,Y: -0.1386354 ,Z: 1.4249
Elbow Right:  X: 0.3280315 ,Y: -0.2161792 ,Z: 1.85741
Wrist Right:  X: 0.4389699 ,Y: -0.2039949 ,Z: 1.696821
Hand Right:  X: 0.4826574 ,Y: -0.1748714 ,Z: 1.622645
--------------------------------------
Head:  X: 0.1679299 ,Y: 0.2838734 ,Z: 1.865884
Shoulder Center:  X: 0.140489 ,Y: 0.09924711 ,Z: 1.866957
Shoulder Left:  X: 0.03354548 ,Y: 0.01398355 ,Z: 1.790761
Shoulder Right:  X: 0.2731643 ,Y: 0.02456963 ,Z: 1.890332
Spine:  X: 0.1361975 ,Y: -0.1985319 ,Z: 1.876688
Hip Center:  X: 0.1512192 ,Y: -0.2538866 ,Z: 1.842565
Hip Left:  X: 0.1019888 ,Y: -0.315529 ,Z: 1.805699
Hip Right:  X: 0.2039729 ,Y: -0.311663 ,Z: 1.867181
Elbow Left:  X: 0.02734749 ,Y: -0.1416288 ,Z: 1.665069
Wrist Left:  X: 0.1870733 ,Y: -0.1402565 ,Z: 1.457572
Hand Left:  X: 0.228665 ,Y: -0.1309159 ,Z: 1.415749
Elbow Right:  X: 0.3328111 ,Y: -0.220961 ,Z: 1.855341
Wrist Right:  X: 0.4409965 ,Y: -0.1931971 ,Z: 1.694064
Hand Right:  X: 0.4824992 ,Y: -0.162633 ,Z: 1.615268
--------------------------------------
Head:  X: 0.1555835 ,Y: 0.2944724 ,Z: 1.876963
Shoulder Center:  X: 0.1356047 ,Y: 0.1028943 ,Z: 1.871769
Shoulder Left:  X: 0.03777695 ,Y: 0.001380241 ,Z: 1.782645
Shoulder Right:  X: 0.2668529 ,Y: 0.03100906 ,Z: 1.910584
Spine:  X: 0.1329032 ,Y: -0.1999236 ,Z: 1.877202
Hip Center:  X: 0.1534202 ,Y: -0.2550029 ,Z: 1.841868
Hip Left:  X: 0.1066936 ,Y: -0.3197636 ,Z: 1.798015
Hip Right:  X: 0.2072795 ,Y: -0.3133618 ,Z: 1.871292
Elbow Left:  X: 0.03383493 ,Y: -0.1427725 ,Z: 1.642091
Wrist Left:  X: 0.1484351 ,Y: -0.1607623 ,Z: 1.484684
Hand Left:  X: 0.2334375 ,Y: -0.1076729 ,Z: 1.418719
Elbow Right:  X: 0.3448606 ,Y: -0.2063122 ,Z: 1.852446
Wrist Right:  X: 0.45563 ,Y: -0.1654707 ,Z: 1.696694
Hand Right:  X: 0.4996417 ,Y: -0.1365007 ,Z: 1.610554
--------------------------------------
Head:  X: 0.1458326 ,Y: 0.2954899 ,Z: 1.886748
Shoulder Center:  X: 0.1304418 ,Y: 0.1015966 ,Z: 1.878179
Shoulder Left:  X: 0.0349186 ,Y: -0.003265269 ,Z: 1.786866
Shoulder Right:  X: 0.2741122 ,Y: -0.0005813768 ,Z: 1.929763
Spine:  X: 0.1270787 ,Y: -0.2043523 ,Z: 1.881681
Hip Center:  X: 0.1510232 ,Y: -0.258993 ,Z: 1.843664
Hip Left:  X: 0.1026084 ,Y: -0.3230043 ,Z: 1.797474
Hip Right:  X: 0.2065868 ,Y: -0.3212393 ,Z: 1.874116
Elbow Left:  X: 0.03253691 ,Y: -0.1451386 ,Z: 1.645059
Wrist Left:  X: 0.1448454 ,Y: -0.1659046 ,Z: 1.487498
Hand Left:  X: 0.2235154 ,Y: -0.1065258 ,Z: 1.416212
