Head:  X: 0.2564599 ,Y: 0.3547546 ,Z: 1.689869
Shoulder Center:  X: 0.1991045 ,Y: 0.1327185 ,Z: 1.730205
Shoulder Left:  X: 0.0592864 ,Y: 0.0318674 ,Z: 1.664561
Shoulder Right:  X: 0.3646106 ,Y: 0.007034771 ,Z: 1.839503
Spine:  X: 0.1767082 ,Y: -0.1408062 ,Z: 1.756007
Hip Center:  X: 0.172166 ,Y: -0.1951611 ,Z: 1.764137
Hip Left:  X: 0.101117 ,Y: -0.2680454 ,Z: 1.729294
Hip Right:  X: 0.2300858 ,Y: -0.2765639 ,Z: 1.812032
Elbow Left:  X: -0.006491299 ,Y: -0.1719181 ,Z: 1.600619
Wrist Left:  X: 0.08680999 ,Y: -0.2482784 ,Z: 1.468771
Hand Left:  X: 0.1179104 ,Y: -0.2737319 ,Z: 1.428348
Elbow Right:  X: 0.3985555 ,Y: -0.2085286 ,Z: 1.761382
Wrist Right:  X: 0.495384 ,Y: -0.318824 ,Z: 1.571958
Hand Right:  X: 0.5525016 ,Y: -0.3777457 ,Z: 1.464965
--------------------------------------
Head:  X: 0.2497399 ,Y: 0.3676823 ,Z: 1.717838
Shoulder Center:  X: 0.1926092 ,Y: 0.1483586 ,Z: 1.754029
Shoulder Left:  X: 0.03379201 ,Y: 0.04747583 ,Z: 1.711916
Shoulder Right:  X: 0.3609964 ,Y: 0.003741481 ,Z: 1.843288
Spine:  X: 0.1654437 ,Y: -0.1374606 ,Z: 1.778461
Hip Center:  X: 0.1603735 ,Y: -0.1933993 ,Z: 1.785655
Hip Left:  X: 0.08421755 ,Y: -0.267337 ,Z: 1.758088
Hip Right:  X: 0.2205905 ,Y: -0.2780297 ,Z: 1.824243
Elbow Left:  X: -0.1380159 ,Y: -0.1078936 ,Z: 1.711599
Wrist Left:  X: 0.02361916 ,Y: -0.1493544 ,Z: 1.658464
Hand Left:  X: 0.08474933 ,Y: -0.1311702 ,Z: 1.66678
Elbow Right:  X: 0.4006555 ,Y: -0.2064239 ,Z: 1.764439
Wrist Right:  X: 0.4958814 ,Y: -0.3170354 ,Z: 1.572237
Hand Right:  X: 0.5515817 ,Y: -0.3723494 ,Z: 1.466238
--------------------------------------
Head:  X: 0.2534997 ,Y: 0.3684092 ,Z: 1.734797
Shoulder Center:  X: 0.1813933 ,Y: 0.1106412 ,Z: 1.768503
Shoulder Left:  X: 0.02737106 ,Y: 0.04837587 ,Z: 1.721543
Shoulder Right:  X: 0.352659 ,Y: 8.920656E-05 ,Z: 1.848694
Spine:  X: 0.1590045 ,Y: -0.140264 ,Z: 1.788615
Hip Center:  X: 0.1543918 ,Y: -0.191287 ,Z: 1.795618
Hip Left:  X: 0.0797071 ,Y: -0.2654537 ,Z: 1.768076
Hip Right:  X: 0.2152784 ,Y: -0.2759474 ,Z: 1.832199
Elbow Left:  X: -0.1230342 ,Y: -0.1208492 ,Z: 1.674509
Wrist Left:  X: 0.0430496 ,Y: -0.1698408 ,Z: 1.576903
Hand Left:  X: 0.1206915 ,Y: -0.1653219 ,Z: 1.574003
Elbow Right:  X: 0.3930717 ,Y: -0.201859 ,Z: 1.760694
Wrist Right:  X: 0.4878113 ,Y: -0.3109291 ,Z: 1.565858
Hand Right:  X: 0.5418702 ,Y: -0.3647898 ,Z: 1.457553
--------------------------------------
Head:  X: 0.2764974 ,Y: 0.3582514 ,Z: 1.721596
Shoulder Center:  X: 0.1981039 ,Y: 0.1561184 ,Z: 1.76038
Shoulder Left:  X: 0.04446246 ,Y: 0.04615114 ,Z: 1.698334
Shoulder Right:  X: 0.3580551 ,Y: -0.006742944 ,Z: 1.849134
Spine:  X: 0.1736922 ,Y: -0.1301002 ,Z: 1.778103
Hip Center:  X: 0.1689669 ,Y: -0.1862479 ,Z: 1.784483
Hip Left:  X: 0.09610762 ,Y: -0.2570071 ,Z: 1.749355
Hip Right:  X: 0.2300029 ,Y: -0.2724408 ,Z: 1.826071
Elbow Left:  X: -0.01511052 ,Y: -0.1285933 ,Z: 1.595275
Wrist Left:  X: 0.05883428 ,Y: -0.2326749 ,Z: 1.467147
Hand Left:  X: 0.08348256 ,Y: -0.2673688 ,Z: 1.427985
Elbow Right:  X: 0.3940347 ,Y: -0.1996035 ,Z: 1.76235
Wrist Right:  X: 0.4900068 ,Y: -0.3149299 ,Z: 1.571174
Hand Right:  X: 0.5427792 ,Y: -0.3659648 ,Z: 1.460923
--------------------------------------
Head:  X: 0.2962848 ,Y: 0.3285201 ,Z: 1.679593
Shoulder Center:  X: 0.2000719 ,Y: 0.1399573 ,Z: 1.769308
Shoulder Left:  X: 0.05042229 ,Y: 0.04240936 ,Z: 1.707156
Shoulder Right:  X: 0.3626077 ,Y: -0.01452453 ,Z: 1.856799
