Head:  X: 0.06183034 ,Y: 0.2985363 ,Z: 2.087425
Shoulder Center:  X: 0.02688159 ,Y: 0.1020539 ,Z: 2.056706
Shoulder Left:  X: -0.07693845 ,Y: -0.005403598 ,Z: 1.949547
Shoulder Right:  X: 0.2080177 ,Y: -0.03392936 ,Z: 2.088778
Spine:  X: 0.04220705 ,Y: -0.2029569 ,Z: 1.999814
Hip Center:  X: 0.06815317 ,Y: -0.2460408 ,Z: 1.948094
Hip Left:  X: 0.006542708 ,Y: -0.3022981 ,Z: 1.896768
Hip Right:  X: 0.1457957 ,Y: -0.3236067 ,Z: 1.953006
Elbow Left:  X: -0.08769025 ,Y: -0.1174577 ,Z: 1.795358
Wrist Left:  X: 0.06666502 ,Y: -0.1407694 ,Z: 1.609495
Hand Left:  X: 0.1610176 ,Y: -0.123918 ,Z: 1.518609
Elbow Right:  X: 0.3008365 ,Y: -0.1652135 ,Z: 2.002292
Wrist Right:  X: 0.4005648 ,Y: -0.1608799 ,Z: 1.779076
Hand Right:  X: 0.4338076 ,Y: -0.1594353 ,Z: 1.708578
--------------------------------------
Head:  X: 0.06821728 ,Y: 0.2963037 ,Z: 2.081979
Shoulder Center:  X: 0.02676235 ,Y: 0.1011015 ,Z: 2.05376
Shoulder Left:  X: -0.07644215 ,Y: -0.005600689 ,Z: 1.948674
Shoulder Right:  X: 0.2092962 ,Y: -0.03547943 ,Z: 2.087714
Spine:  X: 0.04278655 ,Y: -0.2019911 ,Z: 1.998816
Hip Center:  X: 0.06898265 ,Y: -0.2448842 ,Z: 1.947269
Hip Left:  X: 0.009080392 ,Y: -0.3014067 ,Z: 1.89571
Hip Right:  X: 0.1460686 ,Y: -0.3232013 ,Z: 1.952294
Elbow Left:  X: -0.0922175 ,Y: -0.1181092 ,Z: 1.798858
Wrist Left:  X: 0.0588051 ,Y: -0.1430423 ,Z: 1.614995
Hand Left:  X: 0.1607356 ,Y: -0.1247342 ,Z: 1.518652
Elbow Right:  X: 0.318303 ,Y: -0.1914795 ,Z: 1.934925
Wrist Right:  X: 0.4258783 ,Y: -0.1634689 ,Z: 1.721449
Hand Right:  X: 0.4617368 ,Y: -0.154132 ,Z: 1.654195
--------------------------------------
Head:  X: 0.06924355 ,Y: 0.2961692 ,Z: 2.077946
Shoulder Center:  X: 0.02666662 ,Y: 0.1012656 ,Z: 2.052145
Shoulder Left:  X: -0.07745202 ,Y: -0.006210106 ,Z: 1.94759
Shoulder Right:  X: 0.2093549 ,Y: -0.03600647 ,Z: 2.087548
Spine:  X: 0.04272472 ,Y: -0.2012463 ,Z: 1.998073
Hip Center:  X: 0.06892132 ,Y: -0.2441214 ,Z: 1.946722
Hip Left:  X: 0.00896428 ,Y: -0.3008875 ,Z: 1.895183
Hip Right:  X: 0.1458603 ,Y: -0.3229985 ,Z: 1.951813
Elbow Left:  X: -0.07927758 ,Y: -0.1263188 ,Z: 1.7978
Wrist Left:  X: 0.0616129 ,Y: -0.1291328 ,Z: 1.608015
Hand Left:  X: 0.1943845 ,Y: -0.1160817 ,Z: 1.469868
Elbow Right:  X: 0.3148797 ,Y: -0.1847748 ,Z: 1.929278
Wrist Right:  X: 0.4248343 ,Y: -0.161461 ,Z: 1.720248
Hand Right:  X: 0.450657 ,Y: -0.1524325 ,Z: 1.68114
--------------------------------------
Head:  X: 0.06856339 ,Y: 0.2972051 ,Z: 2.074886
Shoulder Center:  X: 0.02787099 ,Y: 0.1009225 ,Z: 2.049852
Shoulder Left:  X: -0.0790454 ,Y: -0.008769657 ,Z: 1.945798
Shoulder Right:  X: 0.2086655 ,Y: -0.03619365 ,Z: 2.090594
Spine:  X: 0.04158608 ,Y: -0.1999624 ,Z: 1.998373
Hip Center:  X: 0.06765723 ,Y: -0.2428411 ,Z: 1.947768
Hip Left:  X: 0.0075189 ,Y: -0.3003556 ,Z: 1.895852
Hip Right:  X: 0.1438003 ,Y: -0.3228998 ,Z: 1.95408
Elbow Left:  X: -0.08704616 ,Y: -0.13558 ,Z: 1.813804
Wrist Left:  X: 0.05555212 ,Y: -0.1597863 ,Z: 1.627785
Hand Left:  X: 0.1539187 ,Y: -0.1416643 ,Z: 1.526696
Elbow Right:  X: 0.2869376 ,Y: -0.1692155 ,Z: 1.992888
Wrist Right:  X: 0.3950132 ,Y: -0.167054 ,Z: 1.782133
Hand Right:  X: 0.4304421 ,Y: -0.1653455 ,Z: 1.708417
--------------------------------------
Head:  X: 0.06905694 ,Y: 0.2997129 ,Z: 2.078041
Shoulder Center:  X: 0.030835 ,Y: 0.1033959 ,Z: 2.04978
Shoulder Left:  X: -0.07794483 ,Y: -0.008951333 ,Z: 1.944243
Shoulder Right:  X: 0.2085942 ,Y: -0.03412225 ,Z: 2.094778
Spine:  X: 0.04274318 ,Y: -0.1990233 ,Z: 1.998119
Hip Center:  X: 0.0692577 ,Y: -0.2425383 ,Z: 1.947677
Hip Left:  X: 0.009419024 ,Y: -0.3002373 ,Z: 1.895654
Hip Right:  X: 0.1447961 ,Y: -0.3224194 ,Z: 1.954289
Elbow Left:  X: -0.08262574 ,Y: -0.1392779 ,Z: 1.815121
Wrist Left:  X: 0.06549356 ,Y: -0.1620231 ,Z: 1.632253
Hand Left:  X: 0.1655247 ,Y: -0.1373974 ,Z: 1.526664
Elbow Right:  X: 0.2899719 ,Y: -0.1952545 ,Z: 1.933354
Wrist Right:  X: 0.4004703 ,Y: -0.1681824 ,Z: 1.724646
Hand Right:  X: 0.4186476 ,Y: -0.162461 ,Z: 1.692192
--------------------------------------
Head:  X: 0.06915019 ,Y: 0.2989876 ,Z: 2.074815
Shoulder Center:  X: 0.03096099 ,Y: 0.1026279 ,Z: 2.049976
