Head:  X: 0.1096714 ,Y: 0.4322827 ,Z: 1.916018
Shoulder Center:  X: 0.07450645 ,Y: 0.1864504 ,Z: 1.889642
Shoulder Left:  X: -0.03636614 ,Y: 0.08711197 ,Z: 1.790089
Shoulder Right:  X: 0.2465457 ,Y: 0.05963106 ,Z: 1.978726
Spine:  X: 0.0765608 ,Y: -0.1159187 ,Z: 1.881271
Hip Center:  X: 0.1065936 ,Y: -0.1654514 ,Z: 1.84062
Hip Left:  X: 0.05490281 ,Y: -0.2305588 ,Z: 1.791832
Hip Right:  X: 0.1741829 ,Y: -0.2455093 ,Z: 1.862889
Elbow Left:  X: -0.07872263 ,Y: -0.04628345 ,Z: 1.626227
Wrist Left:  X: 0.03775924 ,Y: -0.08314365 ,Z: 1.457894
Hand Left:  X: 0.2092051 ,Y: -0.07736894 ,Z: 1.325502
Elbow Right:  X: 0.3435163 ,Y: -0.1137685 ,Z: 1.900664
Wrist Right:  X: 0.4467439 ,Y: -0.1278444 ,Z: 1.713898
Hand Right:  X: 0.5491195 ,Y: -0.113062 ,Z: 1.566174
--------------------------------------
Head:  X: 0.1139283 ,Y: 0.430716 ,Z: 1.91283
Shoulder Center:  X: 0.06895307 ,Y: 0.2190717 ,Z: 1.899275
Shoulder Left:  X: -0.03374247 ,Y: 0.08767373 ,Z: 1.789279
Shoulder Right:  X: 0.2490276 ,Y: 0.05944747 ,Z: 1.980358
Spine:  X: 0.07788095 ,Y: -0.1067575 ,Z: 1.885611
Hip Center:  X: 0.1091405 ,Y: -0.1607379 ,Z: 1.844066
Hip Left:  X: 0.05711836 ,Y: -0.2284627 ,Z: 1.792801
Hip Right:  X: 0.1769603 ,Y: -0.2422126 ,Z: 1.868776
Elbow Left:  X: -0.07725827 ,Y: -0.04349449 ,Z: 1.626648
Wrist Left:  X: 0.04143643 ,Y: -0.07708487 ,Z: 1.462095
Hand Left:  X: 0.209448 ,Y: -0.06659732 ,Z: 1.308576
Elbow Right:  X: 0.3550895 ,Y: -0.1361127 ,Z: 1.896011
Wrist Right:  X: 0.4601535 ,Y: -0.1236288 ,Z: 1.689307
Hand Right:  X: 0.5460386 ,Y: -0.1121738 ,Z: 1.569101
--------------------------------------
Head:  X: 0.1064696 ,Y: 0.428663 ,Z: 1.923477
Shoulder Center:  X: 0.05906674 ,Y: 0.2188014 ,Z: 1.909812
Shoulder Left:  X: -0.04070011 ,Y: 0.08660385 ,Z: 1.799114
Shoulder Right:  X: 0.2392003 ,Y: 0.05750118 ,Z: 1.986016
Spine:  X: 0.07156424 ,Y: -0.1122521 ,Z: 1.89108
Hip Center:  X: 0.1032493 ,Y: -0.1673064 ,Z: 1.848114
Hip Left:  X: 0.05138478 ,Y: -0.2317928 ,Z: 1.798753
Hip Right:  X: 0.171721 ,Y: -0.2465962 ,Z: 1.869936
Elbow Left:  X: -0.07890412 ,Y: -0.04088333 ,Z: 1.633213
Wrist Left:  X: 0.03745523 ,Y: -0.07241815 ,Z: 1.467064
Hand Left:  X: 0.1721533 ,Y: -0.05569385 ,Z: 1.334927
Elbow Right:  X: 0.3558733 ,Y: -0.1479178 ,Z: 1.881098
Wrist Right:  X: 0.4489125 ,Y: -0.1169687 ,Z: 1.700666
Hand Right:  X: 0.5361332 ,Y: -0.1039363 ,Z: 1.576007
--------------------------------------
Head:  X: 0.107922 ,Y: 0.4267298 ,Z: 1.926098
Shoulder Center:  X: 0.05878232 ,Y: 0.2185435 ,Z: 1.911458
Shoulder Left:  X: -0.04117444 ,Y: 0.08644696 ,Z: 1.801553
Shoulder Right:  X: 0.2384861 ,Y: 0.05887903 ,Z: 1.988947
Spine:  X: 0.06994814 ,Y: -0.1139827 ,Z: 1.89307
Hip Center:  X: 0.1017775 ,Y: -0.1692594 ,Z: 1.849636
Hip Left:  X: 0.0489669 ,Y: -0.2333825 ,Z: 1.801172
Hip Right:  X: 0.1700534 ,Y: -0.2478398 ,Z: 1.871098
Elbow Left:  X: -0.07932549 ,Y: -0.04092165 ,Z: 1.634457
Wrist Left:  X: 0.03466358 ,Y: -0.0720667 ,Z: 1.467992
Hand Left:  X: 0.1799296 ,Y: -0.05540212 ,Z: 1.336067
Elbow Right:  X: 0.3525758 ,Y: -0.1477692 ,Z: 1.88127
Wrist Right:  X: 0.4503492 ,Y: -0.1182706 ,Z: 1.703755
Hand Right:  X: 0.5376503 ,Y: -0.1026649 ,Z: 1.577551
--------------------------------------
Head:  X: 0.1135094 ,Y: 0.4296032 ,Z: 1.927261
Shoulder Center:  X: 0.06025703 ,Y: 0.2188576 ,Z: 1.909885
Shoulder Left:  X: -0.04069151 ,Y: 0.08647306 ,Z: 1.801933
Shoulder Right:  X: 0.2409711 ,Y: 0.05693891 ,Z: 1.987577
Spine:  X: 0.07114057 ,Y: -0.1132158 ,Z: 1.894318
Hip Center:  X: 0.1033089 ,Y: -0.1684365 ,Z: 1.85081
Hip Left:  X: 0.05046806 ,Y: -0.2336428 ,Z: 1.802147
Hip Right:  X: 0.1718379 ,Y: -0.2473955 ,Z: 1.872831
Elbow Left:  X: -0.08129203 ,Y: -0.04031741 ,Z: 1.636447
Wrist Left:  X: 0.03283975 ,Y: -0.07277177 ,Z: 1.469474
Hand Left:  X: 0.1802379 ,Y: -0.05744295 ,Z: 1.331161
Elbow Right:  X: 0.3737267 ,Y: -0.1339244 ,Z: 1.84087
Wrist Right:  X: 0.5031025 ,Y: -0.1046748 ,Z: 1.631662
Hand Right:  X: 0.546201 ,Y: -0.09738632 ,Z: 1.577998
--------------------------------------
Head:  X: 0.1088517 ,Y: 0.4290788 ,Z: 1.924171
Shoulder Center:  X: 0.06117635 ,Y: 0.2178931 ,Z: 1.909266
Shoulder Left:  X: -0.0411147 ,Y: 0.0861759 ,Z: 1.801645
Shoulder Right:  X: 0.2421314 ,Y: 0.05789213 ,Z: 1.988173
Spine:  X: 0.07167201 ,Y: -0.1142132 ,Z: 1.895238
Hip Center:  X: 0.1037786 ,Y: -0.1694384 ,Z: 1.851558
Hip Left:  X: 0.05048498 ,Y: -0.2349073 ,Z: 1.80371
Hip Right:  X: 0.1729923 ,Y: -0.248286 ,Z: 1.873491
