Head:  X: 0.1065256 ,Y: 0.3826496 ,Z: 1.920931
Shoulder Center:  X: 0.06956182 ,Y: 0.1624539 ,Z: 1.935882
Shoulder Left:  X: -0.05258263 ,Y: 0.03674275 ,Z: 1.848662
Shoulder Right:  X: 0.2368741 ,Y: 0.0286542 ,Z: 2.026501
Spine:  X: 0.07025033 ,Y: -0.1685383 ,Z: 1.93786
Hip Center:  X: 0.09925137 ,Y: -0.2260658 ,Z: 1.894781
Hip Left:  X: 0.03922962 ,Y: -0.2944113 ,Z: 1.852441
Hip Right:  X: 0.1693592 ,Y: -0.3053289 ,Z: 1.920304
Elbow Left:  X: -0.07271712 ,Y: -0.1145053 ,Z: 1.691856
Wrist Left:  X: 0.07637487 ,Y: -0.1447303 ,Z: 1.486939
Hand Left:  X: 0.1658631 ,Y: -0.1436687 ,Z: 1.390485
Elbow Right:  X: 0.323577 ,Y: -0.1565061 ,Z: 1.930251
Wrist Right:  X: 0.428985 ,Y: -0.198636 ,Z: 1.700237
Hand Right:  X: 0.4792817 ,Y: -0.1898443 ,Z: 1.614536
--------------------------------------
Head:  X: 0.09723562 ,Y: 0.3897459 ,Z: 1.948675
Shoulder Center:  X: 0.05364458 ,Y: 0.1717163 ,Z: 1.953098
Shoulder Left:  X: -0.06145978 ,Y: 0.04338449 ,Z: 1.860494
Shoulder Right:  X: 0.2275931 ,Y: 0.02854118 ,Z: 2.037596
Spine:  X: 0.05504994 ,Y: -0.163106 ,Z: 1.955997
Hip Center:  X: 0.08524039 ,Y: -0.2208217 ,Z: 1.911592
Hip Left:  X: 0.02508028 ,Y: -0.2885768 ,Z: 1.865467
Hip Right:  X: 0.1556965 ,Y: -0.3012126 ,Z: 1.939185
Elbow Left:  X: -0.08885807 ,Y: -0.09018105 ,Z: 1.705753
Wrist Left:  X: 0.05772994 ,Y: -0.121144 ,Z: 1.499984
Hand Left:  X: 0.16564 ,Y: -0.1230636 ,Z: 1.396088
Elbow Right:  X: 0.3088295 ,Y: -0.1909247 ,Z: 1.942547
Wrist Right:  X: 0.4186727 ,Y: -0.1810747 ,Z: 1.748924
Hand Right:  X: 0.4544221 ,Y: -0.1725668 ,Z: 1.670157
--------------------------------------
Head:  X: 0.09948222 ,Y: 0.3872228 ,Z: 1.943574
Shoulder Center:  X: 0.05496109 ,Y: 0.1735604 ,Z: 1.950078
Shoulder Left:  X: -0.06061456 ,Y: 0.04569238 ,Z: 1.856693
Shoulder Right:  X: 0.2285482 ,Y: 0.02720879 ,Z: 2.033975
Spine:  X: 0.05644681 ,Y: -0.1636139 ,Z: 1.9516
Hip Center:  X: 0.08719493 ,Y: -0.2217981 ,Z: 1.906504
Hip Left:  X: 0.02692423 ,Y: -0.2896635 ,Z: 1.858078
Hip Right:  X: 0.1600401 ,Y: -0.3029924 ,Z: 1.933064
Elbow Left:  X: -0.08830564 ,Y: -0.08683381 ,Z: 1.701799
Wrist Left:  X: 0.06046902 ,Y: -0.1190732 ,Z: 1.496307
Hand Left:  X: 0.1632273 ,Y: -0.1225784 ,Z: 1.388192
Elbow Right:  X: 0.3185367 ,Y: -0.1503588 ,Z: 1.942454
Wrist Right:  X: 0.4326912 ,Y: -0.1729793 ,Z: 1.713386
Hand Right:  X: 0.457134 ,Y: -0.1736087 ,Z: 1.66607
--------------------------------------
Head:  X: 0.1000575 ,Y: 0.3893926 ,Z: 1.938717
Shoulder Center:  X: 0.05640448 ,Y: 0.1740974 ,Z: 1.946847
Shoulder Left:  X: -0.0612685 ,Y: 0.04807271 ,Z: 1.852762
Shoulder Right:  X: 0.2278472 ,Y: 0.02765647 ,Z: 2.028207
Spine:  X: 0.0578247 ,Y: -0.1646129 ,Z: 1.948407
Hip Center:  X: 0.08829649 ,Y: -0.2230469 ,Z: 1.903249
Hip Left:  X: 0.02777583 ,Y: -0.2912191 ,Z: 1.854685
Hip Right:  X: 0.1609389 ,Y: -0.3032902 ,Z: 1.930495
