Head:  X: 0.4024256 ,Y: 0.5981425 ,Z: 2.070081
Shoulder Center:  X: 0.3727758 ,Y: 0.4040509 ,Z: 2.105459
Shoulder Left:  X: 0.2160031 ,Y: 0.286162 ,Z: 2.060368
Shoulder Right:  X: 0.5583101 ,Y: 0.2715124 ,Z: 2.145628
Spine:  X: 0.3735245 ,Y: 0.08631372 ,Z: 2.1167
Hip Center:  X: 0.3831826 ,Y: 0.02773141 ,Z: 2.083853
Hip Left:  X: 0.3095407 ,Y: -0.04523295 ,Z: 2.05848
Hip Right:  X: 0.4605614 ,Y: -0.05928446 ,Z: 2.094496
Elbow Left:  X: 0.154853 ,Y: 0.07468783 ,Z: 1.93416
Wrist Left:  X: 0.2302985 ,Y: 0.02620069 ,Z: 1.765566
Hand Left:  X: 0.2616742 ,Y: 0.01578563 ,Z: 1.692201
Elbow Right:  X: 0.595219 ,Y: 0.08162032 ,Z: 2.090293
Wrist Right:  X: 0.6268338 ,Y: 0.02509234 ,Z: 1.842859
Hand Right:  X: 0.6360009 ,Y: -0.01602854 ,Z: 1.770136
Knee Left:  X: 0.297656 ,Y: -0.3213956 ,Z: 1.72912
Ankle Left:  X: 0.3114052 ,Y: -0.6224182 ,Z: 1.731672
Knee Right:  X: 0.5860739 ,Y: -0.3277012 ,Z: 1.817225
Ankle Right:  X: 0.6028394 ,Y: -0.6409678 ,Z: 1.783037
--------------------------------------
Head:  X: 0.401562 ,Y: 0.5962361 ,Z: 2.071972
Shoulder Center:  X: 0.3704718 ,Y: 0.404933 ,Z: 2.105917
Shoulder Left:  X: 0.2136865 ,Y: 0.2851523 ,Z: 2.060915
Shoulder Right:  X: 0.5584599 ,Y: 0.2716985 ,Z: 2.147524
Spine:  X: 0.371785 ,Y: 0.08626281 ,Z: 2.117742
Hip Center:  X: 0.3815153 ,Y: 0.02642213 ,Z: 2.085083
Hip Left:  X: 0.3074843 ,Y: -0.04705481 ,Z: 2.059895
Hip Right:  X: 0.4600596 ,Y: -0.06145354 ,Z: 2.096022
Elbow Left:  X: 0.1527045 ,Y: 0.07576693 ,Z: 1.934388
Wrist Left:  X: 0.2221977 ,Y: 0.02869876 ,Z: 1.761283
Hand Left:  X: 0.2574278 ,Y: 0.02213778 ,Z: 1.690284
Elbow Right:  X: 0.5964256 ,Y: 0.08401823 ,Z: 2.089904
Wrist Right:  X: 0.627172 ,Y: 0.03090625 ,Z: 1.839916
Hand Right:  X: 0.637874 ,Y: 0.001362541 ,Z: 1.764494
Knee Left:  X: 0.2974753 ,Y: -0.3218084 ,Z: 1.729718
Ankle Left:  X: 0.3109943 ,Y: -0.6227804 ,Z: 1.732586
Knee Right:  X: 0.5864817 ,Y: -0.3274344 ,Z: 1.818484
Ankle Right:  X: 0.6030633 ,Y: -0.6405939 ,Z: 1.783749
--------------------------------------
Head:  X: 0.3968545 ,Y: 0.5919876 ,Z: 2.071771
Shoulder Center:  X: 0.3669632 ,Y: 0.4034583 ,Z: 2.10828
Shoulder Left:  X: 0.2113437 ,Y: 0.2833064 ,Z: 2.060979
