Head:  X: 0.3787179 ,Y: 0.5952348 ,Z: 2.074865
Shoulder Center:  X: 0.3629293 ,Y: 0.4109721 ,Z: 2.118756
Shoulder Left:  X: 0.1842178 ,Y: 0.2845717 ,Z: 2.092431
Shoulder Right:  X: 0.525161 ,Y: 0.2818557 ,Z: 2.15626
Spine:  X: 0.3565096 ,Y: 0.08640227 ,Z: 2.139101
Hip Center:  X: 0.3596963 ,Y: 0.02185363 ,Z: 2.120995
Hip Left:  X: 0.2790782 ,Y: -0.051848 ,Z: 2.099834
Hip Right:  X: 0.4379194 ,Y: -0.0648507 ,Z: 2.136211
Elbow Left:  X: 0.1686926 ,Y: 0.1257044 ,Z: 1.967789
Wrist Left:  X: 0.241498 ,Y: 0.3105232 ,Z: 1.818274
Hand Left:  X: 0.2455939 ,Y: 0.3077638 ,Z: 1.821448
Elbow Right:  X: 0.556394 ,Y: 0.09693404 ,Z: 2.086654
Wrist Right:  X: 0.557305 ,Y: 0.2719105 ,Z: 1.961377
Hand Right:  X: 0.5562886 ,Y: 0.3316361 ,Z: 1.9008
Knee Left:  X: 0.2529757 ,Y: -0.3079829 ,Z: 1.770036
Ankle Left:  X: 0.2562388 ,Y: -0.6493133 ,Z: 1.788982
Knee Right:  X: 0.5280977 ,Y: -0.3286608 ,Z: 1.84146
Ankle Right:  X: 0.5375586 ,Y: -0.6528722 ,Z: 1.849206
--------------------------------------
Head:  X: 0.374826 ,Y: 0.5929664 ,Z: 2.059488
Shoulder Center:  X: 0.3581579 ,Y: 0.4088581 ,Z: 2.111652
Shoulder Left:  X: 0.1805021 ,Y: 0.2859527 ,Z: 2.089523
Shoulder Right:  X: 0.5222577 ,Y: 0.286608 ,Z: 2.149088
Spine:  X: 0.3561594 ,Y: 0.08786023 ,Z: 2.123851
Hip Center:  X: 0.3576533 ,Y: 0.02390434 ,Z: 2.117799
Hip Left:  X: 0.2778951 ,Y: -0.05084069 ,Z: 2.099031
Hip Right:  X: 0.436723 ,Y: -0.06038575 ,Z: 2.133398
Elbow Left:  X: 0.1684674 ,Y: 0.1303069 ,Z: 1.964918
Wrist Left:  X: 0.2427785 ,Y: 0.3001654 ,Z: 1.823275
Hand Left:  X: 0.2409099 ,Y: 0.3058115 ,Z: 1.816152
Elbow Right:  X: 0.552906 ,Y: 0.09914353 ,Z: 2.080575
Wrist Right:  X: 0.5519274 ,Y: 0.2703811 ,Z: 1.952041
Hand Right:  X: 0.5516973 ,Y: 0.3266721 ,Z: 1.889213
Knee Left:  X: 0.2523789 ,Y: -0.309554 ,Z: 1.768809
Ankle Left:  X: 0.2566429 ,Y: -0.6501727 ,Z: 1.789996
Knee Right:  X: 0.5275233 ,Y: -0.3287775 ,Z: 1.8421
Ankle Right:  X: 0.5363326 ,Y: -0.6534127 ,Z: 1.852166
--------------------------------------
Head:  X: 0.3732139 ,Y: 0.5840865 ,Z: 2.05584
Shoulder Center:  X: 0.3568706 ,Y: 0.4030575 ,Z: 2.108843
Shoulder Left:  X: 0.1791961 ,Y: 0.2843241 ,Z: 2.089295
Shoulder Right:  X: 0.5181118 ,Y: 0.286434 ,Z: 2.146513
Spine:  X: 0.3560904 ,Y: 0.08693841 ,Z: 2.118578
Hip Center:  X: 0.3568585 ,Y: 0.02348356 ,Z: 2.117402
Hip Left:  X: 0.2777823 ,Y: -0.05099252 ,Z: 2.100332
Hip Right:  X: 0.4357818 ,Y: -0.05987421 ,Z: 2.132537
Elbow Left:  X: 0.1681856 ,Y: 0.1323056 ,Z: 1.967586
Wrist Left:  X: 0.2441417 ,Y: 0.2988221 ,Z: 1.823181
Hand Left:  X: 0.2392443 ,Y: 0.3049502 ,Z: 1.814746
Elbow Right:  X: 0.5458535 ,Y: 0.0987182 ,Z: 2.072944
Wrist Right:  X: 0.5494029 ,Y: 0.2697157 ,Z: 1.945173
Hand Right:  X: 0.5498892 ,Y: 0.3229541 ,Z: 1.887543
Knee Left:  X: 0.2522786 ,Y: -0.3089167 ,Z: 1.768905
Ankle Left:  X: 0.2571386 ,Y: -0.6498598 ,Z: 1.789631
Knee Right:  X: 0.527983 ,Y: -0.3287821 ,Z: 1.84214
Ankle Right:  X: 0.5371142 ,Y: -0.6523191 ,Z: 1.852785
--------------------------------------
Head:  X: 0.3725783 ,Y: 0.5831345 ,Z: 2.058795
Shoulder Center:  X: 0.3577869 ,Y: 0.4025982 ,Z: 2.110734
Shoulder Left:  X: 0.1812695 ,Y: 0.2867872 ,Z: 2.090948
Shoulder Right:  X: 0.5222157 ,Y: 0.2890093 ,Z: 2.152014
Spine:  X: 0.3558716 ,Y: 0.08699418 ,Z: 2.118201
Hip Center:  X: 0.3564079 ,Y: 0.02381026 ,Z: 2.117606
Hip Left:  X: 0.2772637 ,Y: -0.05027154 ,Z: 2.101073
Hip Right:  X: 0.4349347 ,Y: -0.05937919 ,Z: 2.131982
Elbow Left:  X: 0.1723698 ,Y: 0.1247626 ,Z: 1.978278
Wrist Left:  X: 0.2483773 ,Y: 0.2996933 ,Z: 1.825018
Hand Left:  X: 0.246119 ,Y: 0.3051896 ,Z: 1.817096
Elbow Right:  X: 0.5465649 ,Y: 0.09796596 ,Z: 2.070563
Wrist Right:  X: 0.5520115 ,Y: 0.2686263 ,Z: 1.94034
Hand Right:  X: 0.5547915 ,Y: 0.3192618 ,Z: 1.883753
Knee Left:  X: 0.2522884 ,Y: -0.308315 ,Z: 1.769226
Ankle Left:  X: 0.2563739 ,Y: -0.6508451 ,Z: 1.790601
Knee Right:  X: 0.528264 ,Y: -0.3291724 ,Z: 1.842242
Ankle Right:  X: 0.5364206 ,Y: -0.6559898 ,Z: 1.854824
--------------------------------------
Head:  X: 0.3736251 ,Y: 0.5834635 ,Z: 2.058903
Shoulder Center:  X: 0.3600979 ,Y: 0.4031724 ,Z: 2.111933
Shoulder Left:  X: 0.1835078 ,Y: 0.2861838 ,Z: 2.091646
Shoulder Right:  X: 0.5224768 ,Y: 0.2895089 ,Z: 2.15174
Spine:  X: 0.3567678 ,Y: 0.0867442 ,Z: 2.120193
Hip Center:  X: 0.3574916 ,Y: 0.0235506 ,Z: 2.117539
Hip Left:  X: 0.2784902 ,Y: -0.05018565 ,Z: 2.101346
Hip Right:  X: 0.4356061 ,Y: -0.05957361 ,Z: 2.131109
Elbow Left:  X: 0.1733725 ,Y: 0.1165354 ,Z: 1.98482
Wrist Left:  X: 0.2507688 ,Y: 0.2919474 ,Z: 1.828512
Hand Left:  X: 0.2531086 ,Y: 0.3057039 ,Z: 1.81388
Elbow Right:  X: 0.545549 ,Y: 0.09604302 ,Z: 2.069314
Wrist Right:  X: 0.5528528 ,Y: 0.2667085 ,Z: 1.937982
Hand Right:  X: 0.5571181 ,Y: 0.3154474 ,Z: 1.882647
Knee Left:  X: 0.2519567 ,Y: -0.307903 ,Z: 1.769029
Ankle Left:  X: 0.2566104 ,Y: -0.6513419 ,Z: 1.791324
Knee Right:  X: 0.5283766 ,Y: -0.3295126 ,Z: 1.842469
