Head:  X: 0.1534138 ,Y: 0.640835 ,Z: 2.149252
Shoulder Center:  X: 0.1197449 ,Y: 0.4426213 ,Z: 2.181205
Shoulder Left:  X: -0.02881457 ,Y: 0.3177083 ,Z: 2.133396
Shoulder Right:  X: 0.310592 ,Y: 0.3110934 ,Z: 2.234376
Spine:  X: 0.1278032 ,Y: 0.1205341 ,Z: 2.1874
Hip Center:  X: 0.1441065 ,Y: 0.06394047 ,Z: 2.14232
Hip Left:  X: 0.07365738 ,Y: -0.01505586 ,Z: 2.107761
Hip Right:  X: 0.2243632 ,Y: -0.01312323 ,Z: 2.154357
Elbow Left:  X: -0.1025599 ,Y: 0.08595374 ,Z: 2.113239
Wrist Left:  X: -0.02815343 ,Y: 0.01967219 ,Z: 1.914663
Hand Left:  X: 0.01899104 ,Y: 0.03907259 ,Z: 1.846101
Elbow Right:  X: 0.3617276 ,Y: 0.08613088 ,Z: 2.254546
Wrist Right:  X: 0.4149005 ,Y: 0.03123248 ,Z: 1.999608
Hand Right:  X: 0.5143668 ,Y: -0.04506903 ,Z: 1.908672
Knee Left:  X: 0.1346121 ,Y: -0.3069879 ,Z: 1.735185
Ankle Left:  X: 0.1725321 ,Y: -0.6160986 ,Z: 1.726197
Knee Right:  X: 0.3737611 ,Y: -0.2838715 ,Z: 1.799846
Ankle Right:  X: 0.3742771 ,Y: -0.6443062 ,Z: 1.79127
--------------------------------------
Head:  X: 0.1580983 ,Y: 0.6509483 ,Z: 2.156091
Shoulder Center:  X: 0.1243749 ,Y: 0.4509563 ,Z: 2.179233
Shoulder Left:  X: -0.02079401 ,Y: 0.3230564 ,Z: 2.130251
Shoulder Right:  X: 0.3146098 ,Y: 0.3172511 ,Z: 2.232658
Spine:  X: 0.1312768 ,Y: 0.1232915 ,Z: 2.178851
Hip Center:  X: 0.1482056 ,Y: 0.06672455 ,Z: 2.131139
Hip Left:  X: 0.07930249 ,Y: -0.01156521 ,Z: 2.095933
Hip Right:  X: 0.2266556 ,Y: -0.009149467 ,Z: 2.141444
Elbow Left:  X: -0.0903409 ,Y: 0.0889782 ,Z: 2.113882
Wrist Left:  X: -0.04698811 ,Y: 0.01829326 ,Z: 1.90737
Hand Left:  X: -0.002914011 ,Y: 0.04898261 ,Z: 1.863243
Elbow Right:  X: 0.3623243 ,Y: 0.09013623 ,Z: 2.258365
Wrist Right:  X: 0.437895 ,Y: 0.009661372 ,Z: 1.983722
Hand Right:  X: 0.5120028 ,Y: -0.03956767 ,Z: 1.918016
Knee Left:  X: 0.1285396 ,Y: -0.3028201 ,Z: 1.730179
Ankle Left:  X: 0.165079 ,Y: -0.6161461 ,Z: 1.725935
Knee Right:  X: 0.3753471 ,Y: -0.2809869 ,Z: 1.800536
Ankle Right:  X: 0.3717619 ,Y: -0.6457242 ,Z: 1.792851
--------------------------------------
Head:  X: 0.1585867 ,Y: 0.6590117 ,Z: 2.148333
Shoulder Center:  X: 0.1242888 ,Y: 0.4534003 ,Z: 2.170382
Shoulder Left:  X: -0.02027391 ,Y: 0.3242958 ,Z: 2.127428
Shoulder Right:  X: 0.311428 ,Y: 0.3208944 ,Z: 2.22998
Spine:  X: 0.1305513 ,Y: 0.1241139 ,Z: 2.176929
Hip Center:  X: 0.1477186 ,Y: 0.06642181 ,Z: 2.129678
Hip Left:  X: 0.07942203 ,Y: -0.01166895 ,Z: 2.095834
Hip Right:  X: 0.2251183 ,Y: -0.008524309 ,Z: 2.141071
Elbow Left:  X: -0.09576859 ,Y: 0.09550529 ,Z: 2.121146
Wrist Left:  X: -0.03037899 ,Y: -0.1551296 ,Z: 1.988559
Hand Left:  X: -0.004709108 ,Y: 0.04811343 ,Z: 1.872979
Elbow Right:  X: 0.3579217 ,Y: 0.08668107 ,Z: 2.257979
Wrist Right:  X: 0.4434735 ,Y: 0.01369519 ,Z: 1.992438
Hand Right:  X: 0.5180847 ,Y: -0.0346462 ,Z: 1.911674
Knee Left:  X: 0.1257487 ,Y: -0.301728 ,Z: 1.7287
Ankle Left:  X: 0.1675998 ,Y: -0.615342 ,Z: 1.72426
Knee Right:  X: 0.3757404 ,Y: -0.2795292 ,Z: 1.801008
Ankle Right:  X: 0.3718939 ,Y: -0.6475891 ,Z: 1.79475
--------------------------------------
Head:  X: 0.1675265 ,Y: 0.6452152 ,Z: 2.136469
Shoulder Center:  X: 0.1311254 ,Y: 0.4477001 ,Z: 2.166675
Shoulder Left:  X: -0.01629255 ,Y: 0.3241304 ,Z: 2.125799
Shoulder Right:  X: 0.3165075 ,Y: 0.3199783 ,Z: 2.233619
Spine:  X: 0.1324526 ,Y: 0.1245656 ,Z: 2.179266
Hip Center:  X: 0.1499415 ,Y: 0.06684244 ,Z: 2.13312
Hip Left:  X: 0.08164086 ,Y: -0.009085525 ,Z: 2.102983
Hip Right:  X: 0.2266009 ,Y: -0.01050962 ,Z: 2.14528
Elbow Left:  X: -0.09200846 ,Y: 0.08626575 ,Z: 2.11873
Wrist Left:  X: -0.02645547 ,Y: -0.1599567 ,Z: 1.989027
Hand Left:  X: 0.002220443 ,Y: 0.04356283 ,Z: 1.872101
Elbow Right:  X: 0.3400865 ,Y: 0.05978225 ,Z: 2.236347
Wrist Right:  X: 0.4473085 ,Y: 0.007927593 ,Z: 1.96376
