Head:  X: 0.2968203 ,Y: 0.5081089 ,Z: 1.948476
Shoulder Center:  X: 0.3235438 ,Y: 0.2978432 ,Z: 1.980296
Shoulder Left:  X: 0.1541262 ,Y: 0.2295458 ,Z: 1.942653
Shoulder Right:  X: 0.4242594 ,Y: 0.2363224 ,Z: 2.025514
Spine:  X: 0.2902379 ,Y: 0.02947783 ,Z: 2.048824
Hip Center:  X: 0.2835767 ,Y: -0.02419527 ,Z: 2.065165
Hip Left:  X: 0.2148178 ,Y: -0.09001116 ,Z: 2.053137
Hip Right:  X: 0.3363777 ,Y: -0.08696166 ,Z: 2.106775
Elbow Left:  X: 0.1028675 ,Y: 0.06139544 ,Z: 1.865484
Wrist Left:  X: 0.170885 ,Y: -0.004023075 ,Z: 1.680321
Hand Left:  X: 0.2084845 ,Y: -0.03549709 ,Z: 1.616074
Elbow Right:  X: 0.482834 ,Y: 0.08707438 ,Z: 2.002764
Wrist Right:  X: 0.4973539 ,Y: -0.01987392 ,Z: 1.845231
Hand Right:  X: 0.5118874 ,Y: 0.004118381 ,Z: 1.723142
Knee Left:  X: 0.205317 ,Y: -0.3750349 ,Z: 1.793082
Ankle Left:  X: 0.2059592 ,Y: -0.627277 ,Z: 1.758725
Knee Right:  X: 0.4276432 ,Y: -0.3541262 ,Z: 1.846596
Ankle Right:  X: 0.4511502 ,Y: -0.6375479 ,Z: 1.818311
--------------------------------------
Head:  X: 0.305483 ,Y: 0.4797322 ,Z: 1.89171
Shoulder Center:  X: 0.3318855 ,Y: 0.2756508 ,Z: 1.925202
Shoulder Left:  X: 0.16769 ,Y: 0.205591 ,Z: 1.894109
Shoulder Right:  X: 0.4308741 ,Y: 0.2184307 ,Z: 1.979106
Spine:  X: 0.3017883 ,Y: 0.05282155 ,Z: 2.012463
Hip Center:  X: 0.296204 ,Y: 0.007923339 ,Z: 2.031905
Hip Left:  X: 0.2277642 ,Y: -0.06043871 ,Z: 2.023502
Hip Right:  X: 0.3488026 ,Y: -0.05106957 ,Z: 2.083832
Elbow Left:  X: 0.1277181 ,Y: 0.05268201 ,Z: 1.804029
Wrist Left:  X: 0.1815247 ,Y: 0.0006019324 ,Z: 1.617889
Hand Left:  X: 0.23057 ,Y: -0.0457386 ,Z: 1.518993
Elbow Right:  X: 0.4883626 ,Y: 0.07955512 ,Z: 1.942016
Wrist Right:  X: 0.5078574 ,Y: 0.0008265928 ,Z: 1.767158
Hand Right:  X: 0.5400206 ,Y: -0.01866838 ,Z: 1.628376
Knee Left:  X: 0.2032881 ,Y: -0.3715085 ,Z: 1.787597
Ankle Left:  X: 0.2072648 ,Y: -0.6159917 ,Z: 1.754813
Knee Right:  X: 0.4262869 ,Y: -0.3619011 ,Z: 1.839767
Ankle Right:  X: 0.4513194 ,Y: -0.6275181 ,Z: 1.812921
--------------------------------------
Head:  X: 0.3177353 ,Y: 0.431557 ,Z: 1.809727
Shoulder Center:  X: 0.3523506 ,Y: 0.2399463 ,Z: 1.873454
Shoulder Left:  X: 0.1788067 ,Y: 0.1823871 ,Z: 1.843808
Shoulder Right:  X: 0.4411036 ,Y: 0.1919386 ,Z: 1.922378
Spine:  X: 0.3004731 ,Y: 0.03100211 ,Z: 1.978401
Hip Center:  X: 0.2901995 ,Y: -0.01101387 ,Z: 2.001035
Hip Left:  X: 0.217188 ,Y: -0.07248814 ,Z: 2.000637
Hip Right:  X: 0.3349002 ,Y: -0.06740464 ,Z: 2.054276
Elbow Left:  X: 0.1292457 ,Y: 0.01938443 ,Z: 1.769585
Wrist Left:  X: 0.1863935 ,Y: -0.03331408 ,Z: 1.587065
Hand Left:  X: 0.2255256 ,Y: -0.08441309 ,Z: 1.486045
Elbow Right:  X: 0.5122585 ,Y: 0.06206608 ,Z: 1.904116
Wrist Right:  X: 0.552714 ,Y: 0.0006394386 ,Z: 1.719774
Hand Right:  X: 0.5782712 ,Y: -0.0475182 ,Z: 1.598683
Knee Left:  X: 0.2065244 ,Y: -0.3817234 ,Z: 1.78477
Ankle Left:  X: 0.2108055 ,Y: -0.6126088 ,Z: 1.752356
Knee Right:  X: 0.4259223 ,Y: -0.3655272 ,Z: 1.835914
