Head:  X: 0.3029614 ,Y: 0.5040092 ,Z: 2.176379
Shoulder Center:  X: 0.3425953 ,Y: 0.2987034 ,Z: 2.185039
Shoulder Left:  X: 0.170143 ,Y: 0.2514105 ,Z: 2.167613
Shoulder Right:  X: 0.4714113 ,Y: 0.2096267 ,Z: 2.213389
Spine:  X: 0.3184535 ,Y: 0.04172506 ,Z: 2.191639
Hip Center:  X: 0.3184018 ,Y: -0.007473205 ,Z: 2.165176
Hip Left:  X: 0.2381459 ,Y: -0.07758807 ,Z: 2.1437
Hip Right:  X: 0.3868716 ,Y: -0.07324898 ,Z: 2.173831
Elbow Left:  X: 0.1202672 ,Y: 0.03352262 ,Z: 2.19772
Wrist Left:  X: 0.1563811 ,Y: -0.1239484 ,Z: 1.998129
Hand Left:  X: 0.1975737 ,Y: -0.1653635 ,Z: 1.986935
Elbow Right:  X: 0.549628 ,Y: 0.04957211 ,Z: 2.147235
Wrist Right:  X: 0.6092272 ,Y: -0.03367481 ,Z: 1.984258
Hand Right:  X: 0.6098868 ,Y: -0.02129105 ,Z: 1.958046
Knee Left:  X: 0.3054945 ,Y: -0.3852079 ,Z: 1.771951
Ankle Left:  X: 0.2913423 ,Y: -0.6388775 ,Z: 1.73513
Knee Right:  X: 0.3551415 ,Y: -0.2511662 ,Z: 1.768218
Ankle Right:  X: 0.3174881 ,Y: -0.5301546 ,Z: 1.573463
--------------------------------------
Head:  X: 0.309577 ,Y: 0.5006186 ,Z: 2.151534
Shoulder Center:  X: 0.3037199 ,Y: 0.3220275 ,Z: 2.161408
Shoulder Left:  X: 0.1883021 ,Y: 0.2535611 ,Z: 2.147316
Shoulder Right:  X: 0.4771872 ,Y: 0.2431853 ,Z: 2.193281
Spine:  X: 0.3197541 ,Y: 0.049459 ,Z: 2.183097
Hip Center:  X: 0.3258467 ,Y: -0.003274259 ,Z: 2.164852
Hip Left:  X: 0.2585351 ,Y: -0.06930984 ,Z: 2.153653
Hip Right:  X: 0.3990293 ,Y: -0.07157543 ,Z: 2.171837
Elbow Left:  X: 0.08484223 ,Y: 0.04549488 ,Z: 2.038343
Wrist Left:  X: 0.1090406 ,Y: 0.2203888 ,Z: 1.976406
Hand Left:  X: 0.1181004 ,Y: 0.3267503 ,Z: 1.958024
Elbow Right:  X: 0.5428752 ,Y: 0.01432731 ,Z: 2.176956
Wrist Right:  X: 0.6168842 ,Y: -0.02926984 ,Z: 2.004281
Hand Right:  X: 0.6111647 ,Y: -0.02562762 ,Z: 1.967521
Knee Left:  X: 0.3094983 ,Y: -0.330774 ,Z: 1.787092
Ankle Left:  X: 0.2932314 ,Y: -0.6141942 ,Z: 1.729095
Knee Right:  X: 0.4276169 ,Y: -0.3129564 ,Z: 1.803886
Ankle Right:  X: 0.4708189 ,Y: -0.6060504 ,Z: 1.771069
--------------------------------------
Head:  X: 0.3167293 ,Y: 0.4980545 ,Z: 2.128879
Shoulder Center:  X: 0.31609 ,Y: 0.3141037 ,Z: 2.130181
Shoulder Left:  X: 0.1924864 ,Y: 0.266723 ,Z: 2.073869
Shoulder Right:  X: 0.4789517 ,Y: 0.2464031 ,Z: 2.171638
Spine:  X: 0.3271618 ,Y: 0.05016117 ,Z: 2.153234
Hip Center:  X: 0.331115 ,Y: -0.002497148 ,Z: 2.155065
Hip Left:  X: 0.2669346 ,Y: -0.06736828 ,Z: 2.141078
Hip Right:  X: 0.402024 ,Y: -0.07096658 ,Z: 2.173648
Elbow Left:  X: 0.07337181 ,Y: 0.1699025 ,Z: 1.955132
Wrist Left:  X: 0.2371719 ,Y: 0.1421935 ,Z: 2.021601
Hand Left:  X: 0.2659384 ,Y: 0.1911752 ,Z: 2.038407
Elbow Right:  X: 0.5344702 ,Y: 0.005855873 ,Z: 2.167852
Wrist Right:  X: 0.6161117 ,Y: -0.03451749 ,Z: 1.99943
Hand Right:  X: 0.6102903 ,Y: -0.03105659 ,Z: 1.959828
Knee Left:  X: 0.3046439 ,Y: -0.3339583 ,Z: 1.784526
Ankle Left:  X: 0.2926183 ,Y: -0.6137885 ,Z: 1.73172
Knee Right:  X: 0.4357452 ,Y: -0.3253359 ,Z: 1.803543
Ankle Right:  X: 0.4721739 ,Y: -0.6146499 ,Z: 1.779832
--------------------------------------
