Head:  X: 0.2466217 ,Y: 0.5358164 ,Z: 2.155253
Shoulder Center:  X: 0.2483091 ,Y: 0.3390384 ,Z: 2.153683
Shoulder Left:  X: 0.1128412 ,Y: 0.2530351 ,Z: 2.106613
Shoulder Right:  X: 0.3880995 ,Y: 0.2533979 ,Z: 2.203185
Spine:  X: 0.236058 ,Y: 0.09667502 ,Z: 2.158619
Hip Center:  X: 0.2371614 ,Y: 0.04847486 ,Z: 2.152384
Hip Left:  X: 0.1746468 ,Y: -0.01241776 ,Z: 2.132884
Hip Right:  X: 0.2956346 ,Y: -0.02054283 ,Z: 2.167467
Elbow Left:  X: 0.04930467 ,Y: 0.03790255 ,Z: 2.210269
Wrist Left:  X: 0.07438206 ,Y: 0.02574512 ,Z: 1.946578
Hand Left:  X: 0.1392006 ,Y: 0.03894074 ,Z: 1.75203
Elbow Right:  X: 0.4371392 ,Y: 0.04660711 ,Z: 2.155572
Wrist Right:  X: 0.4917609 ,Y: 0.008790091 ,Z: 1.899142
Hand Right:  X: 0.5099682 ,Y: -0.003815582 ,Z: 1.81687
Knee Left:  X: 0.3152762 ,Y: -0.2599845 ,Z: 1.805758
Ankle Left:  X: 0.2974008 ,Y: -0.6175214 ,Z: 1.753431
Knee Right:  X: 0.305914 ,Y: -0.4427913 ,Z: 1.834491
Ankle Right:  X: 0.3098836 ,Y: -0.7001663 ,Z: 1.749551
--------------------------------------
Head:  X: 0.2499105 ,Y: 0.5374122 ,Z: 2.160308
Shoulder Center:  X: 0.2474092 ,Y: 0.3381433 ,Z: 2.152985
Shoulder Left:  X: 0.1123942 ,Y: 0.2522055 ,Z: 2.108688
Shoulder Right:  X: 0.3904026 ,Y: 0.2482917 ,Z: 2.203877
Spine:  X: 0.2367487 ,Y: 0.09530971 ,Z: 2.161201
Hip Center:  X: 0.2377719 ,Y: 0.04693671 ,Z: 2.155472
Hip Left:  X: 0.1740656 ,Y: -0.0144766 ,Z: 2.135849
Hip Right:  X: 0.2970938 ,Y: -0.02319365 ,Z: 2.172201
Elbow Left:  X: 0.05007651 ,Y: 0.04014862 ,Z: 2.211215
Wrist Left:  X: 0.07582881 ,Y: 0.02477483 ,Z: 1.951145
Hand Left:  X: 0.1394699 ,Y: 0.03955888 ,Z: 1.752263
Elbow Right:  X: 0.4406106 ,Y: 0.05363862 ,Z: 2.154575
Wrist Right:  X: 0.4913303 ,Y: 0.008879069 ,Z: 1.901957
Hand Right:  X: 0.4956142 ,Y: 0.00230684 ,Z: 1.868964
Knee Left:  X: 0.3161948 ,Y: -0.2596083 ,Z: 1.806389
Ankle Left:  X: 0.2975813 ,Y: -0.610206 ,Z: 1.754375
Knee Right:  X: 0.3056982 ,Y: -0.406444 ,Z: 1.805147
Ankle Right:  X: 0.3087109 ,Y: -0.6632692 ,Z: 1.741807
--------------------------------------
Head:  X: 0.251041 ,Y: 0.5372238 ,Z: 2.160774
Shoulder Center:  X: 0.2434318 ,Y: 0.34306 ,Z: 2.151227
Shoulder Left:  X: 0.1131462 ,Y: 0.2510647 ,Z: 2.110577
Shoulder Right:  X: 0.3914471 ,Y: 0.246064 ,Z: 2.202665
Spine:  X: 0.2365139 ,Y: 0.09428211 ,Z: 2.158461
Hip Center:  X: 0.2370708 ,Y: 0.04471385 ,Z: 2.155462
Hip Left:  X: 0.1738308 ,Y: -0.01640046 ,Z: 2.136723
Hip Right:  X: 0.297096 ,Y: -0.02574552 ,Z: 2.17151
Elbow Left:  X: 0.05109889 ,Y: 0.04521154 ,Z: 2.219593
Wrist Left:  X: 0.07519275 ,Y: 0.02556266 ,Z: 1.96159
Hand Left:  X: 0.1411053 ,Y: 0.04193304 ,Z: 1.750134
Elbow Right:  X: 0.440213 ,Y: 0.06018541 ,Z: 2.155269
Wrist Right:  X: 0.4932122 ,Y: 0.01284106 ,Z: 1.905631
Hand Right:  X: 0.5038331 ,Y: 0.004884376 ,Z: 1.874529
Knee Left:  X: 0.3161569 ,Y: -0.2584024 ,Z: 1.807076
Ankle Left:  X: 0.2990715 ,Y: -0.6076456 ,Z: 1.754305
Knee Right:  X: 0.3038383 ,Y: -0.4318822 ,Z: 1.815303
Ankle Right:  X: 0.3120022 ,Y: -0.6858842 ,Z: 1.743053
--------------------------------------
Head:  X: 0.2534264 ,Y: 0.537272 ,Z: 2.161454
Shoulder Center:  X: 0.2449336 ,Y: 0.3425666 ,Z: 2.155196
Shoulder Left:  X: 0.112191 ,Y: 0.2503058 ,Z: 2.11338
Shoulder Right:  X: 0.3956509 ,Y: 0.244868 ,Z: 2.204069
Spine:  X: 0.2379812 ,Y: 0.0927176 ,Z: 2.159925
Hip Center:  X: 0.2393998 ,Y: 0.04272745 ,Z: 2.154967
Hip Left:  X: 0.1746646 ,Y: -0.01772228 ,Z: 2.141137
Hip Right:  X: 0.3032377 ,Y: -0.03069537 ,Z: 2.162991
Elbow Left:  X: 0.0692351 ,Y: 0.03091329 ,Z: 2.100701
Wrist Left:  X: 0.1016515 ,Y: 0.03247071 ,Z: 1.843734
Hand Left:  X: 0.1366454 ,Y: 0.04757193 ,Z: 1.736869
Elbow Right:  X: 0.4573433 ,Y: 0.07716527 ,Z: 2.132197
Wrist Right:  X: 0.5118425 ,Y: 0.055233 ,Z: 1.880128
Hand Right:  X: 0.5100712 ,Y: 0.008275568 ,Z: 1.848168
Knee Left:  X: 0.3163868 ,Y: -0.2561232 ,Z: 1.80698
Ankle Left:  X: 0.2998679 ,Y: -0.6027036 ,Z: 1.754255
Knee Right:  X: 0.3099316 ,Y: -0.3300496 ,Z: 1.815038
Ankle Right:  X: 0.3094273 ,Y: -0.6126726 ,Z: 1.75022
--------------------------------------
Head:  X: 0.2586805 ,Y: 0.5350262 ,Z: 2.166403
Shoulder Center:  X: 0.2425935 ,Y: 0.3460864 ,Z: 2.157679
Shoulder Left:  X: 0.1128526 ,Y: 0.2496075 ,Z: 2.117309
Shoulder Right:  X: 0.400389 ,Y: 0.2421074 ,Z: 2.205333
Spine:  X: 0.2382284 ,Y: 0.09120011 ,Z: 2.163841
Hip Center:  X: 0.2418883 ,Y: 0.04066689 ,Z: 2.152926
Hip Left:  X: 0.1772805 ,Y: -0.01862467 ,Z: 2.140634
Hip Right:  X: 0.3067403 ,Y: -0.03353579 ,Z: 2.15783
Elbow Left:  X: 0.07250543 ,Y: 0.03854282 ,Z: 2.103956
Wrist Left:  X: 0.1045064 ,Y: 0.03529967 ,Z: 1.842382
Hand Left:  X: 0.1358954 ,Y: 0.05144306 ,Z: 1.733633
Elbow Right:  X: 0.4524083 ,Y: 0.08099388 ,Z: 2.105282
Wrist Right:  X: 0.4899741 ,Y: 0.02952893 ,Z: 1.919035
Hand Right:  X: 0.5070974 ,Y: 0.01477663 ,Z: 1.85221
Knee Left:  X: 0.3160345 ,Y: -0.2500874 ,Z: 1.807148
Ankle Left:  X: 0.3008003 ,Y: -0.5988409 ,Z: 1.754279
Knee Right:  X: 0.3140279 ,Y: -0.3340743 ,Z: 1.809383
Ankle Right:  X: 0.3090899 ,Y: -0.6153667 ,Z: 1.748996
--------------------------------------
Head:  X: 0.2580518 ,Y: 0.5328485 ,Z: 2.168437
Shoulder Center:  X: 0.2432003 ,Y: 0.3460435 ,Z: 2.161692
Shoulder Left:  X: 0.1139984 ,Y: 0.2429082 ,Z: 2.118632
Shoulder Right:  X: 0.3965804 ,Y: 0.2410689 ,Z: 2.198607
Spine:  X: 0.2394669 ,Y: 0.08863153 ,Z: 2.168448
Hip Center:  X: 0.2439197 ,Y: 0.03791631 ,Z: 2.154633
Hip Left:  X: 0.1798452 ,Y: -0.02134308 ,Z: 2.144006
Hip Right:  X: 0.3091666 ,Y: -0.03408466 ,Z: 2.158184
Elbow Left:  X: 0.05434421 ,Y: 0.03257266 ,Z: 2.233823
Wrist Left:  X: 0.083886 ,Y: 0.03185075 ,Z: 1.969093
Hand Left:  X: 0.1450425 ,Y: 0.05770344 ,Z: 1.74325
Elbow Right:  X: 0.4499303 ,Y: 0.07730503 ,Z: 2.099894
Wrist Right:  X: 0.4826041 ,Y: 0.02996717 ,Z: 1.909338
Hand Right:  X: 0.4986925 ,Y: 0.01087491 ,Z: 1.845418
Knee Left:  X: 0.3165406 ,Y: -0.2522485 ,Z: 1.806819
Ankle Left:  X: 0.3012876 ,Y: -0.6029012 ,Z: 1.753471
Knee Right:  X: 0.306182 ,Y: -0.3971208 ,Z: 1.805828
Ankle Right:  X: 0.3093276 ,Y: -0.6539576 ,Z: 1.742317
--------------------------------------
Head:  X: 0.2571776 ,Y: 0.5332013 ,Z: 2.168052
Shoulder Center:  X: 0.2463344 ,Y: 0.3424769 ,Z: 2.161946
Shoulder Left:  X: 0.1154042 ,Y: 0.249406 ,Z: 2.119532
Shoulder Right:  X: 0.399182 ,Y: 0.23522 ,Z: 2.201425
Spine:  X: 0.2386873 ,Y: 0.08923259 ,Z: 2.170444
Hip Center:  X: 0.2434988 ,Y: 0.03904435 ,Z: 2.154902
Hip Left:  X: 0.1784994 ,Y: -0.01937004 ,Z: 2.143677
Hip Right:  X: 0.3081437 ,Y: -0.03485514 ,Z: 2.15846
Elbow Left:  X: 0.0539494 ,Y: 0.0334917 ,Z: 2.23199
Wrist Left:  X: 0.07325038 ,Y: 0.05137327 ,Z: 1.963226
Hand Left:  X: 0.1467114 ,Y: 0.06366523 ,Z: 1.73995
Elbow Right:  X: 0.4488311 ,Y: 0.0694872 ,Z: 2.098025
Wrist Right:  X: 0.4861175 ,Y: 0.03369664 ,Z: 1.896614
Hand Right:  X: 0.4969544 ,Y: 0.02141766 ,Z: 1.843646
Knee Left:  X: 0.3169406 ,Y: -0.2510926 ,Z: 1.806678
Ankle Left:  X: 0.3012285 ,Y: -0.6006858 ,Z: 1.753574
Knee Right:  X: 0.3107323 ,Y: -0.3992699 ,Z: 1.806964
Ankle Right:  X: 0.3142599 ,Y: -0.6553647 ,Z: 1.74375
--------------------------------------
Head:  X: 0.2499349 ,Y: 0.5346594 ,Z: 2.164814
Shoulder Center:  X: 0.2575882 ,Y: 0.3334445 ,Z: 2.1637
Shoulder Left:  X: 0.1185833 ,Y: 0.2546249 ,Z: 2.118164
Shoulder Right:  X: 0.3987768 ,Y: 0.2326219 ,Z: 2.203198
Spine:  X: 0.2378946 ,Y: 0.08583064 ,Z: 2.171507
Hip Center:  X: 0.2407662 ,Y: 0.03671637 ,Z: 2.155105
Hip Left:  X: 0.1734697 ,Y: -0.01885786 ,Z: 2.142593
Hip Right:  X: 0.3014025 ,Y: -0.03820989 ,Z: 2.159525
Elbow Left:  X: 0.05655139 ,Y: 0.03910901 ,Z: 2.229684
Wrist Left:  X: 0.08345129 ,Y: 0.0333325 ,Z: 1.961728
Hand Left:  X: 0.1439633 ,Y: 0.06792258 ,Z: 1.740264
Elbow Right:  X: 0.4546397 ,Y: 0.06643005 ,Z: 2.105972
