Head:  X: 0.1532219 ,Y: 0.3747045 ,Z: 1.928803
Shoulder Center:  X: 0.08608364 ,Y: 0.1621719 ,Z: 1.930615
Shoulder Left:  X: -0.0513795 ,Y: 0.03848138 ,Z: 1.858271
Shoulder Right:  X: 0.2521488 ,Y: 0.02863564 ,Z: 2.041604
Spine:  X: 0.07506948 ,Y: -0.173381 ,Z: 1.927332
Hip Center:  X: 0.1024959 ,Y: -0.2315698 ,Z: 1.881267
Hip Left:  X: 0.0375329 ,Y: -0.3092642 ,Z: 1.825176
Hip Right:  X: 0.1741206 ,Y: -0.3136948 ,Z: 1.912068
Elbow Left:  X: -0.142 ,Y: -0.1636436 ,Z: 1.78611
Wrist Left:  X: 0.1079083 ,Y: -0.1879456 ,Z: 1.710953
Hand Left:  X: 0.1912111 ,Y: -0.1960463 ,Z: 1.69022
Elbow Right:  X: 0.2804652 ,Y: -0.1891442 ,Z: 2.057602
Wrist Right:  X: 0.2772268 ,Y: -0.3121452 ,Z: 1.817105
Hand Right:  X: 0.2552103 ,Y: -0.3547589 ,Z: 1.732631
--------------------------------------
Head:  X: 0.1661153 ,Y: 0.4168746 ,Z: 1.931746
Shoulder Center:  X: 0.1023377 ,Y: 0.2021032 ,Z: 1.914309
Shoulder Left:  X: -0.005802219 ,Y: 0.07950302 ,Z: 1.811908
Shoulder Right:  X: 0.2816637 ,Y: 0.0441221 ,Z: 2.000452
Spine:  X: 0.09117499 ,Y: -0.1354084 ,Z: 1.914022
Hip Center:  X: 0.1187737 ,Y: -0.1949852 ,Z: 1.872823
Hip Left:  X: 0.05649243 ,Y: -0.2604755 ,Z: 1.821278
Hip Right:  X: 0.1879226 ,Y: -0.2776396 ,Z: 1.902105
Elbow Left:  X: -0.01438623 ,Y: -0.05503411 ,Z: 1.537991
Wrist Left:  X: 0.143099 ,Y: -0.05583815 ,Z: 1.387262
Hand Left:  X: 0.2236816 ,Y: -0.04235934 ,Z: 1.314094
Elbow Right:  X: 0.4001137 ,Y: -0.1519479 ,Z: 1.862315
Wrist Right:  X: 0.5034939 ,Y: -0.118559 ,Z: 1.670634
Hand Right:  X: 0.5873311 ,Y: -0.09758538 ,Z: 1.585617
--------------------------------------
Head:  X: 0.1200477 ,Y: 0.4205022 ,Z: 1.919601
Shoulder Center:  X: 0.08762448 ,Y: 0.2091594 ,Z: 1.914339
Shoulder Left:  X: -0.01644646 ,Y: 0.07751378 ,Z: 1.810535
Shoulder Right:  X: 0.2728491 ,Y: 0.04649448 ,Z: 1.987089
Spine:  X: 0.08954152 ,Y: -0.1350055 ,Z: 1.908808
Hip Center:  X: 0.1190164 ,Y: -0.194097 ,Z: 1.864039
Hip Left:  X: 0.06092364 ,Y: -0.2607747 ,Z: 1.815375
