Head:  X: 0.1284862 ,Y: 0.3887842 ,Z: 1.895543
Shoulder Center:  X: 0.1079337 ,Y: 0.1620025 ,Z: 1.903481
Shoulder Left:  X: -0.05165734 ,Y: 0.04492039 ,Z: 1.829314
Shoulder Right:  X: 0.3084315 ,Y: 0.01737765 ,Z: 2.006014
Spine:  X: 0.108487 ,Y: -0.1209417 ,Z: 1.911918
Hip Center:  X: 0.1181976 ,Y: -0.1762068 ,Z: 1.897097
Hip Left:  X: 0.03998923 ,Y: -0.2626566 ,Z: 1.847287
Hip Right:  X: 0.2020292 ,Y: -0.2750508 ,Z: 1.937023
Elbow Left:  X: -0.2320911 ,Y: -0.06909487 ,Z: 1.702163
Wrist Left:  X: -0.3450288 ,Y: -0.07517992 ,Z: 1.473505
Hand Left:  X: -0.3975845 ,Y: -0.08689599 ,Z: 1.437856
Elbow Right:  X: 0.4837597 ,Y: -0.04774943 ,Z: 1.96377
Wrist Right:  X: 0.6093534 ,Y: 0.158685 ,Z: 1.91347
Hand Right:  X: 0.6000308 ,Y: 0.2197667 ,Z: 1.894699
--------------------------------------
Head:  X: -0.0223466 ,Y: 0.3891778 ,Z: 1.876358
Shoulder Center:  X: 0.01439204 ,Y: 0.1672482 ,Z: 1.889644
Shoulder Left:  X: -0.1433608 ,Y: 0.04517058 ,Z: 1.850298
Shoulder Right:  X: 0.1838713 ,Y: 0.08015484 ,Z: 1.871724
Spine:  X: 0.0464121 ,Y: -0.1186918 ,Z: 1.893149
Hip Center:  X: 0.05472453 ,Y: -0.1685679 ,Z: 1.862308
Hip Left:  X: -0.00734626 ,Y: -0.2497848 ,Z: 1.85089
Hip Right:  X: 0.1331105 ,Y: -0.2328148 ,Z: 1.853115
Elbow Left:  X: -0.2321005 ,Y: 0.01674643 ,Z: 1.633927
Wrist Left:  X: -0.1614267 ,Y: 0.2143168 ,Z: 1.552133
Hand Left:  X: -0.1960366 ,Y: 0.2770468 ,Z: 1.531793
Elbow Right:  X: 0.2234744 ,Y: -0.0608272 ,Z: 1.717769
Wrist Right:  X: 0.07908545 ,Y: -0.1267667 ,Z: 1.589756
Hand Right:  X: 0.04384512 ,Y: -0.1094885 ,Z: 1.577631
--------------------------------------
Head:  X: -0.03779177 ,Y: 0.3807228 ,Z: 1.832864
Shoulder Center:  X: 0.008806548 ,Y: 0.1652569 ,Z: 1.855307
Shoulder Left:  X: -0.1571454 ,Y: 0.0374649 ,Z: 1.81074
Shoulder Right:  X: 0.1867308 ,Y: 0.06991 ,Z: 1.879674
Spine:  X: 0.04601146 ,Y: -0.1263871 ,Z: 1.871668
Hip Center:  X: 0.06137092 ,Y: -0.1800023 ,Z: 1.836978
Hip Left:  X: -0.0009697436 ,Y: -0.2654508 ,Z: 1.81657
Hip Right:  X: 0.1501594 ,Y: -0.2505164 ,Z: 1.844475
Elbow Left:  X: -0.2433389 ,Y: -0.1337123 ,Z: 1.71362
Wrist Left:  X: -0.09841792 ,Y: -0.2182304 ,Z: 1.545446
Hand Left:  X: 0.006054085 ,Y: -0.2129399 ,Z: 1.472055
Elbow Right:  X: 0.358873 ,Y: -0.03816556 ,Z: 1.711273
Wrist Right:  X: 0.3517652 ,Y: 0.08348217 ,Z: 1.496917
Hand Right:  X: 0.3343036 ,Y: 0.1339698 ,Z: 1.4501
--------------------------------------
Head:  X: 0.1504266 ,Y: 0.3775925 ,Z: 1.83984
Shoulder Center:  X: 0.09237422 ,Y: 0.1710874 ,Z: 1.848719
Shoulder Left:  X: -0.05957532 ,Y: 0.05058621 ,Z: 1.794862
Shoulder Right:  X: 0.2739713 ,Y: 0.02990033 ,Z: 2.000393
Spine:  X: 0.09438492 ,Y: -0.1271872 ,Z: 1.864427
Hip Center:  X: 0.1081409 ,Y: -0.1855214 ,Z: 1.850668
Hip Left:  X: 0.0416072 ,Y: -0.2686006 ,Z: 1.81171
Hip Right:  X: 0.1877354 ,Y: -0.2751539 ,Z: 1.888784
Elbow Left:  X: -0.2020889 ,Y: -0.1347932 ,Z: 1.77439
Wrist Left:  X: -0.2131021 ,Y: -0.2892063 ,Z: 1.546314
Hand Left:  X: -0.2099049 ,Y: -0.3430133 ,Z: 1.480395
Elbow Right:  X: 0.3807533 ,Y: -0.1861695 ,Z: 2.054138
Wrist Right:  X: 0.5986824 ,Y: -0.1574781 ,Z: 1.978841
Hand Right:  X: 0.6672278 ,Y: -0.153798 ,Z: 1.955395
--------------------------------------
Head:  X: 0.2900037 ,Y: 0.3510649 ,Z: 1.971619
Shoulder Center:  X: 0.200415 ,Y: 0.1167363 ,Z: 1.927607
Shoulder Left:  X: 0.08392479 ,Y: 0.08517948 ,Z: 1.770851
Shoulder Right:  X: 0.2921857 ,Y: 0.0486351 ,Z: 2.111065
Spine:  X: 0.149217 ,Y: -0.1680446 ,Z: 1.885102
Hip Center:  X: 0.1619707 ,Y: -0.2271023 ,Z: 1.866536
Hip Left:  X: 0.110174 ,Y: -0.2848623 ,Z: 1.795715
Hip Right:  X: 0.201566 ,Y: -0.3204881 ,Z: 1.906734
Elbow Left:  X: 0.208354 ,Y: -0.04317566 ,Z: 1.600415
Wrist Left:  X: 0.4464216 ,Y: -0.05262612 ,Z: 1.624207
Hand Left:  X: 0.534895 ,Y: -0.0496792 ,Z: 1.647533
Elbow Right:  X: 0.365831 ,Y: -0.1747407 ,Z: 2.219564
Wrist Right:  X: 0.6196516 ,Y: -0.160815 ,Z: 2.279068
Hand Right:  X: 0.6786678 ,Y: -0.1717879 ,Z: 2.310292
--------------------------------------
Head:  X: 0.3559139 ,Y: 0.3599699 ,Z: 2.037005
Shoulder Center:  X: 0.2813075 ,Y: 0.1382589 ,Z: 1.952085
Shoulder Left:  X: 0.2063249 ,Y: 0.07290657 ,Z: 1.802764
Shoulder Right:  X: 0.3730782 ,Y: 0.07015778 ,Z: 2.135543
Spine:  X: 0.1961994 ,Y: -0.1974754 ,Z: 1.887944
Hip Center:  X: 0.2014755 ,Y: -0.2674343 ,Z: 1.866918
Hip Left:  X: 0.1538464 ,Y: -0.2990259 ,Z: 1.846473
Hip Right:  X: 0.2353149 ,Y: -0.3098997 ,Z: 1.869724
Elbow Left:  X: 0.4642856 ,Y: -0.02931832 ,Z: 1.784173
Wrist Left:  X: 0.651826 ,Y: -0.05472506 ,Z: 1.851384
Hand Left:  X: 0.7038722 ,Y: -0.04979228 ,Z: 1.893955
Elbow Right:  X: 0.3989437 ,Y: -0.1882286 ,Z: 2.210085
Wrist Right:  X: 0.5915192 ,Y: -0.1441828 ,Z: 2.253412
Hand Right:  X: 0.659861 ,Y: -0.1270152 ,Z: 2.195492
--------------------------------------
Head:  X: 0.376926 ,Y: 0.3520656 ,Z: 2.051753
Shoulder Center:  X: 0.3138374 ,Y: 0.1505792 ,Z: 1.940187
Shoulder Left:  X: 0.2290275 ,Y: 0.07264914 ,Z: 1.789709
Shoulder Right:  X: 0.4056081 ,Y: 0.08247802 ,Z: 2.123646
Spine:  X: 0.2166657 ,Y: -0.1953136 ,Z: 1.882129
Hip Center:  X: 0.2192303 ,Y: -0.2668515 ,Z: 1.861769
Hip Left:  X: 0.1694371 ,Y: -0.2999886 ,Z: 1.840494
Hip Right:  X: 0.251642 ,Y: -0.3116982 ,Z: 1.865812
Elbow Left:  X: 0.4801536 ,Y: -0.04979015 ,Z: 1.755807
Wrist Left:  X: 0.6797808 ,Y: -0.08275551 ,Z: 1.8827
Hand Left:  X: 0.757542 ,Y: -0.07955737 ,Z: 1.930435
Elbow Right:  X: 0.5769048 ,Y: -0.1013887 ,Z: 2.224924
Wrist Right:  X: 0.4229345 ,Y: -0.2379087 ,Z: 2.186968
Hand Right:  X: 0.3716111 ,Y: -0.2834154 ,Z: 2.178321
--------------------------------------
Head:  X: 0.3646152 ,Y: 0.3803344 ,Z: 1.997422
Shoulder Center:  X: 0.3127091 ,Y: 0.1627555 ,Z: 1.921767
Shoulder Left:  X: 0.2292738 ,Y: 0.07363869 ,Z: 1.772344
Shoulder Right:  X: 0.4044797 ,Y: 0.0946544 ,Z: 2.105225
Spine:  X: 0.2180218 ,Y: -0.1934684 ,Z: 1.871923
Hip Center:  X: 0.2210084 ,Y: -0.2669342 ,Z: 1.853304
Hip Left:  X: 0.1728376 ,Y: -0.301751 ,Z: 1.834006
Hip Right:  X: 0.2524016 ,Y: -0.310234 ,Z: 1.857317
Elbow Left:  X: 0.4767128 ,Y: -0.0513978 ,Z: 1.743254
Wrist Left:  X: 0.6767199 ,Y: -0.07880554 ,Z: 1.875922
Hand Left:  X: 0.7568541 ,Y: -0.07670458 ,Z: 1.920716
Elbow Right:  X: 0.5703692 ,Y: -0.1116291 ,Z: 2.190121
Wrist Right:  X: 0.4042268 ,Y: -0.242036 ,Z: 2.166358
Hand Right:  X: 0.348846 ,Y: -0.285505 ,Z: 2.16249
--------------------------------------
