Head:  X: -0.3754475 ,Y: 0.6978848 ,Z: 2.197699
Shoulder Center:  X: -0.4363753 ,Y: 0.5058241 ,Z: 2.237156
Shoulder Left:  X: -0.5717201 ,Y: 0.3970708 ,Z: 2.155148
Shoulder Right:  X: -0.275308 ,Y: 0.3779658 ,Z: 2.355664
Spine:  X: -0.4230112 ,Y: 0.1932771 ,Z: 2.247712
Hip Center:  X: -0.4034178 ,Y: 0.1336776 ,Z: 2.227769
Hip Left:  X: -0.4657993 ,Y: 0.06194106 ,Z: 2.188056
Hip Right:  X: -0.3273792 ,Y: 0.05362918 ,Z: 2.258521
Elbow Left:  X: -0.5502053 ,Y: 0.1987393 ,Z: 1.980673
Wrist Left:  X: -0.4319871 ,Y: 0.2537349 ,Z: 1.837402
Hand Left:  X: -0.370542 ,Y: 0.2794065 ,Z: 1.782576
Elbow Right:  X: -0.1775753 ,Y: 0.2079362 ,Z: 2.305964
Wrist Right:  X: -0.0752032 ,Y: 0.2460026 ,Z: 2.138553
Hand Right:  X: 0.0154313 ,Y: 0.2733284 ,Z: 1.999055
Knee Left:  X: -0.2998492 ,Y: -0.2049115 ,Z: 1.823929
Ankle Left:  X: -0.295083 ,Y: -0.5669796 ,Z: 1.942267
Knee Right:  X: -0.1290009 ,Y: -0.1934557 ,Z: 1.916587
Ankle Right:  X: -0.1089254 ,Y: -0.5486282 ,Z: 2.039559
--------------------------------------
Head:  X: -0.3703195 ,Y: 0.694069 ,Z: 2.197045
Shoulder Center:  X: -0.4327727 ,Y: 0.5051335 ,Z: 2.236439
Shoulder Left:  X: -0.5667529 ,Y: 0.3922751 ,Z: 2.152221
Shoulder Right:  X: -0.2695449 ,Y: 0.3727892 ,Z: 2.347586
Spine:  X: -0.4194906 ,Y: 0.1913101 ,Z: 2.243896
Hip Center:  X: -0.4013357 ,Y: 0.1311389 ,Z: 2.225022
Hip Left:  X: -0.4638828 ,Y: 0.05999489 ,Z: 2.186009
Hip Right:  X: -0.3257219 ,Y: 0.05129503 ,Z: 2.254598
Elbow Left:  X: -0.5492687 ,Y: 0.1922704 ,Z: 1.986595
Wrist Left:  X: -0.4266862 ,Y: 0.2346713 ,Z: 1.842286
Hand Left:  X: -0.361921 ,Y: 0.2663151 ,Z: 1.787495
Elbow Right:  X: -0.1728063 ,Y: 0.2118842 ,Z: 2.308409
Wrist Right:  X: -0.07959026 ,Y: 0.2339982 ,Z: 2.137929
Hand Right:  X: -0.01505133 ,Y: 0.2620257 ,Z: 2.022466
Knee Left:  X: -0.2986694 ,Y: -0.2038939 ,Z: 1.825714
Ankle Left:  X: -0.2961604 ,Y: -0.5713294 ,Z: 1.945943
Knee Right:  X: -0.05909935 ,Y: -0.1997685 ,Z: 1.955966
Ankle Right:  X: -0.1081498 ,Y: -0.5485538 ,Z: 2.037824
--------------------------------------
Head:  X: -0.3603772 ,Y: 0.6926938 ,Z: 2.179892
Shoulder Center:  X: -0.4243882 ,Y: 0.5032175 ,Z: 2.222256
Shoulder Left:  X: -0.5564315 ,Y: 0.3872441 ,Z: 2.142836
Shoulder Right:  X: -0.2668208 ,Y: 0.383387 ,Z: 2.341627
Spine:  X: -0.4126356 ,Y: 0.1908338 ,Z: 2.23535
Hip Center:  X: -0.3979887 ,Y: 0.1296801 ,Z: 2.222492
Hip Left:  X: -0.4608845 ,Y: 0.05896099 ,Z: 2.185312
Hip Right:  X: -0.3237745 ,Y: 0.05117082 ,Z: 2.253655
Elbow Left:  X: -0.5426211 ,Y: 0.1906535 ,Z: 1.986586
Wrist Left:  X: -0.4248304 ,Y: 0.2357645 ,Z: 1.839157
Hand Left:  X: -0.3457695 ,Y: 0.2529413 ,Z: 1.772331
Elbow Right:  X: -0.1705735 ,Y: 0.2110513 ,Z: 2.302025
Wrist Right:  X: -0.0652926 ,Y: 0.2129443 ,Z: 2.137901
Hand Right:  X: -0.007146032 ,Y: 0.2510326 ,Z: 2.009337
Knee Left:  X: -0.2865225 ,Y: -0.2071886 ,Z: 1.829928
Ankle Left:  X: -0.2951936 ,Y: -0.5759714 ,Z: 1.951306
Knee Right:  X: -0.06155671 ,Y: -0.1831798 ,Z: 1.955468
Ankle Right:  X: -0.1093984 ,Y: -0.5504094 ,Z: 2.042298
--------------------------------------
Head:  X: -0.3607399 ,Y: 0.7101598 ,Z: 2.172025
Shoulder Center:  X: -0.4222337 ,Y: 0.5182754 ,Z: 2.217044
Shoulder Left:  X: -0.5530654 ,Y: 0.3977565 ,Z: 2.135736
