Head:  X: -0.3205636 ,Y: 0.6854746 ,Z: 2.150073
Shoulder Center:  X: -0.3648136 ,Y: 0.4976024 ,Z: 2.174829
Shoulder Left:  X: -0.4715475 ,Y: 0.3608094 ,Z: 2.087882
Shoulder Right:  X: -0.203049 ,Y: 0.3933861 ,Z: 2.269433
Spine:  X: -0.3465707 ,Y: 0.1636288 ,Z: 2.181141
Hip Center:  X: -0.3427259 ,Y: 0.09693412 ,Z: 2.185435
Hip Left:  X: -0.3993782 ,Y: 0.02442944 ,Z: 2.147547
Hip Right:  X: -0.2789372 ,Y: 0.02601658 ,Z: 2.222834
Elbow Left:  X: -0.4735674 ,Y: 0.1815226 ,Z: 1.950098
Wrist Left:  X: -0.3519043 ,Y: 0.1126613 ,Z: 1.791557
Hand Left:  X: -0.2908907 ,Y: 0.1539741 ,Z: 1.734273
Elbow Right:  X: -0.1261946 ,Y: 0.164833 ,Z: 2.160667
Wrist Right:  X: -0.03439336 ,Y: 0.1006147 ,Z: 1.979854
Hand Right:  X: 0.03920033 ,Y: 0.1513444 ,Z: 1.914297
Knee Left:  X: -0.2856219 ,Y: -0.2418058 ,Z: 1.827944
Ankle Left:  X: -0.245662 ,Y: -0.5594056 ,Z: 1.80132
Knee Right:  X: -0.05930962 ,Y: -0.2369681 ,Z: 1.981833
Ankle Right:  X: -0.04512868 ,Y: -0.5530236 ,Z: 1.949208
--------------------------------------
Head:  X: -0.3199553 ,Y: 0.6806087 ,Z: 2.148736
Shoulder Center:  X: -0.3645554 ,Y: 0.4974208 ,Z: 2.181175
Shoulder Left:  X: -0.4718486 ,Y: 0.3614508 ,Z: 2.091376
Shoulder Right:  X: -0.2032538 ,Y: 0.3932906 ,Z: 2.272604
Spine:  X: -0.3487434 ,Y: 0.1641544 ,Z: 2.187029
Hip Center:  X: -0.3424072 ,Y: 0.09769896 ,Z: 2.186955
Hip Left:  X: -0.3984993 ,Y: 0.02674847 ,Z: 2.150338
Hip Right:  X: -0.2786646 ,Y: 0.02660055 ,Z: 2.222008
Elbow Left:  X: -0.4749776 ,Y: 0.1803699 ,Z: 1.945871
Wrist Left:  X: -0.3399409 ,Y: 0.09659418 ,Z: 1.809118
Hand Left:  X: -0.278082 ,Y: 0.1403253 ,Z: 1.726435
Elbow Right:  X: -0.1364779 ,Y: 0.1641704 ,Z: 2.167104
Wrist Right:  X: -0.03995034 ,Y: 0.09911046 ,Z: 1.989803
Hand Right:  X: 0.006002187 ,Y: 0.11238 ,Z: 1.931764
Knee Left:  X: -0.2854805 ,Y: -0.241673 ,Z: 1.827799
Ankle Left:  X: -0.2452541 ,Y: -0.5601284 ,Z: 1.800871
Knee Right:  X: -0.05902059 ,Y: -0.2358523 ,Z: 1.981703
Ankle Right:  X: -0.04635909 ,Y: -0.5557492 ,Z: 1.951675
--------------------------------------
Head:  X: -0.3122762 ,Y: 0.6838666 ,Z: 2.15705
Shoulder Center:  X: -0.363971 ,Y: 0.4990988 ,Z: 2.181234
Shoulder Left:  X: -0.4710214 ,Y: 0.3623624 ,Z: 2.092927
Shoulder Right:  X: -0.2028258 ,Y: 0.3919642 ,Z: 2.273849
Spine:  X: -0.3488297 ,Y: 0.165271 ,Z: 2.18934
Hip Center:  X: -0.3416942 ,Y: 0.09889195 ,Z: 2.188183
Hip Left:  X: -0.3966687 ,Y: 0.02845186 ,Z: 2.151581
