Head:  X: -0.3020261 ,Y: 0.6619189 ,Z: 2.034277
Shoulder Center:  X: -0.3503641 ,Y: 0.4748104 ,Z: 2.068933
Shoulder Left:  X: -0.5017504 ,Y: 0.366143 ,Z: 2.033452
Shoulder Right:  X: -0.1975704 ,Y: 0.3936291 ,Z: 2.189148
Spine:  X: -0.3515589 ,Y: 0.1719346 ,Z: 2.108593
Hip Center:  X: -0.3517979 ,Y: 0.1113594 ,Z: 2.119439
Hip Left:  X: -0.4205362 ,Y: 0.02967361 ,Z: 2.095168
Hip Right:  X: -0.2836553 ,Y: 0.04204236 ,Z: 2.159742
Elbow Left:  X: -0.5595222 ,Y: 0.1143167 ,Z: 2.04142
Wrist Left:  X: -0.5171885 ,Y: -0.09537379 ,Z: 1.973048
Hand Left:  X: -0.5135688 ,Y: -0.1570381 ,Z: 1.941793
Elbow Right:  X: -0.1772063 ,Y: 0.1943033 ,Z: 2.235974
Wrist Right:  X: -0.09844594 ,Y: 0.09294701 ,Z: 1.9955
Hand Right:  X: -0.07143734 ,Y: 0.06578129 ,Z: 1.961577
Knee Left:  X: -0.3082927 ,Y: -0.2268632 ,Z: 1.812846
Ankle Left:  X: -0.2959457 ,Y: -0.570737 ,Z: 1.812604
Knee Right:  X: -0.06546273 ,Y: -0.2243302 ,Z: 1.956078
Ankle Right:  X: -0.0776348 ,Y: -0.5586081 ,Z: 1.958944
--------------------------------------
Head:  X: -0.2970084 ,Y: 0.6557044 ,Z: 2.057815
Shoulder Center:  X: -0.3641721 ,Y: 0.4776632 ,Z: 2.105075
Shoulder Left:  X: -0.5102853 ,Y: 0.3717675 ,Z: 2.060374
Shoulder Right:  X: -0.2011946 ,Y: 0.3861483 ,Z: 2.245653
Spine:  X: -0.3556805 ,Y: 0.1751201 ,Z: 2.131935
Hip Center:  X: -0.3539349 ,Y: 0.114666 ,Z: 2.140492
Hip Left:  X: -0.4216786 ,Y: 0.03560626 ,Z: 2.109281
Hip Right:  X: -0.2813097 ,Y: 0.03670805 ,Z: 2.184143
Elbow Left:  X: -0.5755503 ,Y: 0.1411743 ,Z: 2.031813
Wrist Left:  X: -0.504261 ,Y: -0.06405007 ,Z: 1.931804
Hand Left:  X: -0.4880283 ,Y: -0.1178316 ,Z: 1.904726
Elbow Right:  X: -0.06856649 ,Y: 0.1471315 ,Z: 2.238501
Wrist Right:  X: 0.0205461 ,Y: 0.156419 ,Z: 2.04509
Hand Right:  X: -0.02779852 ,Y: 0.2447577 ,Z: 2.023058
Knee Left:  X: -0.3160694 ,Y: -0.2209491 ,Z: 1.818716
Ankle Left:  X: -0.2963401 ,Y: -0.5719185 ,Z: 1.812009
Knee Right:  X: -0.06422879 ,Y: -0.2269662 ,Z: 1.957917
Ankle Right:  X: -0.07667609 ,Y: -0.5592909 ,Z: 1.959336
--------------------------------------
Head:  X: -0.2797396 ,Y: 0.6615442 ,Z: 2.081338
Shoulder Center:  X: -0.3476051 ,Y: 0.4822939 ,Z: 2.120183
Shoulder Left:  X: -0.4898427 ,Y: 0.3760816 ,Z: 2.067515
Shoulder Right:  X: -0.1881254 ,Y: 0.3777805 ,Z: 2.24397
Spine:  X: -0.3456786 ,Y: 0.1737497 ,Z: 2.140671
Hip Center:  X: -0.3453572 ,Y: 0.1117938 ,Z: 2.147488
Hip Left:  X: -0.4118787 ,Y: 0.03453278 ,Z: 2.111645
Hip Right:  X: -0.2784005 ,Y: 0.03339237 ,Z: 2.189371
Elbow Left:  X: -0.5638254 ,Y: 0.1761701 ,Z: 1.997713
Wrist Left:  X: -0.4654503 ,Y: 0.05923273 ,Z: 1.851216
Hand Left:  X: -0.3950862 ,Y: 0.06814987 ,Z: 1.77739
Elbow Right:  X: -0.1654996 ,Y: 0.1757404 ,Z: 2.209911
Wrist Right:  X: -0.1260129 ,Y: 0.1036119 ,Z: 1.998195
Hand Right:  X: -0.114012 ,Y: 0.07744405 ,Z: 1.940241
Knee Left:  X: -0.3105685 ,Y: -0.2276579 ,Z: 1.816353
Ankle Left:  X: -0.2973042 ,Y: -0.5717113 ,Z: 1.811873
Knee Right:  X: -0.06350035 ,Y: -0.2303873 ,Z: 1.962717
Ankle Right:  X: -0.07284389 ,Y: -0.5641366 ,Z: 1.961006
--------------------------------------
Head:  X: -0.2943488 ,Y: 0.6485035 ,Z: 2.054793
Shoulder Center:  X: -0.3543971 ,Y: 0.47567 ,Z: 2.105715
Shoulder Left:  X: -0.4799466 ,Y: 0.3483955 ,Z: 2.038671
Shoulder Right:  X: -0.194806 ,Y: 0.3801429 ,Z: 2.2208
Spine:  X: -0.3457564 ,Y: 0.1655285 ,Z: 2.132343
Hip Center:  X: -0.3435792 ,Y: 0.1033755 ,Z: 2.140455
Hip Left:  X: -0.4024464 ,Y: 0.02641628 ,Z: 2.106311
Hip Right:  X: -0.2789825 ,Y: 0.02803864 ,Z: 2.18317
Elbow Left:  X: -0.5009137 ,Y: 0.1539064 ,Z: 1.910806
Wrist Left:  X: -0.3462172 ,Y: 0.1025177 ,Z: 1.785887
Hand Left:  X: -0.2872308 ,Y: 0.1508956 ,Z: 1.71874
Elbow Right:  X: -0.1622681 ,Y: 0.1551617 ,Z: 2.173162
Wrist Right:  X: -0.06185387 ,Y: 0.0989793 ,Z: 1.933746
Hand Right:  X: -0.02884161 ,Y: 0.1358755 ,Z: 1.904514
Knee Left:  X: -0.306109 ,Y: -0.2336184 ,Z: 1.813118
Ankle Left:  X: -0.2956724 ,Y: -0.5727882 ,Z: 1.812264
Knee Right:  X: -0.06482393 ,Y: -0.2285017 ,Z: 1.962565
Ankle Right:  X: -0.07673316 ,Y: -0.5603979 ,Z: 1.96304
--------------------------------------
Head:  X: -0.2826318 ,Y: 0.6496359 ,Z: 2.038451
Shoulder Center:  X: -0.340053 ,Y: 0.4744261 ,Z: 2.087651
Shoulder Left:  X: -0.4699016 ,Y: 0.3596706 ,Z: 2.014667
Shoulder Right:  X: -0.1798148 ,Y: 0.3815417 ,Z: 2.20471
Spine:  X: -0.3349895 ,Y: 0.1641759 ,Z: 2.12074
Hip Center:  X: -0.3338688 ,Y: 0.1021422 ,Z: 2.130209
Hip Left:  X: -0.3973711 ,Y: 0.0262259 ,Z: 2.096824
Hip Right:  X: -0.2672865 ,Y: 0.024096 ,Z: 2.17579
Elbow Left:  X: -0.4889284 ,Y: 0.1696369 ,Z: 1.938109
Wrist Left:  X: -0.2962965 ,Y: 0.2980294 ,Z: 1.799642
Hand Left:  X: -0.2726096 ,Y: 0.3110067 ,Z: 1.777784
Elbow Right:  X: -0.1517648 ,Y: 0.1625284 ,Z: 2.156634
Wrist Right:  X: -0.07759682 ,Y: 0.2792208 ,Z: 2.007099
Hand Right:  X: -0.0507326 ,Y: 0.3023218 ,Z: 1.93503
Knee Left:  X: -0.3086247 ,Y: -0.2274042 ,Z: 1.814796
Ankle Left:  X: -0.2961268 ,Y: -0.5736345 ,Z: 1.812768
Knee Right:  X: -0.06633031 ,Y: -0.2370586 ,Z: 1.963276
Ankle Right:  X: -0.07660405 ,Y: -0.5547114 ,Z: 1.963875
--------------------------------------
Head:  X: -0.2643764 ,Y: 0.6484649 ,Z: 2.02702
Shoulder Center:  X: -0.327307 ,Y: 0.4713558 ,Z: 2.07867
Shoulder Left:  X: -0.4591139 ,Y: 0.3587224 ,Z: 2.00839
Shoulder Right:  X: -0.1720594 ,Y: 0.3741099 ,Z: 2.192152
Spine:  X: -0.3260687 ,Y: 0.1606979 ,Z: 2.115656
Hip Center:  X: -0.3257056 ,Y: 0.09855515 ,Z: 2.126013
Hip Left:  X: -0.3901863 ,Y: 0.02529992 ,Z: 2.09356
Hip Right:  X: -0.2601689 ,Y: 0.01896807 ,Z: 2.172893
Elbow Left:  X: -0.4697467 ,Y: 0.1431429 ,Z: 1.970985
Wrist Left:  X: -0.3538877 ,Y: 0.2647745 ,Z: 1.865374
Hand Left:  X: -0.2686115 ,Y: 0.306553 ,Z: 1.801967
Elbow Right:  X: -0.1551915 ,Y: 0.1589177 ,Z: 2.156257
Wrist Right:  X: -0.08059999 ,Y: 0.282555 ,Z: 1.994817
Hand Right:  X: -0.05968753 ,Y: 0.3172179 ,Z: 1.95296
Knee Left:  X: -0.3084859 ,Y: -0.226538 ,Z: 1.814472
Ankle Left:  X: -0.297014 ,Y: -0.5711372 ,Z: 1.81269
Knee Right:  X: -0.06678312 ,Y: -0.2374135 ,Z: 1.96357
Ankle Right:  X: -0.07691541 ,Y: -0.5545892 ,Z: 1.964499
--------------------------------------
Head:  X: -0.2942086 ,Y: 0.6552417 ,Z: 2.063971
Shoulder Center:  X: -0.3475782 ,Y: 0.4781184 ,Z: 2.11419
Shoulder Left:  X: -0.4697226 ,Y: 0.3725048 ,Z: 2.040895
Shoulder Right:  X: -0.1769283 ,Y: 0.3810328 ,Z: 2.203732
Spine:  X: -0.3376656 ,Y: 0.1662817 ,Z: 2.126799
Hip Center:  X: -0.3356983 ,Y: 0.1038569 ,Z: 2.132792
Hip Left:  X: -0.3988438 ,Y: 0.03071008 ,Z: 2.099067
Hip Right:  X: -0.2691492 ,Y: 0.02706533 ,Z: 2.171396
Elbow Left:  X: -0.476514 ,Y: 0.1941091 ,Z: 1.860457
Wrist Left:  X: -0.2584805 ,Y: 0.2025323 ,Z: 1.706763
Hand Left:  X: -0.1933078 ,Y: 0.1954621 ,Z: 1.688671
Elbow Right:  X: -0.1200177 ,Y: 0.1597878 ,Z: 2.090895
Wrist Right:  X: -0.04053526 ,Y: 0.228952 ,Z: 1.917956
Hand Right:  X: -0.01756602 ,Y: 0.2014539 ,Z: 1.87251
Knee Left:  X: -0.3096575 ,Y: -0.2254694 ,Z: 1.815601
