Head:  X: -0.3756741 ,Y: 0.6324506 ,Z: 2.151041
Shoulder Center:  X: -0.4249369 ,Y: 0.4629879 ,Z: 2.203987
Shoulder Left:  X: -0.5516888 ,Y: 0.3594931 ,Z: 2.15069
Shoulder Right:  X: -0.2588187 ,Y: 0.3776903 ,Z: 2.29262
Spine:  X: -0.3872015 ,Y: 0.2010919 ,Z: 2.209
Hip Center:  X: -0.373139 ,Y: 0.1503421 ,Z: 2.198644
Hip Left:  X: -0.4278649 ,Y: 0.06910702 ,Z: 2.162764
Hip Right:  X: -0.2945481 ,Y: 0.08457004 ,Z: 2.227985
Elbow Left:  X: -0.5570633 ,Y: 0.1626725 ,Z: 2.01161
Wrist Left:  X: -0.4781571 ,Y: 0.04095507 ,Z: 1.912673
Hand Left:  X: -0.3056049 ,Y: 0.01937264 ,Z: 1.802617
Elbow Right:  X: -0.1801638 ,Y: 0.1731011 ,Z: 2.260658
Wrist Right:  X: -0.1684609 ,Y: 0.0344638 ,Z: 2.070916
Hand Right:  X: -0.1581105 ,Y: 0.04559882 ,Z: 1.978321
Knee Left:  X: -0.2864825 ,Y: -0.2491937 ,Z: 1.832381
Ankle Left:  X: -0.2698973 ,Y: -0.594179 ,Z: 1.833564
Knee Right:  X: -0.07772294 ,Y: -0.3062295 ,Z: 1.962385
Ankle Right:  X: -0.07268953 ,Y: -0.5907705 ,Z: 1.95912
--------------------------------------
Head:  X: -0.290335 ,Y: 0.5849227 ,Z: 2.073889
Shoulder Center:  X: -0.3694494 ,Y: 0.436107 ,Z: 2.15739
Shoulder Left:  X: -0.4880038 ,Y: 0.3506504 ,Z: 2.082912
Shoulder Right:  X: -0.2013851 ,Y: 0.3510359 ,Z: 2.257444
Spine:  X: -0.3577786 ,Y: 0.1780891 ,Z: 2.182998
Hip Center:  X: -0.3522109 ,Y: 0.1265538 ,Z: 2.18558
Hip Left:  X: -0.4087723 ,Y: 0.04798692 ,Z: 2.153594
Hip Right:  X: -0.2861171 ,Y: 0.0552241 ,Z: 2.225429
Elbow Left:  X: -0.4943258 ,Y: 0.1647396 ,Z: 1.941216
Wrist Left:  X: -0.3373542 ,Y: 0.1123902 ,Z: 1.783337
Hand Left:  X: -0.2580287 ,Y: 0.08440273 ,Z: 1.709554
Elbow Right:  X: -0.1324685 ,Y: 0.1959469 ,Z: 2.209675
Wrist Right:  X: -0.04388172 ,Y: 0.09824015 ,Z: 2.0266
Hand Right:  X: -0.0002708671 ,Y: 0.07393392 ,Z: 1.915522
Knee Left:  X: -0.2866475 ,Y: -0.2568179 ,Z: 1.826639
Ankle Left:  X: -0.2636471 ,Y: -0.5913759 ,Z: 1.821639
Knee Right:  X: -0.0821078 ,Y: -0.2981498 ,Z: 1.96795
Ankle Right:  X: -0.07128999 ,Y: -0.5797719 ,Z: 1.961312
--------------------------------------
Head:  X: -0.2265696 ,Y: 0.5606405 ,Z: 2.019024
Shoulder Center:  X: -0.3242339 ,Y: 0.4157785 ,Z: 2.098684
Shoulder Left:  X: -0.4419352 ,Y: 0.3434652 ,Z: 2.033306
Shoulder Right:  X: -0.1582396 ,Y: 0.3330577 ,Z: 2.21312
Spine:  X: -0.3287401 ,Y: 0.1659435 ,Z: 2.138338
Hip Center:  X: -0.3289301 ,Y: 0.115783 ,Z: 2.147601
Hip Left:  X: -0.3889047 ,Y: 0.04310855 ,Z: 2.121023
Hip Right:  X: -0.2713369 ,Y: 0.04016222 ,Z: 2.192591
Elbow Left:  X: -0.4521998 ,Y: 0.1706306 ,Z: 1.914433
Wrist Left:  X: -0.2834139 ,Y: 0.114944 ,Z: 1.759214
Hand Left:  X: -0.2039031 ,Y: 0.0903874 ,Z: 1.686342
Elbow Right:  X: -0.1047663 ,Y: 0.1744431 ,Z: 2.165597
Wrist Right:  X: -0.03556154 ,Y: 0.08943362 ,Z: 2.018893
Hand Right:  X: 0.05259568 ,Y: 0.07399833 ,Z: 1.840104
Knee Left:  X: -0.2840564 ,Y: -0.255206 ,Z: 1.825532
Ankle Left:  X: -0.2598199 ,Y: -0.5860535 ,Z: 1.818438
Knee Right:  X: -0.07921865 ,Y: -0.3099103 ,Z: 1.964812
Ankle Right:  X: -0.07099263 ,Y: -0.5889813 ,Z: 1.96018
--------------------------------------
Head:  X: -0.2429454 ,Y: 0.5564229 ,Z: 2.023588
Shoulder Center:  X: -0.3352431 ,Y: 0.4179585 ,Z: 2.109071
Shoulder Left:  X: -0.4503993 ,Y: 0.3421284 ,Z: 2.036468
Shoulder Right:  X: -0.1650879 ,Y: 0.3423878 ,Z: 2.212828
Spine:  X: -0.3347176 ,Y: 0.166738 ,Z: 2.144171
Hip Center:  X: -0.3345133 ,Y: 0.1164991 ,Z: 2.153605
Hip Left:  X: -0.3945493 ,Y: 0.04366568 ,Z: 2.128586
Hip Right:  X: -0.2744161 ,Y: 0.04223379 ,Z: 2.195699
Elbow Left:  X: -0.4498745 ,Y: 0.1719124 ,Z: 1.910439
Wrist Left:  X: -0.2819136 ,Y: 0.1205398 ,Z: 1.76027
Hand Left:  X: -0.194748 ,Y: 0.09492984 ,Z: 1.686811
Elbow Right:  X: -0.1103884 ,Y: 0.1831649 ,Z: 2.160331
Wrist Right:  X: -0.03559169 ,Y: 0.09029438 ,Z: 2.027389
Hand Right:  X: 0.05957876 ,Y: 0.08595047 ,Z: 1.834413
Knee Left:  X: -0.2851641 ,Y: -0.2579962 ,Z: 1.82589
Ankle Left:  X: -0.2610281 ,Y: -0.5867456 ,Z: 1.818493
Knee Right:  X: -0.07973208 ,Y: -0.3078905 ,Z: 1.96595
Ankle Right:  X: -0.0702069 ,Y: -0.5848051 ,Z: 1.958657
--------------------------------------
Head:  X: -0.2356772 ,Y: 0.5659568 ,Z: 2.016341
Shoulder Center:  X: -0.328182 ,Y: 0.4239492 ,Z: 2.100127
Shoulder Left:  X: -0.4454377 ,Y: 0.3456914 ,Z: 2.037956
Shoulder Right:  X: -0.1530242 ,Y: 0.3507939 ,Z: 2.200755
Spine:  X: -0.3265128 ,Y: 0.1710084 ,Z: 2.139609
Hip Center:  X: -0.3260554 ,Y: 0.1204595 ,Z: 2.149977
Hip Left:  X: -0.386172 ,Y: 0.04676688 ,Z: 2.127457
Hip Right:  X: -0.2644668 ,Y: 0.04724574 ,Z: 2.191352
Elbow Left:  X: -0.4402798 ,Y: 0.1640471 ,Z: 1.903666
Wrist Left:  X: -0.3160393 ,Y: 0.1058423 ,Z: 1.797745
Hand Left:  X: -0.2217003 ,Y: 0.1088139 ,Z: 1.696884
Elbow Right:  X: -0.1027068 ,Y: 0.1843768 ,Z: 2.157922
Wrist Right:  X: -3.334135E-05 ,Y: 0.1265496 ,Z: 1.954454
Hand Right:  X: 0.06358708 ,Y: 0.09097096 ,Z: 1.831391
Knee Left:  X: -0.2934914 ,Y: -0.2529541 ,Z: 1.831517
Ankle Left:  X: -0.2678915 ,Y: -0.5855137 ,Z: 1.825987
Knee Right:  X: -0.0758117 ,Y: -0.3026741 ,Z: 1.962476
Ankle Right:  X: -0.07028396 ,Y: -0.5825396 ,Z: 1.956908
--------------------------------------
Head:  X: -0.2373788 ,Y: 0.5661847 ,Z: 2.011003
Shoulder Center:  X: -0.3273912 ,Y: 0.421854 ,Z: 2.094079
Shoulder Left:  X: -0.442858 ,Y: 0.3419035 ,Z: 2.027414
Shoulder Right:  X: -0.1610199 ,Y: 0.3458026 ,Z: 2.206537
Spine:  X: -0.3255646 ,Y: 0.169821 ,Z: 2.13564
Hip Center:  X: -0.3252023 ,Y: 0.1193236 ,Z: 2.146469
Hip Left:  X: -0.383608 ,Y: 0.04526679 ,Z: 2.122209
Hip Right:  X: -0.2655128 ,Y: 0.04672782 ,Z: 2.190698
Elbow Left:  X: -0.4463031 ,Y: 0.1697477 ,Z: 1.902977
Wrist Left:  X: -0.2809397 ,Y: 0.1292702 ,Z: 1.746929
Hand Left:  X: -0.1994582 ,Y: 0.1094402 ,Z: 1.675583
Elbow Right:  X: -0.1091623 ,Y: 0.1846967 ,Z: 2.161459
Wrist Right:  X: -0.03646453 ,Y: 0.09283622 ,Z: 2.032519
Hand Right:  X: 0.06277359 ,Y: 0.08853979 ,Z: 1.842831
Knee Left:  X: -0.2888755 ,Y: -0.2563781 ,Z: 1.830867
Ankle Left:  X: -0.2647645 ,Y: -0.58727 ,Z: 1.825678
Knee Right:  X: -0.07592364 ,Y: -0.3056859 ,Z: 1.965591
Ankle Right:  X: -0.07078015 ,Y: -0.5821746 ,Z: 1.958997
--------------------------------------
Head:  X: -0.250169 ,Y: 0.5680181 ,Z: 2.015625
Shoulder Center:  X: -0.3331393 ,Y: 0.4227552 ,Z: 2.100223
Shoulder Left:  X: -0.4490769 ,Y: 0.3399033 ,Z: 2.029204
Shoulder Right:  X: -0.1678457 ,Y: 0.3538319 ,Z: 2.209845
Spine:  X: -0.3284006 ,Y: 0.1688768 ,Z: 2.137916
Hip Center:  X: -0.3276419 ,Y: 0.1181295 ,Z: 2.148188
Hip Left:  X: -0.385557 ,Y: 0.04343899 ,Z: 2.122942
Hip Right:  X: -0.2677284 ,Y: 0.04690756 ,Z: 2.191863
Elbow Left:  X: -0.4498156 ,Y: 0.1612729 ,Z: 1.904062
Wrist Left:  X: -0.2852504 ,Y: 0.1212896 ,Z: 1.745961
Hand Left:  X: -0.2065179 ,Y: 0.1076947 ,Z: 1.679728
Elbow Right:  X: -0.114066 ,Y: 0.1859091 ,Z: 2.162166
Wrist Right:  X: -0.0410633 ,Y: 0.09196542 ,Z: 2.033088
Hand Right:  X: 0.009047156 ,Y: 0.07643889 ,Z: 1.894315
Knee Left:  X: -0.2878373 ,Y: -0.2551257 ,Z: 1.83195
Ankle Left:  X: -0.2642053 ,Y: -0.5864787 ,Z: 1.825168
Knee Right:  X: -0.07508621 ,Y: -0.3080072 ,Z: 1.966977
Ankle Right:  X: -0.07030034 ,Y: -0.5822023 ,Z: 1.957907
--------------------------------------
Head:  X: -0.2544907 ,Y: 0.5722155 ,Z: 2.014236
Shoulder Center:  X: -0.336871 ,Y: 0.4232495 ,Z: 2.098888
Shoulder Left:  X: -0.4571363 ,Y: 0.3424124 ,Z: 2.03112
Shoulder Right:  X: -0.1773998 ,Y: 0.3568528 ,Z: 2.215014
Spine:  X: -0.333018 ,Y: 0.1706482 ,Z: 2.138032
Hip Center:  X: -0.3324314 ,Y: 0.1201374 ,Z: 2.148452
Hip Left:  X: -0.3896359 ,Y: 0.04524604 ,Z: 2.122835
Hip Right:  X: -0.2733412 ,Y: 0.04858028 ,Z: 2.192898
Elbow Left:  X: -0.4655378 ,Y: 0.1639812 ,Z: 1.913277
Wrist Left:  X: -0.3012545 ,Y: 0.1221678 ,Z: 1.756047
Hand Left:  X: -0.2088557 ,Y: 0.1067843 ,Z: 1.680323
Elbow Right:  X: -0.1265373 ,Y: 0.1884811 ,Z: 2.169531
Wrist Right:  X: -0.04511795 ,Y: 0.09762568 ,Z: 2.037064
Hand Right:  X: 0.01847019 ,Y: 0.08162414 ,Z: 1.893427
Knee Left:  X: -0.2883071 ,Y: -0.2534177 ,Z: 1.831368
Ankle Left:  X: -0.2644565 ,Y: -0.5882738 ,Z: 1.825934
Knee Right:  X: -0.07602761 ,Y: -0.3040639 ,Z: 1.96776
Ankle Right:  X: -0.07060192 ,Y: -0.5821038 ,Z: 1.959316
--------------------------------------
Head:  X: -0.2556504 ,Y: 0.5748449 ,Z: 2.013625
Shoulder Center:  X: -0.3381577 ,Y: 0.4244782 ,Z: 2.098799
Shoulder Left:  X: -0.4584279 ,Y: 0.343232 ,Z: 2.03182
Shoulder Right:  X: -0.1804222 ,Y: 0.3581938 ,Z: 2.21441
Spine:  X: -0.3340856 ,Y: 0.1698003 ,Z: 2.138194
Hip Center:  X: -0.3334852 ,Y: 0.1188734 ,Z: 2.148598
Hip Left:  X: -0.3903026 ,Y: 0.04443523 ,Z: 2.12284
Hip Right:  X: -0.2747416 ,Y: 0.04779804 ,Z: 2.192825
Elbow Left:  X: -0.4636205 ,Y: 0.1629376 ,Z: 1.919153
Wrist Left:  X: -0.2950231 ,Y: 0.1201756 ,Z: 1.767503
Hand Left:  X: -0.203926 ,Y: 0.0977032 ,Z: 1.689708
Elbow Right:  X: -0.1305688 ,Y: 0.176448 ,Z: 2.168482
Wrist Right:  X: -0.03575625 ,Y: 0.08525585 ,Z: 1.993802
Hand Right:  X: 0.02977214 ,Y: 0.07717732 ,Z: 1.88681
Knee Left:  X: -0.2870355 ,Y: -0.2574063 ,Z: 1.829662
Ankle Left:  X: -0.2645381 ,Y: -0.5890812 ,Z: 1.826067
Knee Right:  X: -0.07472947 ,Y: -0.305506 ,Z: 1.968022
Ankle Right:  X: -0.07170047 ,Y: -0.5817983 ,Z: 1.95988
--------------------------------------
Head:  X: -0.2538378 ,Y: 0.5721775 ,Z: 2.011318
Shoulder Center:  X: -0.3373678 ,Y: 0.4240272 ,Z: 2.095174
Shoulder Left:  X: -0.4559034 ,Y: 0.3409445 ,Z: 2.030213
Shoulder Right:  X: -0.1787597 ,Y: 0.3575576 ,Z: 2.213445
Spine:  X: -0.3330691 ,Y: 0.1684382 ,Z: 2.136004
Hip Center:  X: -0.3322781 ,Y: 0.1172433 ,Z: 2.14661
Hip Left:  X: -0.3887576 ,Y: 0.04308615 ,Z: 2.121458
Hip Right:  X: -0.2735724 ,Y: 0.04681115 ,Z: 2.190604
Elbow Left:  X: -0.4595635 ,Y: 0.1604522 ,Z: 1.920578
Wrist Left:  X: -0.2909565 ,Y: 0.1171658 ,Z: 1.769065
Hand Left:  X: -0.2012741 ,Y: 0.09394387 ,Z: 1.694451
Elbow Right:  X: -0.1302004 ,Y: 0.1792856 ,Z: 2.169135
Wrist Right:  X: -0.0341942 ,Y: 0.08640854 ,Z: 2.004921
Hand Right:  X: 0.02847661 ,Y: 0.07334352 ,Z: 1.886681
Knee Left:  X: -0.2865021 ,Y: -0.2583855 ,Z: 1.830062
Ankle Left:  X: -0.2640892 ,Y: -0.588887 ,Z: 1.825724
Knee Right:  X: -0.07479525 ,Y: -0.3043936 ,Z: 1.968585
Ankle Right:  X: -0.07229975 ,Y: -0.5816336 ,Z: 1.960822
--------------------------------------
Head:  X: -0.2523103 ,Y: 0.5711755 ,Z: 2.009791
Shoulder Center:  X: -0.3361181 ,Y: 0.4230779 ,Z: 2.09608
Shoulder Left:  X: -0.4550971 ,Y: 0.3401396 ,Z: 2.02953
Shoulder Right:  X: -0.1774578 ,Y: 0.3563465 ,Z: 2.213034
Spine:  X: -0.3325556 ,Y: 0.1676476 ,Z: 2.136343
Hip Center:  X: -0.3318632 ,Y: 0.1164793 ,Z: 2.147045
Hip Left:  X: -0.3885548 ,Y: 0.04252062 ,Z: 2.12196
Hip Right:  X: -0.2731828 ,Y: 0.0459676 ,Z: 2.191234
Elbow Left:  X: -0.4594805 ,Y: 0.1598506 ,Z: 1.920245
Wrist Left:  X: -0.2970201 ,Y: 0.1272141 ,Z: 1.767654
Hand Left:  X: -0.2224211 ,Y: 0.1086702 ,Z: 1.704976
Elbow Right:  X: -0.1290772 ,Y: 0.1821649 ,Z: 2.169579
Wrist Right:  X: -0.04774275 ,Y: 0.09184835 ,Z: 2.023998
Hand Right:  X: 0.05247808 ,Y: 0.09571108 ,Z: 1.854293
Knee Left:  X: -0.2869021 ,Y: -0.2575681 ,Z: 1.830014
Ankle Left:  X: -0.2640599 ,Y: -0.5891088 ,Z: 1.826046
Knee Right:  X: -0.07549197 ,Y: -0.3054983 ,Z: 1.969078
Ankle Right:  X: -0.07202998 ,Y: -0.5816854 ,Z: 1.960416
--------------------------------------
Head:  X: -0.2530929 ,Y: 0.5727617 ,Z: 2.01088
Shoulder Center:  X: -0.3359769 ,Y: 0.4235122 ,Z: 2.097254
Shoulder Left:  X: -0.4563664 ,Y: 0.3413023 ,Z: 2.030096
Shoulder Right:  X: -0.1766349 ,Y: 0.3569068 ,Z: 2.2129
Spine:  X: -0.3317407 ,Y: 0.1721237 ,Z: 2.136936
Hip Center:  X: -0.3307791 ,Y: 0.1221491 ,Z: 2.14753
Hip Left:  X: -0.387035 ,Y: 0.04682814 ,Z: 2.122551
Hip Right:  X: -0.2717107 ,Y: 0.05161025 ,Z: 2.191696
Elbow Left:  X: -0.4597978 ,Y: 0.1616385 ,Z: 1.919175
Wrist Left:  X: -0.2911437 ,Y: 0.1359631 ,Z: 1.765645
Hand Left:  X: -0.2048689 ,Y: 0.1222495 ,Z: 1.693477
Elbow Right:  X: -0.1265888 ,Y: 0.187258 ,Z: 2.168155
Wrist Right:  X: -0.02619566 ,Y: 0.09389054 ,Z: 1.984751
Hand Right:  X: 0.01866312 ,Y: 0.09053799 ,Z: 1.88951
Knee Left:  X: -0.2888538 ,Y: -0.2508545 ,Z: 1.831057
Ankle Left:  X: -0.2643015 ,Y: -0.5878083 ,Z: 1.826183
Knee Right:  X: -0.07598382 ,Y: -0.3065643 ,Z: 1.968881
Ankle Right:  X: -0.0706628 ,Y: -0.5821517 ,Z: 1.960504
--------------------------------------
Head:  X: -0.2584084 ,Y: 0.5698823 ,Z: 2.004771
Shoulder Center:  X: -0.3389473 ,Y: 0.4223998 ,Z: 2.100651
Shoulder Left:  X: -0.4576737 ,Y: 0.3408866 ,Z: 2.031152
Shoulder Right:  X: -0.1775046 ,Y: 0.3603727 ,Z: 2.215984
Spine:  X: -0.3329794 ,Y: 0.1714577 ,Z: 2.138364
Hip Center:  X: -0.3318291 ,Y: 0.1213464 ,Z: 2.14868
Hip Left:  X: -0.3881899 ,Y: 0.04588876 ,Z: 2.123309
Hip Right:  X: -0.2721559 ,Y: 0.05088885 ,Z: 2.192561
Elbow Left:  X: -0.4576196 ,Y: 0.1599325 ,Z: 1.920192
Wrist Left:  X: -0.3313372 ,Y: 0.1000496 ,Z: 1.821849
Hand Left:  X: -0.2314243 ,Y: 0.1202609 ,Z: 1.717112
Elbow Right:  X: -0.1293246 ,Y: 0.1898461 ,Z: 2.171148
Wrist Right:  X: -0.04642318 ,Y: 0.08922915 ,Z: 2.009476
Hand Right:  X: 0.01910879 ,Y: 0.08965496 ,Z: 1.893222
Knee Left:  X: -0.2895665 ,Y: -0.2503914 ,Z: 1.830689
Ankle Left:  X: -0.2643754 ,Y: -0.5884205 ,Z: 1.826387
Knee Right:  X: -0.07698284 ,Y: -0.3046497 ,Z: 1.969242
Ankle Right:  X: -0.07120311 ,Y: -0.5826164 ,Z: 1.961889
--------------------------------------
Head:  X: -0.2581491 ,Y: 0.5676441 ,Z: 2.004393
Shoulder Center:  X: -0.3401364 ,Y: 0.4220193 ,Z: 2.102278
Shoulder Left:  X: -0.4580221 ,Y: 0.3395877 ,Z: 2.031358
Shoulder Right:  X: -0.1788281 ,Y: 0.360341 ,Z: 2.216889
Spine:  X: -0.3327884 ,Y: 0.1709157 ,Z: 2.138919
Hip Center:  X: -0.3313177 ,Y: 0.1206615 ,Z: 2.148962
Hip Left:  X: -0.3866758 ,Y: 0.04521577 ,Z: 2.122996
Hip Right:  X: -0.2715421 ,Y: 0.04974844 ,Z: 2.192389
Elbow Left:  X: -0.4556331 ,Y: 0.1569138 ,Z: 1.92048
Wrist Left:  X: -0.2908474 ,Y: 0.1258993 ,Z: 1.77264
Hand Left:  X: -0.2037919 ,Y: 0.1137426 ,Z: 1.703027
Elbow Right:  X: -0.1297995 ,Y: 0.1883917 ,Z: 2.17115
Wrist Right:  X: -0.05190327 ,Y: 0.09752098 ,Z: 2.03169
Hand Right:  X: 0.01112824 ,Y: 0.0874791 ,Z: 1.894916
Knee Left:  X: -0.2893948 ,Y: -0.2510673 ,Z: 1.830168
Ankle Left:  X: -0.26434 ,Y: -0.5886279 ,Z: 1.826328
Knee Right:  X: -0.07701372 ,Y: -0.3039825 ,Z: 1.969116
Ankle Right:  X: -0.07128731 ,Y: -0.5827308 ,Z: 1.961734
--------------------------------------
Head:  X: -0.2561901 ,Y: 0.5677559 ,Z: 2.006096
Shoulder Center:  X: -0.3396495 ,Y: 0.4221087 ,Z: 2.101915
Shoulder Left:  X: -0.4580656 ,Y: 0.3404361 ,Z: 2.032513
Shoulder Right:  X: -0.1783147 ,Y: 0.3600285 ,Z: 2.217235
Spine:  X: -0.3330761 ,Y: 0.1704693 ,Z: 2.139
Hip Center:  X: -0.3317487 ,Y: 0.1201305 ,Z: 2.149095
Hip Left:  X: -0.3874159 ,Y: 0.04452201 ,Z: 2.12296
Hip Right:  X: -0.2723649 ,Y: 0.04889336 ,Z: 2.193008
Elbow Left:  X: -0.4579544 ,Y: 0.1598007 ,Z: 1.923567
Wrist Left:  X: -0.3313193 ,Y: 0.1010305 ,Z: 1.825377
Hand Left:  X: -0.2308677 ,Y: 0.1146002 ,Z: 1.723943
Elbow Right:  X: -0.1301405 ,Y: 0.1875141 ,Z: 2.171451
Wrist Right:  X: -0.02500062 ,Y: 0.09975411 ,Z: 1.984878
Hand Right:  X: 0.01601651 ,Y: 0.08795898 ,Z: 1.89203
Knee Left:  X: -0.2899621 ,Y: -0.2509806 ,Z: 1.830234
Ankle Left:  X: -0.264273 ,Y: -0.5888419 ,Z: 1.826688
Knee Right:  X: -0.07598105 ,Y: -0.305061 ,Z: 1.968783
Ankle Right:  X: -0.07133846 ,Y: -0.5828832 ,Z: 1.962103
--------------------------------------
Head:  X: -0.2538453 ,Y: 0.5662219 ,Z: 2.006315
Shoulder Center:  X: -0.3381442 ,Y: 0.4196245 ,Z: 2.10276
Shoulder Left:  X: -0.4564242 ,Y: 0.3393669 ,Z: 2.031353
Shoulder Right:  X: -0.1773208 ,Y: 0.3558074 ,Z: 2.216419
Spine:  X: -0.3328366 ,Y: 0.1684491 ,Z: 2.139868
Hip Center:  X: -0.3318104 ,Y: 0.1180912 ,Z: 2.149968
Hip Left:  X: -0.3882174 ,Y: 0.04324586 ,Z: 2.123929
