Head:  X: -0.4178215 ,Y: 0.6240598 ,Z: 2.163224
Shoulder Center:  X: -0.4809329 ,Y: 0.446799 ,Z: 2.130932
Shoulder Left:  X: -0.584895 ,Y: 0.3359231 ,Z: 2.064596
Shoulder Right:  X: -0.3491652 ,Y: 0.3632523 ,Z: 2.247216
Spine:  X: -0.4434632 ,Y: 0.1660955 ,Z: 2.180687
Hip Center:  X: -0.4359693 ,Y: 0.1099547 ,Z: 2.193354
Hip Left:  X: -0.4801528 ,Y: 0.03746352 ,Z: 2.161856
Hip Right:  X: -0.3740744 ,Y: 0.04976167 ,Z: 2.245064
Elbow Left:  X: -0.5861262 ,Y: 0.1074668 ,Z: 2.039255
Wrist Left:  X: -0.4053088 ,Y: -0.100257 ,Z: 1.96455
Hand Left:  X: -0.462451 ,Y: -0.1652979 ,Z: 1.965452
Elbow Right:  X: -0.2864172 ,Y: 0.1091153 ,Z: 2.251558
Wrist Right:  X: -0.1189233 ,Y: 0.03422708 ,Z: 2.057739
Hand Right:  X: -0.03514329 ,Y: 0.04734065 ,Z: 2.040267
Knee Left:  X: -0.2979645 ,Y: -0.2108818 ,Z: 1.923471
Ankle Left:  X: -0.2940569 ,Y: -0.53694 ,Z: 1.948861
Knee Right:  X: -0.1135834 ,Y: -0.2120012 ,Z: 2.020796
Ankle Right:  X: -0.2908964 ,Y: -0.5141091 ,Z: 1.948951
--------------------------------------
Head:  X: -0.4005414 ,Y: 0.626001 ,Z: 2.15607
Shoulder Center:  X: -0.4456639 ,Y: 0.4475734 ,Z: 2.144824
Shoulder Left:  X: -0.5531403 ,Y: 0.3251824 ,Z: 2.088974
Shoulder Right:  X: -0.3045544 ,Y: 0.3852544 ,Z: 2.254072
Spine:  X: -0.415516 ,Y: 0.1652161 ,Z: 2.185924
Hip Center:  X: -0.4094416 ,Y: 0.1088057 ,Z: 2.196991
Hip Left:  X: -0.4588447 ,Y: 0.03112471 ,Z: 2.166069
Hip Right:  X: -0.3419741 ,Y: 0.04668901 ,Z: 2.245868
Elbow Left:  X: -0.5775057 ,Y: 0.06823167 ,Z: 2.117423
Wrist Left:  X: -0.4294785 ,Y: -0.03632674 ,Z: 1.989667
Hand Left:  X: -0.4461993 ,Y: -0.1170288 ,Z: 1.976902
Elbow Right:  X: -0.2394901 ,Y: 0.1022996 ,Z: 2.258608
Wrist Right:  X: -0.04966682 ,Y: 0.0003068 ,Z: 2.24729
Hand Right:  X: -0.03341554 ,Y: 0.04697244 ,Z: 2.011465
Knee Left:  X: -0.288242 ,Y: -0.2381008 ,Z: 1.925612
Ankle Left:  X: -0.2703241 ,Y: -0.5455906 ,Z: 1.929317
Knee Right:  X: -0.1160163 ,Y: -0.2506117 ,Z: 2.025279
Ankle Right:  X: -0.08047549 ,Y: -0.5321428 ,Z: 2.012572
--------------------------------------
Head:  X: -0.349798 ,Y: 0.6281079 ,Z: 2.211024
Shoulder Center:  X: -0.3969505 ,Y: 0.448796 ,Z: 2.217818
Shoulder Left:  X: -0.5178269 ,Y: 0.3258039 ,Z: 2.150274
Shoulder Right:  X: -0.2563739 ,Y: 0.4090998 ,Z: 2.285259
Spine:  X: -0.3729289 ,Y: 0.1641864 ,Z: 2.231228
Hip Center:  X: -0.3678907 ,Y: 0.1073361 ,Z: 2.236784
Hip Left:  X: -0.4217312 ,Y: 0.02965581 ,Z: 2.203756
Hip Right:  X: -0.3010091 ,Y: 0.04425916 ,Z: 2.273514
Elbow Left:  X: -0.623096 ,Y: 0.09809509 ,Z: 2.23425
Wrist Left:  X: -0.434845 ,Y: 0.04131196 ,Z: 2.034907
Hand Left:  X: -0.3975224 ,Y: 0.02044304 ,Z: 1.990006
Elbow Right:  X: -0.2123427 ,Y: 0.1411106 ,Z: 2.282263
Wrist Right:  X: -0.05830623 ,Y: 0.03492968 ,Z: 2.174467
Hand Right:  X: -0.02657333 ,Y: 0.04654013 ,Z: 2.018892
Knee Left:  X: -0.297022 ,Y: -0.19941 ,Z: 1.92181
Ankle Left:  X: -0.2369944 ,Y: -0.4825368 ,Z: 1.888857
Knee Right:  X: -0.1052917 ,Y: -0.2325739 ,Z: 2.041077
Ankle Right:  X: -0.07308153 ,Y: -0.5169056 ,Z: 2.065037
--------------------------------------
Head:  X: -0.3428336 ,Y: 0.635215 ,Z: 2.200919
Shoulder Center:  X: -0.3939101 ,Y: 0.4576237 ,Z: 2.192336
Shoulder Left:  X: -0.50334 ,Y: 0.3332388 ,Z: 2.121945
Shoulder Right:  X: -0.2559096 ,Y: 0.4175803 ,Z: 2.271512
Spine:  X: -0.3748191 ,Y: 0.164875 ,Z: 2.21607
Hip Center:  X: -0.3709354 ,Y: 0.1063954 ,Z: 2.223224
Hip Left:  X: -0.4208729 ,Y: 0.03119303 ,Z: 2.192089
Hip Right:  X: -0.312041 ,Y: 0.04020713 ,Z: 2.260803
Elbow Left:  X: -0.5109182 ,Y: 0.07507086 ,Z: 2.063745
Wrist Left:  X: -0.3828416 ,Y: 0.1073024 ,Z: 1.912047
Hand Left:  X: -0.3356175 ,Y: 0.09916514 ,Z: 1.880962
Elbow Right:  X: -0.217273 ,Y: 0.1603358 ,Z: 2.26767
Wrist Right:  X: -0.08058552 ,Y: 0.09582172 ,Z: 2.067604
Hand Right:  X: -0.03486584 ,Y: 0.05938216 ,Z: 2.002086
Knee Left:  X: -0.2994975 ,Y: -0.2461573 ,Z: 1.924442
Ankle Left:  X: -0.3063551 ,Y: -0.5439123 ,Z: 1.92297
Knee Right:  X: -0.1133071 ,Y: -0.229733 ,Z: 2.035604
Ankle Right:  X: -0.06366701 ,Y: -0.5358051 ,Z: 2.041036
--------------------------------------
Head:  X: -0.3409125 ,Y: 0.6379026 ,Z: 2.183004
Shoulder Center:  X: -0.3907354 ,Y: 0.4596316 ,Z: 2.173529
Shoulder Left:  X: -0.4977499 ,Y: 0.332631 ,Z: 2.105029
Shoulder Right:  X: -0.2567957 ,Y: 0.4135286 ,Z: 2.257928
Spine:  X: -0.3745649 ,Y: 0.1616053 ,Z: 2.206334
Hip Center:  X: -0.3714624 ,Y: 0.1018088 ,Z: 2.215407
Hip Left:  X: -0.4212218 ,Y: 0.02866473 ,Z: 2.185783
Hip Right:  X: -0.3145103 ,Y: 0.03733665 ,Z: 2.25621
Elbow Left:  X: -0.5033475 ,Y: 0.08491972 ,Z: 2.056016
Wrist Left:  X: -0.3943944 ,Y: 0.1103866 ,Z: 1.88967
Hand Left:  X: -0.3363799 ,Y: 0.1080987 ,Z: 1.840714
Elbow Right:  X: -0.2163467 ,Y: 0.1586367 ,Z: 2.249851
Wrist Right:  X: -0.06532872 ,Y: 0.09901468 ,Z: 2.037238
Hand Right:  X: -0.05910783 ,Y: 0.06769181 ,Z: 1.98368
Knee Left:  X: -0.3086155 ,Y: -0.2519905 ,Z: 1.920031
Ankle Left:  X: -0.3098299 ,Y: -0.5515063 ,Z: 1.895717
Knee Right:  X: -0.1232133 ,Y: -0.2297889 ,Z: 2.034974
Ankle Right:  X: -0.09423037 ,Y: -0.5344018 ,Z: 2.047305
--------------------------------------
Head:  X: -0.3448813 ,Y: 0.6372216 ,Z: 2.179523
Shoulder Center:  X: -0.393624 ,Y: 0.4585437 ,Z: 2.169979
Shoulder Left:  X: -0.4987463 ,Y: 0.3310471 ,Z: 2.098993
Shoulder Right:  X: -0.2596337 ,Y: 0.4104806 ,Z: 2.256497
Spine:  X: -0.3765033 ,Y: 0.1573593 ,Z: 2.20298
Hip Center:  X: -0.3729692 ,Y: 0.09696933 ,Z: 2.212243
Hip Left:  X: -0.4228842 ,Y: 0.0260397 ,Z: 2.184297
Hip Right:  X: -0.3146603 ,Y: 0.0314255 ,Z: 2.251007
Elbow Left:  X: -0.5182959 ,Y: 0.08070724 ,Z: 2.076684
Wrist Left:  X: -0.4172452 ,Y: 0.106227 ,Z: 1.902517
Hand Left:  X: -0.3369385 ,Y: 0.106142 ,Z: 1.829676
Elbow Right:  X: -0.2196468 ,Y: 0.1529506 ,Z: 2.252422
Wrist Right:  X: -0.1033679 ,Y: 0.07604329 ,Z: 2.107197
Hand Right:  X: -0.05459569 ,Y: 0.06309251 ,Z: 1.988071
Knee Left:  X: -0.3066521 ,Y: -0.254748 ,Z: 1.919212
Ankle Left:  X: -0.3032493 ,Y: -0.5511608 ,Z: 1.896304
Knee Right:  X: -0.1221054 ,Y: -0.2291989 ,Z: 2.035013
Ankle Right:  X: -0.08860052 ,Y: -0.5323538 ,Z: 2.048951
--------------------------------------
Head:  X: -0.3410067 ,Y: 0.6314985 ,Z: 2.169484
Shoulder Center:  X: -0.392937 ,Y: 0.4559692 ,Z: 2.165108
Shoulder Left:  X: -0.4976254 ,Y: 0.3282764 ,Z: 2.093052
Shoulder Right:  X: -0.251487 ,Y: 0.4053705 ,Z: 2.245218
Spine:  X: -0.3712992 ,Y: 0.154796 ,Z: 2.200823
Hip Center:  X: -0.3665051 ,Y: 0.09467921 ,Z: 2.210824
Hip Left:  X: -0.4164192 ,Y: 0.02004329 ,Z: 2.181531
Hip Right:  X: -0.3046499 ,Y: 0.03186505 ,Z: 2.252694
Elbow Left:  X: -0.5076252 ,Y: 0.1610851 ,Z: 1.970586
Wrist Left:  X: -0.3665257 ,Y: 0.1122994 ,Z: 1.833704
Hand Left:  X: -0.3103211 ,Y: 0.1276953 ,Z: 1.807595
Elbow Right:  X: -0.1432155 ,Y: 0.1895899 ,Z: 2.255292
Wrist Right:  X: -0.05727346 ,Y: 0.137759 ,Z: 2.059094
Hand Right:  X: -0.02889666 ,Y: 0.06375936 ,Z: 1.99518
Knee Left:  X: -0.3017529 ,Y: -0.2572061 ,Z: 1.918554
Ankle Left:  X: -0.2938803 ,Y: -0.549826 ,Z: 1.894983
Knee Right:  X: -0.1204658 ,Y: -0.2341242 ,Z: 2.036095
Ankle Right:  X: -0.08845093 ,Y: -0.5326682 ,Z: 2.049684
--------------------------------------
Head:  X: -0.3221027 ,Y: 0.6230131 ,Z: 2.148704
Shoulder Center:  X: -0.3679906 ,Y: 0.4536532 ,Z: 2.154856
Shoulder Left:  X: -0.4547178 ,Y: 0.36831 ,Z: 2.093418
Shoulder Right:  X: -0.213934 ,Y: 0.4663997 ,Z: 2.232265
Spine:  X: -0.3517095 ,Y: 0.1628914 ,Z: 2.196362
Hip Center:  X: -0.3481936 ,Y: 0.1046278 ,Z: 2.207536
Hip Left:  X: -0.40402 ,Y: 0.03491125 ,Z: 2.180202
Hip Right:  X: -0.2846808 ,Y: 0.04979148 ,Z: 2.248513
Elbow Left:  X: -0.4850347 ,Y: 0.4491548 ,Z: 1.832293
Wrist Left:  X: -0.4674675 ,Y: 0.2565138 ,Z: 1.841853
Hand Left:  X: -0.4616118 ,Y: 0.1923001 ,Z: 1.848893
Elbow Right:  X: -0.05748803 ,Y: 0.2801562 ,Z: 2.187001
Wrist Right:  X: -0.0667785 ,Y: 0.5188379 ,Z: 2.189588
Hand Right:  X: -0.06624261 ,Y: 0.5821385 ,Z: 2.214718
Knee Left:  X: -0.3019811 ,Y: -0.2460638 ,Z: 1.922184
Ankle Left:  X: -0.2940935 ,Y: -0.554369 ,Z: 1.89214
Knee Right:  X: -0.1172422 ,Y: -0.2421474 ,Z: 2.036433
Ankle Right:  X: -0.08593819 ,Y: -0.5326788 ,Z: 2.050283
--------------------------------------
Head:  X: -0.3166671 ,Y: 0.6132176 ,Z: 2.155197
Shoulder Center:  X: -0.3638249 ,Y: 0.4380984 ,Z: 2.161417
Shoulder Left:  X: -0.4939051 ,Y: 0.3296098 ,Z: 2.088846
Shoulder Right:  X: -0.2164009 ,Y: 0.4075863 ,Z: 2.210824
Spine:  X: -0.3556485 ,Y: 0.1527849 ,Z: 2.202553
Hip Center:  X: -0.3539604 ,Y: 0.09435934 ,Z: 2.213918
Hip Left:  X: -0.4061491 ,Y: 0.02304502 ,Z: 2.195714
Hip Right:  X: -0.2944292 ,Y: 0.02486984 ,Z: 2.249745
Elbow Left:  X: -0.5307896 ,Y: 0.1273116 ,Z: 2.02444
Wrist Left:  X: -0.3538207 ,Y: 0.0656286 ,Z: 1.873429
Hand Left:  X: -0.2980379 ,Y: 0.05508704 ,Z: 1.825388
Elbow Right:  X: -0.1882225 ,Y: 0.1483012 ,Z: 2.222502
Wrist Right:  X: -0.07270321 ,Y: 0.07607995 ,Z: 2.013115
Hand Right:  X: -0.02532964 ,Y: 0.05157018 ,Z: 1.97262
Knee Left:  X: -0.302536 ,Y: -0.2603456 ,Z: 1.920105
Ankle Left:  X: -0.2935671 ,Y: -0.5492358 ,Z: 1.890842
Knee Right:  X: -0.1192238 ,Y: -0.2380204 ,Z: 2.036967
Ankle Right:  X: -0.08761886 ,Y: -0.5338859 ,Z: 2.051078
--------------------------------------
Head:  X: -0.3119224 ,Y: 0.6145189 ,Z: 2.154804
Shoulder Center:  X: -0.3632069 ,Y: 0.4396191 ,Z: 2.156489
Shoulder Left:  X: -0.4900962 ,Y: 0.3259397 ,Z: 2.083698
Shoulder Right:  X: -0.2182036 ,Y: 0.4098811 ,Z: 2.220311
Spine:  X: -0.3536693 ,Y: 0.1486852 ,Z: 2.199057
Hip Center:  X: -0.3516249 ,Y: 0.09037704 ,Z: 2.210282
Hip Left:  X: -0.4033683 ,Y: 0.01993278 ,Z: 2.19007
Hip Right:  X: -0.2942903 ,Y: 0.0219695 ,Z: 2.246675
Elbow Left:  X: -0.5216628 ,Y: 0.1129297 ,Z: 2.039086
Wrist Left:  X: -0.3581355 ,Y: 0.08099379 ,Z: 1.890441
Hand Left:  X: -0.2967393 ,Y: 0.06286614 ,Z: 1.838627
Elbow Right:  X: -0.211559 ,Y: 0.1442067 ,Z: 2.231728
Wrist Right:  X: -0.07606972 ,Y: 0.07366824 ,Z: 2.043212
Hand Right:  X: -0.01432779 ,Y: 0.04734434 ,Z: 2.007288
Knee Left:  X: -0.3010997 ,Y: -0.2663351 ,Z: 1.918669
Ankle Left:  X: -0.2927955 ,Y: -0.5505923 ,Z: 1.891076
Knee Right:  X: -0.1181389 ,Y: -0.2331195 ,Z: 2.035148
Ankle Right:  X: -0.08760983 ,Y: -0.5332986 ,Z: 2.051194
