Head:  X: 0.04319739 ,Y: 0.4653578 ,Z: 1.312948
Shoulder Center:  X: 0.03532938 ,Y: 0.3028246 ,Z: 1.38815
Shoulder Left:  X: -0.05312687 ,Y: 0.5241395 ,Z: 1.394924
Shoulder Right:  X: 0.1311058 ,Y: 0.3347293 ,Z: 1.422837
Spine:  X: 0.02572197 ,Y: 0.1876677 ,Z: 1.429639
Hip Center:  X: 0.02380049 ,Y: 0.1646363 ,Z: 1.440442
Hip Left:  X: -0.02238402 ,Y: 0.1505328 ,Z: 1.459405
Hip Right:  X: 0.0605207 ,Y: 0.06529828 ,Z: 1.455992
Elbow Left:  X: -0.08656863 ,Y: 0.3255194 ,Z: 1.290743
Wrist Left:  X: -0.102015 ,Y: 0.1367932 ,Z: 1.211489
Hand Left:  X: -0.1400372 ,Y: 0.09785312 ,Z: 1.19529
Elbow Right:  X: -0.01073703 ,Y: 0.3055004 ,Z: 1.239437
Wrist Right:  X: -0.1212373 ,Y: 0.1555264 ,Z: 1.214124
Hand Right:  X: -0.1501016 ,Y: 0.1067557 ,Z: 1.210559
Knee Left:  X: -0.10511 ,Y: -0.2500515 ,Z: 1.741068
Ankle Left:  X: 0.008319708 ,Y: -0.5589388 ,Z: 1.799665
Knee Right:  X: 0.04660513 ,Y: -0.2979011 ,Z: 1.522227
Ankle Right:  X: 0.1327192 ,Y: -0.5363559 ,Z: 1.563504
--------------------------------------
Head:  X: -0.02806526 ,Y: 0.6844711 ,Z: 1.349472
Shoulder Center:  X: -0.07491401 ,Y: 0.5484626 ,Z: 1.433217
Shoulder Left:  X: -0.2617938 ,Y: 0.5768555 ,Z: 1.549455
Shoulder Right:  X: 0.06224219 ,Y: 0.5014486 ,Z: 1.430663
Spine:  X: -0.1196585 ,Y: 0.3674526 ,Z: 1.494189
Hip Center:  X: -0.1283145 ,Y: 0.3326988 ,Z: 1.50833
Hip Left:  X: -0.2108301 ,Y: 0.2710106 ,Z: 1.545624
Hip Right:  X: -0.07997846 ,Y: 0.2626672 ,Z: 1.509584
Elbow Left:  X: -0.3510278 ,Y: 0.4228143 ,Z: 1.667052
Wrist Left:  X: -0.3816786 ,Y: 0.2154622 ,Z: 1.667759
Hand Left:  X: -0.3935721 ,Y: 0.1675799 ,Z: 1.660732
Elbow Right:  X: 0.1154498 ,Y: 0.3504276 ,Z: 1.368479
Wrist Right:  X: 0.1464267 ,Y: 0.1649087 ,Z: 1.353086
Hand Right:  X: 0.1529192 ,Y: 0.1079935 ,Z: 1.348721
Knee Left:  X: -0.290238 ,Y: -0.2024645 ,Z: 1.711473
Ankle Left:  X: -0.3194555 ,Y: -0.5810054 ,Z: 1.789845
Knee Right:  X: 0.01810787 ,Y: -0.213706 ,Z: 1.541239
Ankle Right:  X: 0.1158016 ,Y: -0.5320958 ,Z: 1.573614
--------------------------------------
Head:  X: -0.2605417 ,Y: 0.7336618 ,Z: 1.500866
Shoulder Center:  X: -0.3073905 ,Y: 0.5976533 ,Z: 1.585843
Shoulder Left:  X: -0.4492742 ,Y: 0.5915174 ,Z: 1.614233
Shoulder Right:  X: -0.09898561 ,Y: 0.601529 ,Z: 1.632913
Spine:  X: -0.2565832 ,Y: 0.4108569 ,Z: 1.63278
Hip Center:  X: -0.2488121 ,Y: 0.3731613 ,Z: 1.64485
Hip Left:  X: -0.3089113 ,Y: 0.2906339 ,Z: 1.654701
Hip Right:  X: -0.1628251 ,Y: 0.3061307 ,Z: 1.669316
Elbow Left:  X: -0.51092 ,Y: 0.4124746 ,Z: 1.663842
Wrist Left:  X: -0.5309153 ,Y: 0.212877 ,Z: 1.662025
Hand Left:  X: -0.5267328 ,Y: 0.1492546 ,Z: 1.667543
Elbow Right:  X: -0.04237401 ,Y: 0.4474232 ,Z: 1.679437
Wrist Right:  X: -0.05576201 ,Y: 0.2676786 ,Z: 1.607907
Hand Right:  X: -0.07579698 ,Y: 0.2068867 ,Z: 1.596244
Knee Left:  X: -0.3419461 ,Y: -0.2195297 ,Z: 1.761261
Ankle Left:  X: -0.3143541 ,Y: -0.5804743 ,Z: 1.795755
Knee Right:  X: -0.1000093 ,Y: -0.2015177 ,Z: 1.815378
Ankle Right:  X: -0.115142 ,Y: -0.5576868 ,Z: 1.971876
--------------------------------------
Head:  X: -0.02807167 ,Y: 0.7568538 ,Z: 1.647444
Shoulder Center:  X: -0.07492045 ,Y: 0.6208453 ,Z: 1.731285
Shoulder Left:  X: -0.2696626 ,Y: 0.5668488 ,Z: 1.626014
Shoulder Right:  X: -0.0799816 ,Y: 0.6374552 ,Z: 1.731954
Spine:  X: -0.1692958 ,Y: 0.3862153 ,Z: 1.800453
Hip Center:  X: -0.1873041 ,Y: 0.3391232 ,Z: 1.816243
Hip Left:  X: -0.2433946 ,Y: 0.2841541 ,Z: 1.805455
Hip Right:  X: -0.1627438 ,Y: 0.3026961 ,Z: 1.853003
Elbow Left:  X: -0.3627218 ,Y: 0.353231 ,Z: 1.638266
Wrist Left:  X: -0.3459234 ,Y: 0.1320313 ,Z: 1.645731
Hand Left:  X: -0.3317316 ,Y: 0.06880087 ,Z: 1.644103
Elbow Right:  X: -0.05903146 ,Y: 0.5437097 ,Z: 1.927596
Wrist Right:  X: 0.04383112 ,Y: 0.3492418 ,Z: 1.9248
Hand Right:  X: 0.07110356 ,Y: 0.3088426 ,Z: 1.920154
Knee Left:  X: -0.2944234 ,Y: -0.2427501 ,Z: 1.783031
Ankle Left:  X: -0.2958382 ,Y: -0.579448 ,Z: 1.801981
Knee Right:  X: -0.1769253 ,Y: -0.2473729 ,Z: 1.924964
Ankle Right:  X: -0.1514661 ,Y: -0.570856 ,Z: 2.019696
--------------------------------------
Head:  X: 0.01355318 ,Y: 0.4914708 ,Z: 1.744068
Shoulder Center:  X: -0.1304819 ,Y: 0.3836305 ,Z: 1.842724
Shoulder Left:  X: -0.2537248 ,Y: 0.3264643 ,Z: 1.827808
Shoulder Right:  X: -0.1712184 ,Y: 0.434916 ,Z: 1.815693
Spine:  X: -0.2123171 ,Y: 0.1496191 ,Z: 1.974031
Hip Center:  X: -0.2290336 ,Y: 0.102596 ,Z: 2.003203
Hip Left:  X: -0.2602717 ,Y: 0.04413117 ,Z: 1.982856
Hip Right:  X: -0.2270219 ,Y: 0.07652127 ,Z: 2.070206
Elbow Left:  X: -0.3666203 ,Y: 0.1308765 ,Z: 1.765755
Wrist Left:  X: -0.2380343 ,Y: -0.05294053 ,Z: 1.683349
Hand Left:  X: -0.2102758 ,Y: -0.09568521 ,Z: 1.674011
Elbow Right:  X: -0.1517076 ,Y: 0.3613244 ,Z: 2.018282
Wrist Right:  X: -0.1429075 ,Y: 0.1312176 ,Z: 2.05774
Hand Right:  X: -0.0917956 ,Y: 0.1236519 ,Z: 2.061638
Knee Left:  X: -0.2703929 ,Y: -0.2956151 ,Z: 1.760611
Ankle Left:  X: -0.2840349 ,Y: -0.5864701 ,Z: 1.804951
Knee Right:  X: -0.0836558 ,Y: -0.3232777 ,Z: 1.970498
Ankle Right:  X: -0.1463292 ,Y: -0.5992717 ,Z: 2.024358
--------------------------------------
Head:  X: -0.292423 ,Y: 0.6139649 ,Z: 2.070672
