Head:  X: -0.1309778 ,Y: 0.5327165 ,Z: 1.799982
Shoulder Center:  X: -0.2411441 ,Y: 0.3573527 ,Z: 1.88796
Shoulder Left:  X: -0.3587863 ,Y: 0.2840195 ,Z: 1.844135
Shoulder Right:  X: -0.07022305 ,Y: 0.2938831 ,Z: 2.066296
Spine:  X: -0.265832 ,Y: 0.1248227 ,Z: 2.022599
Hip Center:  X: -0.2707696 ,Y: 0.07831672 ,Z: 2.052117
Hip Left:  X: -0.3424177 ,Y: 0.01279068 ,Z: 2.05461
Hip Right:  X: -0.2125642 ,Y: 0.01722931 ,Z: 2.119303
Elbow Left:  X: -0.3974586 ,Y: 0.1248398 ,Z: 1.765062
Wrist Left:  X: -0.3639824 ,Y: -0.07733788 ,Z: 1.713618
Hand Left:  X: -0.3379525 ,Y: -0.1608468 ,Z: 1.704307
Elbow Right:  X: 0.07859582 ,Y: 0.1421813 ,Z: 2.101628
Wrist Right:  X: 0.1736028 ,Y: -0.01694782 ,Z: 1.961074
Hand Right:  X: 0.1957856 ,Y: -0.08869798 ,Z: 1.915272
Knee Left:  X: -0.2544757 ,Y: -0.2661468 ,Z: 1.780838
Ankle Left:  X: -0.2570888 ,Y: -0.5772584 ,Z: 1.812047
Knee Right:  X: -0.05576412 ,Y: -0.2609077 ,Z: 1.929036
Ankle Right:  X: -0.08299082 ,Y: -0.5582714 ,Z: 1.957839
--------------------------------------
Head:  X: -0.2143002 ,Y: 0.638364 ,Z: 1.967107
Shoulder Center:  X: -0.2890868 ,Y: 0.451177 ,Z: 2.020026
Shoulder Left:  X: -0.4348964 ,Y: 0.3577304 ,Z: 1.963862
Shoulder Right:  X: -0.1351709 ,Y: 0.3504294 ,Z: 2.151802
Spine:  X: -0.3017856 ,Y: 0.1704698 ,Z: 2.081759
Hip Center:  X: -0.3041699 ,Y: 0.1148316 ,Z: 2.097322
Hip Left:  X: -0.3741791 ,Y: 0.04388705 ,Z: 2.082486
Hip Right:  X: -0.2403891 ,Y: 0.04271921 ,Z: 2.143288
Elbow Left:  X: -0.4944875 ,Y: 0.1559864 ,Z: 1.89977
Wrist Left:  X: -0.4521381 ,Y: -0.05469643 ,Z: 1.82365
Hand Left:  X: -0.4430768 ,Y: -0.1258664 ,Z: 1.801334
Elbow Right:  X: -0.009533823 ,Y: 0.2468877 ,Z: 2.163939
Wrist Right:  X: 0.04264534 ,Y: 0.127158 ,Z: 1.970593
Hand Right:  X: 0.05851809 ,Y: 0.02952654 ,Z: 1.859563
Knee Left:  X: -0.2701724 ,Y: -0.2493033 ,Z: 1.806806
Ankle Left:  X: -0.2607528 ,Y: -0.5761912 ,Z: 1.806944
Knee Right:  X: -0.07066072 ,Y: -0.270064 ,Z: 1.925653
Ankle Right:  X: -0.0865379 ,Y: -0.5586246 ,Z: 1.951616
--------------------------------------
Head:  X: -0.3627436 ,Y: 0.7259033 ,Z: 2.22323
Shoulder Center:  X: -0.4012159 ,Y: 0.5133202 ,Z: 2.251902
Shoulder Left:  X: -0.5562633 ,Y: 0.4047691 ,Z: 2.174466
Shoulder Right:  X: -0.2419259 ,Y: 0.3621004 ,Z: 2.362474
Spine:  X: -0.3950709 ,Y: 0.2157169 ,Z: 2.244552
Hip Center:  X: -0.3853495 ,Y: 0.1578905 ,Z: 2.232063
Hip Left:  X: -0.4520679 ,Y: 0.08293464 ,Z: 2.192033
Hip Right:  X: -0.3119407 ,Y: 0.07345613 ,Z: 2.259107
Elbow Left:  X: -0.629698 ,Y: 0.1910099 ,Z: 2.13856
Wrist Left:  X: -0.5671735 ,Y: 0.05761661 ,Z: 1.955468
Hand Left:  X: -0.5437643 ,Y: -1.331419E-05 ,Z: 1.904531
Elbow Right:  X: -0.1233534 ,Y: 0.260715 ,Z: 2.401347
Wrist Right:  X: -0.03000457 ,Y: 0.1957816 ,Z: 2.267418
Hand Right:  X: 0.02810464 ,Y: 0.1875716 ,Z: 2.04094
Knee Left:  X: -0.2710359 ,Y: -0.2030344 ,Z: 1.831364
Ankle Left:  X: -0.2650259 ,Y: -0.5721238 ,Z: 1.811344
Knee Right:  X: -0.06971782 ,Y: -0.1732311 ,Z: 1.948292
Ankle Right:  X: -0.08727932 ,Y: -0.5447863 ,Z: 1.956899
--------------------------------------
Head:  X: -0.2670388 ,Y: 0.6827138 ,Z: 2.109023
Shoulder Center:  X: -0.3631315 ,Y: 0.5098718 ,Z: 2.166956
Shoulder Left:  X: -0.4863608 ,Y: 0.3999906 ,Z: 2.083938
Shoulder Right:  X: -0.2104657 ,Y: 0.3891815 ,Z: 2.313678
Spine:  X: -0.3679476 ,Y: 0.2198836 ,Z: 2.207162
Hip Center:  X: -0.3597423 ,Y: 0.1608342 ,Z: 2.206881
Hip Left:  X: -0.4195747 ,Y: 0.08959392 ,Z: 2.174094
Hip Right:  X: -0.297713 ,Y: 0.08052447 ,Z: 2.251043
Elbow Left:  X: -0.5293357 ,Y: 0.226491 ,Z: 1.954859
Wrist Left:  X: -0.3546533 ,Y: 0.1999408 ,Z: 1.8066
Hand Left:  X: -0.2351432 ,Y: 0.188959 ,Z: 1.724819
Elbow Right:  X: -0.09998476 ,Y: 0.2193935 ,Z: 2.196892
Wrist Right:  X: 0.01319876 ,Y: 0.154765 ,Z: 2.003943
Hand Right:  X: 0.04490882 ,Y: 0.1401316 ,Z: 1.950378
Knee Left:  X: -0.2737186 ,Y: -0.2420092 ,Z: 1.814161
Ankle Left:  X: -0.2641699 ,Y: -0.5751998 ,Z: 1.813857
Knee Right:  X: -0.06468695 ,Y: -0.1999451 ,Z: 1.952965
Ankle Right:  X: -0.08602002 ,Y: -0.5546068 ,Z: 1.958428
--------------------------------------
Head:  X: -0.1685803 ,Y: 0.5853293 ,Z: 1.904749
Shoulder Center:  X: -0.297154 ,Y: 0.4561352 ,Z: 2.022029
Shoulder Left:  X: -0.4206782 ,Y: 0.376444 ,Z: 1.971806
Shoulder Right:  X: -0.158587 ,Y: 0.3750484 ,Z: 2.193304
Spine:  X: -0.3113847 ,Y: 0.1875996 ,Z: 2.117052
Hip Center:  X: -0.3123006 ,Y: 0.1330676 ,Z: 2.136435
Hip Left:  X: -0.3731539 ,Y: 0.06740502 ,Z: 2.121339
Hip Right:  X: -0.2574539 ,Y: 0.0617848 ,Z: 2.193643
Elbow Left:  X: -0.4770843 ,Y: 0.2140072 ,Z: 1.876608
Wrist Left:  X: -0.3544345 ,Y: 0.1381793 ,Z: 1.751652
Hand Left:  X: -0.201967 ,Y: 0.1378804 ,Z: 1.656607
Elbow Right:  X: -0.1015833 ,Y: 0.2061083 ,Z: 2.188731
Wrist Right:  X: 0.005538955 ,Y: 0.14865 ,Z: 1.991016
Hand Right:  X: 0.07194108 ,Y: 0.1242374 ,Z: 1.873639
Knee Left:  X: -0.2638525 ,Y: -0.2587153 ,Z: 1.808323
Ankle Left:  X: -0.2615973 ,Y: -0.5769468 ,Z: 1.811475
Knee Right:  X: -0.05928428 ,Y: -0.2304041 ,Z: 1.94468
Ankle Right:  X: -0.0850106 ,Y: -0.5503335 ,Z: 1.955881
--------------------------------------
Head:  X: -0.1113039 ,Y: 0.5508772 ,Z: 1.833675
Shoulder Center:  X: -0.2519605 ,Y: 0.4167292 ,Z: 1.954908
Shoulder Left:  X: -0.3754797 ,Y: 0.3578589 ,Z: 1.923931
Shoulder Right:  X: -0.1242437 ,Y: 0.344551 ,Z: 2.135983
Spine:  X: -0.2806668 ,Y: 0.1621163 ,Z: 2.076463
Hip Center:  X: -0.2857651 ,Y: 0.1107205 ,Z: 2.102794
Hip Left:  X: -0.3476895 ,Y: 0.04896476 ,Z: 2.091388
Hip Right:  X: -0.237441 ,Y: 0.04155316 ,Z: 2.170283
Elbow Left:  X: -0.4491487 ,Y: 0.2068748 ,Z: 1.845659
Wrist Left:  X: -0.3223847 ,Y: 0.113616 ,Z: 1.71727
Hand Left:  X: -0.1986545 ,Y: 0.1169449 ,Z: 1.645414
Elbow Right:  X: -0.05336689 ,Y: 0.1353057 ,Z: 2.084869
