Head:  X: -0.234611 ,Y: 0.641895 ,Z: 1.972013
Shoulder Center:  X: -0.3062069 ,Y: 0.4678345 ,Z: 2.046739
Shoulder Left:  X: -0.4522155 ,Y: 0.3905471 ,Z: 2.017072
Shoulder Right:  X: -0.1446828 ,Y: 0.3740435 ,Z: 2.156472
Spine:  X: -0.3371665 ,Y: 0.2225337 ,Z: 2.10556
Hip Center:  X: -0.3433584 ,Y: 0.1734736 ,Z: 2.119808
Hip Left:  X: -0.4215024 ,Y: 0.1062802 ,Z: 2.111815
Hip Right:  X: -0.2831127 ,Y: 0.09885354 ,Z: 2.158108
Elbow Left:  X: -0.5734037 ,Y: 0.3482158 ,Z: 1.825302
Wrist Left:  X: -0.6766351 ,Y: 0.2931744 ,Z: 1.585839
Hand Left:  X: -0.7269148 ,Y: 0.2557149 ,Z: 1.455348
Elbow Right:  X: 0.07619423 ,Y: 0.2992207 ,Z: 2.13658
Wrist Right:  X: 0.2913265 ,Y: 0.3040271 ,Z: 2.113248
Hand Right:  X: 0.3630373 ,Y: 0.3056293 ,Z: 2.108857
Knee Left:  X: -0.1588681 ,Y: -0.2128613 ,Z: 1.755769
Ankle Left:  X: -0.1484486 ,Y: -0.5577164 ,Z: 1.763866
Knee Right:  X: -0.2323726 ,Y: -0.0822723 ,Z: 1.759785
Ankle Right:  X: -0.1517816 ,Y: -0.5432987 ,Z: 1.756706
--------------------------------------
Head:  X: -0.4302875 ,Y: 0.7146577 ,Z: 2.276589
Shoulder Center:  X: -0.4775073 ,Y: 0.5403161 ,Z: 2.284959
Shoulder Left:  X: -0.5943789 ,Y: 0.4977321 ,Z: 2.242292
Shoulder Right:  X: -0.3167833 ,Y: 0.3538988 ,Z: 2.327428
Spine:  X: -0.4728401 ,Y: 0.3260896 ,Z: 2.269685
Hip Center:  X: -0.4640052 ,Y: 0.288789 ,Z: 2.250007
Hip Left:  X: -0.5302263 ,Y: 0.2449261 ,Z: 2.215376
Hip Right:  X: -0.3865269 ,Y: 0.1870203 ,Z: 2.254603
Elbow Left:  X: -0.5920057 ,Y: 0.6891623 ,Z: 2.124953
Wrist Left:  X: -0.5239679 ,Y: 0.8740028 ,Z: 2.048425
Hand Left:  X: -0.5012886 ,Y: 0.9356163 ,Z: 2.02621
Elbow Right:  X: -0.2224771 ,Y: 0.6189429 ,Z: 2.309072
Wrist Right:  X: -0.1815139 ,Y: 0.8167368 ,Z: 2.24983
Hand Right:  X: -0.1893668 ,Y: 0.8822653 ,Z: 2.238987
Knee Left:  X: -0.246539 ,Y: 0.002369238 ,Z: 1.809215
Ankle Left:  X: -0.1638936 ,Y: -0.4685428 ,Z: 1.770886
Knee Right:  X: -0.2131694 ,Y: -0.09936858 ,Z: 1.790109
Ankle Right:  X: -0.125936 ,Y: -0.544827 ,Z: 1.764695
--------------------------------------
Head:  X: -0.2332065 ,Y: 0.0524284 ,Z: 1.88997
Shoulder Center:  X: -0.376391 ,Y: -0.1083224 ,Z: 1.956129
Shoulder Left:  X: -0.5896014 ,Y: -0.1694503 ,Z: 2.05934
Shoulder Right:  X: -0.1650032 ,Y: -0.1292602 ,Z: 1.978579
Spine:  X: -0.2974524 ,Y: -0.2208883 ,Z: 1.913382
Hip Center:  X: -0.2875136 ,Y: -0.2308888 ,Z: 1.882869
Hip Left:  X: -0.3106333 ,Y: -0.3021851 ,Z: 1.842336
Hip Right:  X: -0.1657813 ,Y: -0.2955843 ,Z: 1.830496
Elbow Left:  X: -0.4031925 ,Y: -0.1346276 ,Z: 1.968381
Wrist Left:  X: -0.2863491 ,Y: 0.03432393 ,Z: 1.936129
Hand Left:  X: -0.2319867 ,Y: 0.07159087 ,Z: 1.928584
Elbow Right:  X: -0.102149 ,Y: -0.2834696 ,Z: 1.810512
Wrist Right:  X: 0.0844776 ,Y: -0.3892767 ,Z: 1.695896
Hand Right:  X: 0.1466865 ,Y: -0.4245457 ,Z: 1.661183
Knee Left:  X: -0.01204328 ,Y: -0.5579735 ,Z: 1.407352
Ankle Left:  X: 0.1352269 ,Y: -1.105587 ,Z: 1.297803
Knee Right:  X: 0.06787921 ,Y: -0.7375439 ,Z: 1.255713
Ankle Right:  X: 0.158187 ,Y: -1.183438 ,Z: 1.22168
--------------------------------------
Head:  X: -0.2891725 ,Y: 0.6779136 ,Z: 2.121339
Shoulder Center:  X: -0.3536691 ,Y: 0.4940696 ,Z: 2.167572
Shoulder Left:  X: -0.4957404 ,Y: 0.4096272 ,Z: 2.121478
Shoulder Right:  X: -0.1895684 ,Y: 0.3922808 ,Z: 2.276631
Spine:  X: -0.3092693 ,Y: 0.1541525 ,Z: 2.026754
Hip Center:  X: -0.2892954 ,Y: 0.1043984 ,Z: 1.97097
Hip Left:  X: -0.3410891 ,Y: 0.04307048 ,Z: 1.904232
Hip Right:  X: -0.2334443 ,Y: 0.03434297 ,Z: 1.963652
Elbow Left:  X: -0.591919 ,Y: 0.4190101 ,Z: 1.921974
Wrist Left:  X: -0.6963294 ,Y: 0.4403776 ,Z: 1.674374
Hand Left:  X: -0.7603332 ,Y: 0.4348955 ,Z: 1.52837
Elbow Right:  X: 0.0316122 ,Y: 0.3235416 ,Z: 2.238929
Wrist Right:  X: 0.2330802 ,Y: 0.3440456 ,Z: 2.221408
Hand Right:  X: 0.3223945 ,Y: 0.3344761 ,Z: 2.222769
Knee Left:  X: -0.2111559 ,Y: -0.4720691 ,Z: 1.766402
Ankle Left:  X: -0.1487153 ,Y: -0.5541923 ,Z: 1.774376
Knee Right:  X: -0.2746062 ,Y: -0.1758902 ,Z: 1.570102
Ankle Right:  X: -0.1809105 ,Y: -0.5919145 ,Z: 1.520703
--------------------------------------
Head:  X: -0.2351047 ,Y: 0.6211319 ,Z: 1.982931
Shoulder Center:  X: -0.3193792 ,Y: 0.3836075 ,Z: 2.029148
Shoulder Left:  X: -0.4693357 ,Y: 0.3726564 ,Z: 2.030963
Shoulder Right:  X: -0.1608334 ,Y: 0.3450829 ,Z: 2.162233
Spine:  X: -0.3421689 ,Y: 0.1135673 ,Z: 2.015898
