--------------------------------------
Head:  X: -0.02400698 ,Y: 0.4923835 ,Z: 1.709849
Shoulder Center:  X: -0.0457047 ,Y: 0.3126425 ,Z: 1.706472
Shoulder Left:  X: -0.1213304 ,Y: 0.1914274 ,Z: 1.628584
Shoulder Right:  X: 0.07177004 ,Y: 0.3089076 ,Z: 1.754052
Spine:  X: -0.03251531 ,Y: 0.02159163 ,Z: 1.738352
Hip Center:  X: -0.029737 ,Y: -0.03646391 ,Z: 1.747432
Hip Left:  X: -0.06549391 ,Y: -0.1093849 ,Z: 1.717828
Hip Right:  X: 0.01219214 ,Y: -0.09161662 ,Z: 1.787634
Elbow Left:  X: -0.09654681 ,Y: 0.008151811 ,Z: 1.521497
Wrist Left:  X: 0.05623512 ,Y: 0.0169203 ,Z: 1.419047
Hand Left:  X: 0.1822224 ,Y: 0.05032903 ,Z: 1.375378
Elbow Right:  X: 0.1545352 ,Y: 0.08895716 ,Z: 1.783718
Wrist Right:  X: 0.2571791 ,Y: -0.05155946 ,Z: 1.7348
Hand Right:  X: 0.3678806 ,Y: 0.072713 ,Z: 1.595741
--------------------------------------
Head:  X: -0.02432501 ,Y: 0.4926073 ,Z: 1.709929
Shoulder Center:  X: -0.04569581 ,Y: 0.3126239 ,Z: 1.706471
Shoulder Left:  X: -0.1213624 ,Y: 0.1913472 ,Z: 1.628637
Shoulder Right:  X: 0.07180053 ,Y: 0.30892 ,Z: 1.753972
Spine:  X: -0.0325401 ,Y: 0.0215389 ,Z: 1.738275
Hip Center:  X: -0.02978079 ,Y: -0.03653451 ,Z: 1.747343
Hip Left:  X: -0.06554959 ,Y: -0.1094627 ,Z: 1.717774
Hip Right:  X: 0.01210388 ,Y: -0.09160784 ,Z: 1.787455
Elbow Left:  X: -0.09659418 ,Y: 0.008040375 ,Z: 1.521474
Wrist Left:  X: 0.05593015 ,Y: 0.01664672 ,Z: 1.418828
Hand Left:  X: 0.1728331 ,Y: 0.04781098 ,Z: 1.375382
Elbow Right:  X: 0.1574075 ,Y: 0.09164205 ,Z: 1.789096
Wrist Right:  X: 0.2535213 ,Y: -0.05282834 ,Z: 1.738545
Hand Right:  X: 0.3669201 ,Y: 0.07266302 ,Z: 1.594873
--------------------------------------
Head:  X: -0.02449935 ,Y: 0.4925525 ,Z: 1.710011
Shoulder Center:  X: -0.04597238 ,Y: 0.3127526 ,Z: 1.706399
Shoulder Left:  X: -0.1215249 ,Y: 0.1911276 ,Z: 1.628684
Shoulder Right:  X: 0.07178658 ,Y: 0.3089111 ,Z: 1.754032
Spine:  X: -0.03257818 ,Y: 0.02149867 ,Z: 1.738306
Hip Center:  X: -0.02981434 ,Y: -0.0366138 ,Z: 1.747389
Hip Left:  X: -0.06562436 ,Y: -0.1098543 ,Z: 1.717744
Hip Right:  X: 0.01209953 ,Y: -0.09161977 ,Z: 1.787558
Elbow Left:  X: -0.09667357 ,Y: 0.007796433 ,Z: 1.5215
Wrist Left:  X: 0.05564085 ,Y: 0.01652314 ,Z: 1.418761
Hand Left:  X: 0.1707205 ,Y: 0.04745584 ,Z: 1.374848
Elbow Right:  X: 0.1572782 ,Y: 0.09178886 ,Z: 1.789166
Wrist Right:  X: 0.2529299 ,Y: -0.05339256 ,Z: 1.740767
Hand Right:  X: 0.3667989 ,Y: 0.07115152 ,Z: 1.594437
--------------------------------------
Head:  X: -0.0249115 ,Y: 0.492754 ,Z: 1.710088
Shoulder Center:  X: -0.04602627 ,Y: 0.3129277 ,Z: 1.706294
Shoulder Left:  X: -0.1217275 ,Y: 0.1912069 ,Z: 1.628707
Shoulder Right:  X: 0.07115227 ,Y: 0.3094979 ,Z: 1.753305
Spine:  X: -0.03264707 ,Y: 0.02162141 ,Z: 1.738247
Hip Center:  X: -0.02988704 ,Y: -0.03651263 ,Z: 1.747351
Hip Left:  X: -0.06579757 ,Y: -0.109353 ,Z: 1.718009
Hip Right:  X: 0.01192897 ,Y: -0.0914078 ,Z: 1.787085
Elbow Left:  X: -0.09689842 ,Y: 0.007740664 ,Z: 1.521664
Wrist Left:  X: 0.05526826 ,Y: 0.01652396 ,Z: 1.41893
Hand Left:  X: 0.170503 ,Y: 0.04757413 ,Z: 1.374675
Elbow Right:  X: 0.156814 ,Y: 0.09274267 ,Z: 1.788818
Wrist Right:  X: 0.2490105 ,Y: -0.0563197 ,Z: 1.748665
Hand Right:  X: 0.3658844 ,Y: 0.07027802 ,Z: 1.593809
--------------------------------------
Head:  X: -0.02501008 ,Y: 0.4927187 ,Z: 1.710173
Shoulder Center:  X: -0.04640268 ,Y: 0.3133061 ,Z: 1.705958
Shoulder Left:  X: -0.1220249 ,Y: 0.1912538 ,Z: 1.628846
Shoulder Right:  X: 0.0706451 ,Y: 0.3094188 ,Z: 1.752952
Spine:  X: -0.03289823 ,Y: 0.02205528 ,Z: 1.738149
Hip Center:  X: -0.03012507 ,Y: -0.03608097 ,Z: 1.747309
Hip Left:  X: -0.06605288 ,Y: -0.108763 ,Z: 1.71812
Hip Right:  X: 0.01171569 ,Y: -0.09100329 ,Z: 1.787024
Elbow Left:  X: -0.09948944 ,Y: 0.01176686 ,Z: 1.525169
Wrist Left:  X: 0.05183522 ,Y: 0.01650208 ,Z: 1.420992
Hand Left:  X: 0.1704435 ,Y: 0.04783184 ,Z: 1.374662
Elbow Right:  X: 0.1563046 ,Y: 0.09291708 ,Z: 1.788673
Wrist Right:  X: 0.2487754 ,Y: -0.05595826 ,Z: 1.749244
Hand Right:  X: 0.3651614 ,Y: 0.07023192 ,Z: 1.594484
--------------------------------------
Head:  X: -0.02517956 ,Y: 0.492708 ,Z: 1.710223
Shoulder Center:  X: -0.04666105 ,Y: 0.3133899 ,Z: 1.705828
Shoulder Left:  X: -0.122068 ,Y: 0.1911368 ,Z: 1.628844
Shoulder Right:  X: 0.07005458 ,Y: 0.3093898 ,Z: 1.752667
Spine:  X: -0.03297189 ,Y: 0.02212249 ,Z: 1.738148
Hip Center:  X: -0.03017866 ,Y: -0.03602397 ,Z: 1.74733
Hip Left:  X: -0.0660691 ,Y: -0.1087658 ,Z: 1.718078
Hip Right:  X: 0.01162283 ,Y: -0.09089249 ,Z: 1.787197
Elbow Left:  X: -0.099532 ,Y: 0.01143705 ,Z: 1.52495
Wrist Left:  X: 0.05175418 ,Y: 0.01668074 ,Z: 1.420981
Hand Left:  X: 0.1715612 ,Y: 0.04844361 ,Z: 1.373728
Elbow Right:  X: 0.1557471 ,Y: 0.09309234 ,Z: 1.788358
Wrist Right:  X: 0.2486341 ,Y: -0.05554849 ,Z: 1.749904
Hand Right:  X: 0.3634531 ,Y: 0.06996579 ,Z: 1.595827
--------------------------------------
Head:  X: -0.02553711 ,Y: 0.4928463 ,Z: 1.710427
Shoulder Center:  X: -0.04696125 ,Y: 0.3136686 ,Z: 1.705696
Shoulder Left:  X: -0.1221709 ,Y: 0.19122 ,Z: 1.628917
Shoulder Right:  X: 0.06962677 ,Y: 0.3096294 ,Z: 1.752403
Spine:  X: -0.03320253 ,Y: 0.02253454 ,Z: 1.738024
Hip Center:  X: -0.03039729 ,Y: -0.03559914 ,Z: 1.747224
Hip Left:  X: -0.0661718 ,Y: -0.1085189 ,Z: 1.717934
Hip Right:  X: 0.01134892 ,Y: -0.09039064 ,Z: 1.787221
Elbow Left:  X: -0.09955601 ,Y: 0.01071376 ,Z: 1.524701
Wrist Left:  X: 0.05166098 ,Y: 0.01699749 ,Z: 1.420926
Hand Left:  X: 0.1725771 ,Y: 0.04886231 ,Z: 1.373712
Elbow Right:  X: 0.1545054 ,Y: 0.0932564 ,Z: 1.788267
Wrist Right:  X: 0.277481 ,Y: 0.00314457 ,Z: 1.686341
Hand Right:  X: 0.3657015 ,Y: 0.06982087 ,Z: 1.598144
--------------------------------------
Head:  X: -0.02566206 ,Y: 0.4930464 ,Z: 1.710788
Shoulder Center:  X: -0.0469587 ,Y: 0.3136824 ,Z: 1.705726
Shoulder Left:  X: -0.1221701 ,Y: 0.1911344 ,Z: 1.628878
Shoulder Right:  X: 0.06964846 ,Y: 0.3092456 ,Z: 1.752894
Spine:  X: -0.033113 ,Y: 0.02279971 ,Z: 1.73814
Hip Center:  X: -0.03028166 ,Y: -0.03525738 ,Z: 1.747384
Hip Left:  X: -0.06603855 ,Y: -0.1082623 ,Z: 1.718069
Hip Right:  X: 0.01146919 ,Y: -0.09026384 ,Z: 1.787458
Elbow Left:  X: -0.1008258 ,Y: 0.01170887 ,Z: 1.526525
Wrist Left:  X: 0.04970248 ,Y: 0.01713301 ,Z: 1.421813
Hand Left:  X: 0.1790975 ,Y: 0.05146505 ,Z: 1.372963
Elbow Right:  X: 0.1545411 ,Y: 0.09299873 ,Z: 1.788482
Wrist Right:  X: 0.2773832 ,Y: 0.00336992 ,Z: 1.686138
Hand Right:  X: 0.3660562 ,Y: 0.06947026 ,Z: 1.597548
--------------------------------------
Head:  X: -0.02609896 ,Y: 0.4930968 ,Z: 1.710955
Shoulder Center:  X: -0.04698509 ,Y: 0.3136981 ,Z: 1.705748
Shoulder Left:  X: -0.1221905 ,Y: 0.1911368 ,Z: 1.628894
Shoulder Right:  X: 0.0693992 ,Y: 0.3092242 ,Z: 1.75289
Spine:  X: -0.03314167 ,Y: 0.02260244 ,Z: 1.73814
Hip Center:  X: -0.03031333 ,Y: -0.0355759 ,Z: 1.74738
Hip Left:  X: -0.066057 ,Y: -0.1084978 ,Z: 1.718114
Hip Right:  X: 0.01145416 ,Y: -0.09030967 ,Z: 1.787443
Elbow Left:  X: -0.1021057 ,Y: 0.01476146 ,Z: 1.52758
Wrist Left:  X: 0.04817221 ,Y: 0.01709912 ,Z: 1.42257
Hand Left:  X: 0.1798198 ,Y: 0.05166612 ,Z: 1.373074
Elbow Right:  X: 0.1544137 ,Y: 0.09320924 ,Z: 1.788442
Wrist Right:  X: 0.2782605 ,Y: 0.007930614 ,Z: 1.683547
Hand Right:  X: 0.3678466 ,Y: 0.0682416 ,Z: 1.596136
--------------------------------------
Head:  X: -0.0261384 ,Y: 0.4930693 ,Z: 1.711042
