Head:  X: 0.09998232 ,Y: 0.528405 ,Z: 1.287784
Shoulder Center:  X: 0.06539632 ,Y: 0.3802199 ,Z: 1.371852
Shoulder Left:  X: -0.09809627 ,Y: 0.3172485 ,Z: 1.344984
Shoulder Right:  X: 0.2320693 ,Y: 0.307564 ,Z: 1.408637
Spine:  X: 0.0666272 ,Y: 0.1169685 ,Z: 1.471907
Hip Center:  X: 0.06687337 ,Y: 0.06431825 ,Z: 1.494628
Hip Left:  X: -0.007081561 ,Y: -0.004579393 ,Z: 1.507101
Hip Right:  X: 0.141493 ,Y: -0.008937446 ,Z: 1.532416
Elbow Left:  X: -0.1404136 ,Y: 0.08655138 ,Z: 1.300017
Wrist Left:  X: -0.08149511 ,Y: -0.1749714 ,Z: 1.244138
Hand Left:  X: -0.05717078 ,Y: -0.2521336 ,Z: 1.225268
Elbow Right:  X: 0.2776986 ,Y: 0.06138964 ,Z: 1.357972
Wrist Right:  X: 0.2482435 ,Y: -0.1913927 ,Z: 1.229074
Hand Right:  X: 0.2397256 ,Y: -0.267947 ,Z: 1.205674
--------------------------------------
Head:  X: 0.05842097 ,Y: 0.4725469 ,Z: 1.339314
Shoulder Center:  X: 0.07720446 ,Y: 0.3234221 ,Z: 1.374756
Shoulder Left:  X: -0.09214502 ,Y: 0.3123241 ,Z: 1.344362
Shoulder Right:  X: 0.2033813 ,Y: 0.363355 ,Z: 1.387931
Spine:  X: 0.06690901 ,Y: 0.1221021 ,Z: 1.463063
Hip Center:  X: 0.06594763 ,Y: 0.08246277 ,Z: 1.479814
Hip Left:  X: -0.00450272 ,Y: 0.007154125 ,Z: 1.493899
Hip Right:  X: 0.1268327 ,Y: 0.04325039 ,Z: 1.509981
Elbow Left:  X: -0.140407 ,Y: 0.09382078 ,Z: 1.29686
Wrist Left:  X: -0.1151537 ,Y: -0.1129374 ,Z: 1.253601
Hand Left:  X: -0.1045413 ,Y: -0.1532236 ,Z: 1.227594
Elbow Right:  X: 0.2426695 ,Y: 0.1121938 ,Z: 1.334794
Wrist Right:  X: 0.2273824 ,Y: -0.1054366 ,Z: 1.245501
Hand Right:  X: 0.226396 ,Y: -0.1699145 ,Z: 1.229481
--------------------------------------
Head:  X: 0.05261885 ,Y: 0.5187156 ,Z: 1.343076
Shoulder Center:  X: 0.03714027 ,Y: 0.3690777 ,Z: 1.35605
Shoulder Left:  X: -0.09220016 ,Y: 0.3123664 ,Z: 1.343103
Shoulder Right:  X: 0.1987587 ,Y: 0.3997492 ,Z: 1.379143
Spine:  X: 0.04963651 ,Y: 0.1684562 ,Z: 1.438092
Hip Center:  X: 0.05213575 ,Y: 0.1283319 ,Z: 1.456944
Hip Left:  X: -0.008500668 ,Y: 0.03625524 ,Z: 1.4774
Hip Right:  X: 0.1221626 ,Y: 0.08108228 ,Z: 1.49034
Elbow Left:  X: -0.1573292 ,Y: 0.1379312 ,Z: 1.294738
Wrist Left:  X: -0.1394595 ,Y: -0.04920903 ,Z: 1.272308
Hand Left:  X: -0.12272 ,Y: -0.08170317 ,Z: 1.25049
Elbow Right:  X: 0.2329321 ,Y: 0.1608023 ,Z: 1.337679
Wrist Right:  X: 0.2141232 ,Y: -0.06575017 ,Z: 1.254739
Hand Right:  X: 0.2108735 ,Y: -0.1289686 ,Z: 1.241158
--------------------------------------
Head:  X: 0.04427096 ,Y: 0.5816355 ,Z: 1.326445
Shoulder Center:  X: 0.0466579 ,Y: 0.4282515 ,Z: 1.346809
Shoulder Left:  X: -0.09361503 ,Y: 0.3181929 ,Z: 1.349744
Shoulder Right:  X: 0.1991117 ,Y: 0.4264934 ,Z: 1.371449
Spine:  X: 0.04894403 ,Y: 0.1980221 ,Z: 1.428673
Hip Center:  X: 0.05003607 ,Y: 0.1519611 ,Z: 1.447988
Hip Left:  X: -0.01459474 ,Y: 0.06151536 ,Z: 1.463788
Hip Right:  X: 0.1171662 ,Y: 0.1122985 ,Z: 1.476668
Elbow Left:  X: -0.1628631 ,Y: 0.1456441 ,Z: 1.296547
