Head:  X: 0.5961812 ,Y: 0.9490107 ,Z: 2.199085
Shoulder Center:  X: 0.7239581 ,Y: 0.8292719 ,Z: 2.326635
Shoulder Left:  X: 0.5915152 ,Y: 0.8166143 ,Z: 2.445882
Shoulder Right:  X: 0.8513443 ,Y: 0.7347387 ,Z: 2.255739
Spine:  X: 0.7060397 ,Y: 0.4645895 ,Z: 2.335396
Hip Center:  X: 0.699329 ,Y: 0.3918739 ,Z: 2.336218
Hip Left:  X: 0.6362141 ,Y: 0.3276547 ,Z: 2.391003
Hip Right:  X: 0.7531372 ,Y: 0.2908107 ,Z: 2.279741
Elbow Left:  X: 0.5523471 ,Y: 0.515947 ,Z: 2.531905
Wrist Left:  X: 0.5296283 ,Y: 0.2322813 ,Z: 2.509101
Hand Left:  X: 0.5241814 ,Y: 0.1475291 ,Z: 2.512555
Elbow Right:  X: 0.9435211 ,Y: 0.5143642 ,Z: 2.213374
Wrist Right:  X: 0.6349033 ,Y: 0.5626038 ,Z: 2.114017
Hand Right:  X: 0.5772351 ,Y: 0.5736166 ,Z: 2.091657
--------------------------------------
Head:  X: 0.6003656 ,Y: 0.9496428 ,Z: 2.20349
Shoulder Center:  X: 0.7227759 ,Y: 0.8271132 ,Z: 2.321686
Shoulder Left:  X: 0.5908383 ,Y: 0.8162296 ,Z: 2.442024
Shoulder Right:  X: 0.8513384 ,Y: 0.7351336 ,Z: 2.25374
Spine:  X: 0.7054232 ,Y: 0.4649657 ,Z: 2.332511
Hip Center:  X: 0.698957 ,Y: 0.3925492 ,Z: 2.333738
Hip Left:  X: 0.6358051 ,Y: 0.3281253 ,Z: 2.38875
Hip Right:  X: 0.7529536 ,Y: 0.2915784 ,Z: 2.277659
Elbow Left:  X: 0.546499 ,Y: 0.5687181 ,Z: 2.525055
Wrist Left:  X: 0.5309733 ,Y: 0.2671305 ,Z: 2.506642
Hand Left:  X: 0.5267761 ,Y: 0.1821355 ,Z: 2.508048
Elbow Right:  X: 0.9369546 ,Y: 0.5294149 ,Z: 2.21278
Wrist Right:  X: 0.6483426 ,Y: 0.5609931 ,Z: 2.115591
Hand Right:  X: 0.5908746 ,Y: 0.5721908 ,Z: 2.092583
--------------------------------------
Head:  X: 0.6043293 ,Y: 0.9565375 ,Z: 2.196949
Shoulder Center:  X: 0.7218786 ,Y: 0.825003 ,Z: 2.314529
Shoulder Left:  X: 0.5850849 ,Y: 0.8047971 ,Z: 2.430424
Shoulder Right:  X: 0.8536947 ,Y: 0.7294734 ,Z: 2.246842
Spine:  X: 0.7041817 ,Y: 0.4648391 ,Z: 2.326377
Hip Center:  X: 0.6980409 ,Y: 0.3927863 ,Z: 2.328203
Hip Left:  X: 0.6333576 ,Y: 0.3275734 ,Z: 2.381743
Hip Right:  X: 0.7531117 ,Y: 0.29197 ,Z: 2.273822
Elbow Left:  X: 0.5499743 ,Y: 0.5210713 ,Z: 2.507475
Wrist Left:  X: 0.5252856 ,Y: 0.238898 ,Z: 2.484546
Hand Left:  X: 0.5197914 ,Y: 0.1556874 ,Z: 2.477574
Elbow Right:  X: 0.9391383 ,Y: 0.5215796 ,Z: 2.209658
Wrist Right:  X: 0.650319 ,Y: 0.5588341 ,Z: 2.107113
Hand Right:  X: 0.5947782 ,Y: 0.5709259 ,Z: 2.082726
--------------------------------------
Head:  X: 0.60343 ,Y: 0.9651847 ,Z: 2.194368
Shoulder Center:  X: 0.7250829 ,Y: 0.8201844 ,Z: 2.297341
Shoulder Left:  X: 0.5882798 ,Y: 0.8096248 ,Z: 2.415578
Shoulder Right:  X: 0.8539125 ,Y: 0.745713 ,Z: 2.238823
Spine:  X: 0.7037101 ,Y: 0.4630889 ,Z: 2.315762
Hip Center:  X: 0.6973407 ,Y: 0.391516 ,Z: 2.319093
Hip Left:  X: 0.6325308 ,Y: 0.3252055 ,Z: 2.373722
Hip Right:  X: 0.7517964 ,Y: 0.293625 ,Z: 2.266045
Elbow Left:  X: 0.5505924 ,Y: 0.5221344 ,Z: 2.498165
Wrist Left:  X: 0.519781 ,Y: 0.2312256 ,Z: 2.464064
Hand Left:  X: 0.5188844 ,Y: 0.1486215 ,Z: 2.46411
Elbow Right:  X: 0.933356 ,Y: 0.5308096 ,Z: 2.205168
Wrist Right:  X: 0.6391852 ,Y: 0.5594355 ,Z: 2.097389
Hand Right:  X: 0.5841681 ,Y: 0.5724968 ,Z: 2.074352
--------------------------------------
Head:  X: 0.6106676 ,Y: 0.952966 ,Z: 2.170061
Shoulder Center:  X: 0.7215188 ,Y: 0.8207315 ,Z: 2.292774
Shoulder Left:  X: 0.5873548 ,Y: 0.808966 ,Z: 2.404374
Shoulder Right:  X: 0.8535574 ,Y: 0.748704 ,Z: 2.233943
Spine:  X: 0.700622 ,Y: 0.4646526 ,Z: 2.30727
Hip Center:  X: 0.69462 ,Y: 0.3934471 ,Z: 2.310108
Hip Left:  X: 0.6301969 ,Y: 0.325133 ,Z: 2.366336
Hip Right:  X: 0.7491208 ,Y: 0.2972797 ,Z: 2.254109
Elbow Left:  X: 0.54843 ,Y: 0.5204015 ,Z: 2.494754
Wrist Left:  X: 0.5203322 ,Y: 0.226293 ,Z: 2.453849
Hand Left:  X: 0.5162809 ,Y: 0.1450053 ,Z: 2.450503
Elbow Right:  X: 0.9313712 ,Y: 0.5302558 ,Z: 2.196206
Wrist Right:  X: 0.6331075 ,Y: 0.5595495 ,Z: 2.08843
Hand Right:  X: 0.5790353 ,Y: 0.5723599 ,Z: 2.065256
--------------------------------------
Head:  X: 0.6126976 ,Y: 0.9536703 ,Z: 2.160716
Shoulder Center:  X: 0.7191659 ,Y: 0.8193658 ,Z: 2.284866
Shoulder Left:  X: 0.589735 ,Y: 0.8098853 ,Z: 2.385071
Shoulder Right:  X: 0.8533341 ,Y: 0.7512828 ,Z: 2.226702
Spine:  X: 0.6974515 ,Y: 0.4637268 ,Z: 2.299536
Hip Center:  X: 0.6915321 ,Y: 0.3926351 ,Z: 2.302868
Hip Left:  X: 0.6270074 ,Y: 0.3241276 ,Z: 2.358575
Hip Right:  X: 0.7458802 ,Y: 0.297493 ,Z: 2.248246
Elbow Left:  X: 0.5461524 ,Y: 0.5196611 ,Z: 2.47995
Wrist Left:  X: 0.5165616 ,Y: 0.21637 ,Z: 2.436874
Hand Left:  X: 0.5121408 ,Y: 0.1417826 ,Z: 2.434103
