Head:  X: 0.5199742 ,Y: 0.8602103 ,Z: 1.939281
Shoulder Center:  X: 0.5274546 ,Y: 0.7174555 ,Z: 2.082987
Shoulder Left:  X: 0.3802626 ,Y: 0.6050779 ,Z: 2.072798
Shoulder Right:  X: 0.7254386 ,Y: 0.6194085 ,Z: 2.124678
Spine:  X: 0.566137 ,Y: 0.3618546 ,Z: 2.11934
Hip Center:  X: 0.5738734 ,Y: 0.2907344 ,Z: 2.129968
Hip Left:  X: 0.5046252 ,Y: 0.2101395 ,Z: 2.128841
Hip Right:  X: 0.6599544 ,Y: 0.2165882 ,Z: 2.143151
Elbow Left:  X: 0.3460151 ,Y: 0.3691536 ,Z: 2.101861
Wrist Left:  X: 0.3354371 ,Y: 0.1203476 ,Z: 2.028057
Hand Left:  X: 0.3315626 ,Y: 0.02177558 ,Z: 2.017915
Elbow Right:  X: 0.8045751 ,Y: 0.3703757 ,Z: 2.156547
Wrist Right:  X: 0.8221013 ,Y: 0.1679245 ,Z: 2.061831
Hand Right:  X: 0.826719 ,Y: 0.08747204 ,Z: 2.033525
--------------------------------------
Head:  X: 0.5222424 ,Y: 0.8638625 ,Z: 1.942785
Shoulder Center:  X: 0.5313682 ,Y: 0.7239652 ,Z: 2.090779
Shoulder Left:  X: 0.3778906 ,Y: 0.609112 ,Z: 2.080499
Shoulder Right:  X: 0.728768 ,Y: 0.622121 ,Z: 2.131112
Spine:  X: 0.5684849 ,Y: 0.366392 ,Z: 2.128321
Hip Center:  X: 0.575935 ,Y: 0.2949238 ,Z: 2.139258
Hip Left:  X: 0.5050139 ,Y: 0.2130303 ,Z: 2.137973
Hip Right:  X: 0.663331 ,Y: 0.2191343 ,Z: 2.153262
Elbow Left:  X: 0.3477011 ,Y: 0.376525 ,Z: 2.112944
Wrist Left:  X: 0.3386278 ,Y: 0.1339369 ,Z: 2.044057
Hand Left:  X: 0.336798 ,Y: 0.0287508 ,Z: 2.033638
Elbow Right:  X: 0.806254 ,Y: 0.3722932 ,Z: 2.162026
Wrist Right:  X: 0.824657 ,Y: 0.169217 ,Z: 2.073172
Hand Right:  X: 0.8272651 ,Y: 0.08959869 ,Z: 2.041091
--------------------------------------
Head:  X: 0.5272622 ,Y: 0.86274 ,Z: 1.955915
Shoulder Center:  X: 0.5423093 ,Y: 0.7321976 ,Z: 2.109961
Shoulder Left:  X: 0.380044 ,Y: 0.6184205 ,Z: 2.097897
Shoulder Right:  X: 0.7339179 ,Y: 0.6263344 ,Z: 2.142265
Spine:  X: 0.5739334 ,Y: 0.380443 ,Z: 2.148149
Hip Center:  X: 0.5802686 ,Y: 0.3102877 ,Z: 2.159344
Hip Left:  X: 0.5073544 ,Y: 0.2291718 ,Z: 2.160179
Hip Right:  X: 0.6671192 ,Y: 0.231438 ,Z: 2.170988
Elbow Left:  X: 0.3542453 ,Y: 0.3851855 ,Z: 2.136751
Wrist Left:  X: 0.346667 ,Y: 0.1365299 ,Z: 2.064424
Hand Left:  X: 0.3455924 ,Y: 0.03788427 ,Z: 2.056134
Elbow Right:  X: 0.8095885 ,Y: 0.375089 ,Z: 2.18052
Wrist Right:  X: 0.8329092 ,Y: 0.1688084 ,Z: 2.101314
Hand Right:  X: 0.8349221 ,Y: 0.08796584 ,Z: 2.067719
--------------------------------------
Head:  X: 0.5331186 ,Y: 0.8658348 ,Z: 1.969096
Shoulder Center:  X: 0.5486661 ,Y: 0.7401539 ,Z: 2.125957
Shoulder Left:  X: 0.3870412 ,Y: 0.6256672 ,Z: 2.12179
Shoulder Right:  X: 0.7393264 ,Y: 0.6313959 ,Z: 2.15758
Spine:  X: 0.5775534 ,Y: 0.3895919 ,Z: 2.164362
Hip Center:  X: 0.5833153 ,Y: 0.319497 ,Z: 2.175354
Hip Left:  X: 0.5101752 ,Y: 0.2388303 ,Z: 2.176758
Hip Right:  X: 0.6695118 ,Y: 0.2416404 ,Z: 2.187896
Elbow Left:  X: 0.3535938 ,Y: 0.3880242 ,Z: 2.147471
Wrist Left:  X: 0.3508569 ,Y: 0.1489197 ,Z: 2.093133
Hand Left:  X: 0.347502 ,Y: 0.0421403 ,Z: 2.076964
Elbow Right:  X: 0.8151188 ,Y: 0.3787597 ,Z: 2.196007
Wrist Right:  X: 0.8340543 ,Y: 0.1685934 ,Z: 2.11257
Hand Right:  X: 0.8393472 ,Y: 0.08334291 ,Z: 2.088808
--------------------------------------
Head:  X: 0.5398113 ,Y: 0.8715767 ,Z: 1.981967
Shoulder Center:  X: 0.5515535 ,Y: 0.7437156 ,Z: 2.138742
Shoulder Left:  X: 0.3882619 ,Y: 0.6296769 ,Z: 2.133879
Shoulder Right:  X: 0.7444238 ,Y: 0.6363343 ,Z: 2.176003
Spine:  X: 0.5781907 ,Y: 0.3979906 ,Z: 2.178837
Hip Center:  X: 0.5834529 ,Y: 0.3290482 ,Z: 2.190315
Hip Left:  X: 0.5093521 ,Y: 0.2474222 ,Z: 2.190436
Hip Right:  X: 0.6697008 ,Y: 0.2506439 ,Z: 2.203939
Elbow Left:  X: 0.3546255 ,Y: 0.389709 ,Z: 2.170515
Wrist Left:  X: 0.3511426 ,Y: 0.1423968 ,Z: 2.100964
Hand Left:  X: 0.3493022 ,Y: 0.04199994 ,Z: 2.090277
Elbow Right:  X: 0.8201002 ,Y: 0.3818992 ,Z: 2.21122
Wrist Right:  X: 0.8379485 ,Y: 0.167645 ,Z: 2.138878
Hand Right:  X: 0.844728 ,Y: 0.08317994 ,Z: 2.107566
--------------------------------------
Head:  X: 0.5421923 ,Y: 0.8799729 ,Z: 2.004351
Shoulder Center:  X: 0.556471 ,Y: 0.744537 ,Z: 2.156825
Shoulder Left:  X: 0.3905897 ,Y: 0.6323091 ,Z: 2.150231
Shoulder Right:  X: 0.7465942 ,Y: 0.6373327 ,Z: 2.188408
Spine:  X: 0.5794187 ,Y: 0.4024445 ,Z: 2.192132
Hip Center:  X: 0.5840912 ,Y: 0.3340218 ,Z: 2.202735
Hip Left:  X: 0.5093903 ,Y: 0.252741 ,Z: 2.202774
Hip Right:  X: 0.6697626 ,Y: 0.2550699 ,Z: 2.215539
Elbow Left:  X: 0.3528898 ,Y: 0.3892954 ,Z: 2.177777
Wrist Left:  X: 0.3500836 ,Y: 0.1395517 ,Z: 2.116879
Hand Left:  X: 0.3488338 ,Y: 0.0442871 ,Z: 2.119477
Elbow Right:  X: 0.8200085 ,Y: 0.3818617 ,Z: 2.231139
Wrist Right:  X: 0.8421866 ,Y: 0.1689157 ,Z: 2.155126
Hand Right:  X: 0.8504527 ,Y: 0.0843201 ,Z: 2.128252
--------------------------------------
Head:  X: 0.5396752 ,Y: 0.8764508 ,Z: 2.016456
Shoulder Center:  X: 0.556047 ,Y: 0.7445654 ,Z: 2.171652
Shoulder Left:  X: 0.3904916 ,Y: 0.6332656 ,Z: 2.167736
Shoulder Right:  X: 0.7462741 ,Y: 0.6381925 ,Z: 2.200886
Spine:  X: 0.5793154 ,Y: 0.3972909 ,Z: 2.207286
Hip Center:  X: 0.5840076 ,Y: 0.3277594 ,Z: 2.217888
Hip Left:  X: 0.5093359 ,Y: 0.2465483 ,Z: 2.218768
Hip Right:  X: 0.6695064 ,Y: 0.2493704 ,Z: 2.228857
Elbow Left:  X: 0.3502108 ,Y: 0.389127 ,Z: 2.197247
Wrist Left:  X: 0.3488937 ,Y: 0.138404 ,Z: 2.130562
Hand Left:  X: 0.3468916 ,Y: 0.04461262 ,Z: 2.130055
Elbow Right:  X: 0.8229409 ,Y: 0.3780387 ,Z: 2.248771
Wrist Right:  X: 0.8456802 ,Y: 0.1616571 ,Z: 2.177643
Hand Right:  X: 0.8541862 ,Y: 0.07711557 ,Z: 2.156159
--------------------------------------
Head:  X: 0.5383933 ,Y: 0.8817644 ,Z: 2.030586
Shoulder Center:  X: 0.5554407 ,Y: 0.7467345 ,Z: 2.184103
Shoulder Left:  X: 0.3906547 ,Y: 0.6335944 ,Z: 2.181407
Shoulder Right:  X: 0.7472163 ,Y: 0.6407667 ,Z: 2.219281
Spine:  X: 0.5766813 ,Y: 0.3998165 ,Z: 2.22087
Hip Center:  X: 0.580932 ,Y: 0.3303923 ,Z: 2.231569
Hip Left:  X: 0.5056747 ,Y: 0.2486906 ,Z: 2.23217
Hip Right:  X: 0.6658816 ,Y: 0.2522236 ,Z: 2.244133
Elbow Left:  X: 0.3488274 ,Y: 0.3884359 ,Z: 2.206212
Wrist Left:  X: 0.3433971 ,Y: 0.1333477 ,Z: 2.152775
Hand Left:  X: 0.3406921 ,Y: 0.03993545 ,Z: 2.158777
Elbow Right:  X: 0.8224847 ,Y: 0.3840041 ,Z: 2.265167
Wrist Right:  X: 0.8474777 ,Y: 0.1657303 ,Z: 2.205458
