Head:  X: 0.7134614 ,Y: 0.8414727 ,Z: 2.09869
Shoulder Center:  X: 0.7404917 ,Y: 0.700063 ,Z: 2.251977
Shoulder Left:  X: 0.5761846 ,Y: 0.6320632 ,Z: 2.277529
Shoulder Right:  X: 0.9385619 ,Y: 0.6137057 ,Z: 2.274743
Spine:  X: 0.7710909 ,Y: 0.3891563 ,Z: 2.344095
Hip Center:  X: 0.7772107 ,Y: 0.3269749 ,Z: 2.36562
Hip Left:  X: 0.7033993 ,Y: 0.2526301 ,Z: 2.384869
Hip Right:  X: 0.866469 ,Y: 0.2443692 ,Z: 2.388839
Elbow Left:  X: 0.5347865 ,Y: 0.4198121 ,Z: 2.27447
Wrist Left:  X: 0.5547059 ,Y: 0.2605053 ,Z: 2.103109
Hand Left:  X: 0.602257 ,Y: 0.1781574 ,Z: 2.025806
Elbow Right:  X: 1.007798 ,Y: 0.3542632 ,Z: 2.369709
Wrist Right:  X: 1.030851 ,Y: 0.1411812 ,Z: 2.393164
Hand Right:  X: 1.03802 ,Y: 0.03568715 ,Z: 2.417148
--------------------------------------
Head:  X: 0.7187424 ,Y: 0.8092947 ,Z: 2.153236
Shoulder Center:  X: 0.7403342 ,Y: 0.6995589 ,Z: 2.259213
Shoulder Left:  X: 0.5765358 ,Y: 0.6326911 ,Z: 2.293116
Shoulder Right:  X: 0.9369614 ,Y: 0.6115081 ,Z: 2.281115
Spine:  X: 0.7693915 ,Y: 0.3895099 ,Z: 2.350011
Hip Center:  X: 0.775213 ,Y: 0.3274892 ,Z: 2.371346
Hip Left:  X: 0.7010873 ,Y: 0.2541837 ,Z: 2.392479
Hip Right:  X: 0.8640704 ,Y: 0.2445786 ,Z: 2.392659
Elbow Left:  X: 0.5339376 ,Y: 0.4246339 ,Z: 2.313939
Wrist Left:  X: 0.5477251 ,Y: 0.2364982 ,Z: 2.135665
Hand Left:  X: 0.581253 ,Y: 0.1497255 ,Z: 2.078722
Elbow Right:  X: 1.007118 ,Y: 0.3502213 ,Z: 2.370996
Wrist Right:  X: 1.034661 ,Y: 0.08546285 ,Z: 2.394051
Hand Right:  X: 1.03521 ,Y: 0.004972629 ,Z: 2.419862
--------------------------------------
Head:  X: 0.7095421 ,Y: 0.8139159 ,Z: 2.172584
Shoulder Center:  X: 0.7367541 ,Y: 0.7021649 ,Z: 2.280967
Shoulder Left:  X: 0.5701414 ,Y: 0.6321076 ,Z: 2.327193
Shoulder Right:  X: 0.9296677 ,Y: 0.6098256 ,Z: 2.296479
Spine:  X: 0.761133 ,Y: 0.3954182 ,Z: 2.364983
Hip Center:  X: 0.7659756 ,Y: 0.3340919 ,Z: 2.385266
Hip Left:  X: 0.6910102 ,Y: 0.2616287 ,Z: 2.407871
Hip Right:  X: 0.8533608 ,Y: 0.2507527 ,Z: 2.402805
Elbow Left:  X: 0.5323187 ,Y: 0.4075631 ,Z: 2.340204
Wrist Left:  X: 0.5274504 ,Y: 0.2274936 ,Z: 2.202413
Hand Left:  X: 0.5518905 ,Y: 0.1344075 ,Z: 2.143128
Elbow Right:  X: 1.006208 ,Y: 0.3472836 ,Z: 2.371161
Wrist Right:  X: 1.033165 ,Y: 0.08605085 ,Z: 2.382885
Hand Right:  X: 1.037619 ,Y: 0.002846494 ,Z: 2.389007
--------------------------------------
Head:  X: 0.7038773 ,Y: 0.8208514 ,Z: 2.191801
Shoulder Center:  X: 0.7305622 ,Y: 0.7054941 ,Z: 2.304327
Shoulder Left:  X: 0.5648062 ,Y: 0.6377962 ,Z: 2.345372
Shoulder Right:  X: 0.9197749 ,Y: 0.6099627 ,Z: 2.307506
Spine:  X: 0.7507449 ,Y: 0.4004388 ,Z: 2.380841
Hip Center:  X: 0.7548572 ,Y: 0.3394019 ,Z: 2.399548
Hip Left:  X: 0.680162 ,Y: 0.2683718 ,Z: 2.421908
Hip Right:  X: 0.8398864 ,Y: 0.255444 ,Z: 2.413652
Elbow Left:  X: 0.5247335 ,Y: 0.3969325 ,Z: 2.359175
Wrist Left:  X: 0.5135888 ,Y: 0.1872496 ,Z: 2.258204
Hand Left:  X: 0.5243671 ,Y: 0.1028949 ,Z: 2.216137
Elbow Right:  X: 0.9978718 ,Y: 0.3429387 ,Z: 2.366189
Wrist Right:  X: 1.0207 ,Y: 0.1053836 ,Z: 2.340301
Hand Right:  X: 1.029724 ,Y: 0.0203839 ,Z: 2.349753
--------------------------------------
Head:  X: 0.6920927 ,Y: 0.8299082 ,Z: 2.213357
Shoulder Center:  X: 0.7223245 ,Y: 0.7101507 ,Z: 2.318038
Shoulder Left:  X: 0.5508621 ,Y: 0.6496891 ,Z: 2.374038
Shoulder Right:  X: 0.906804 ,Y: 0.6119545 ,Z: 2.320043
Spine:  X: 0.7373116 ,Y: 0.4008804 ,Z: 2.394876
Hip Center:  X: 0.7401636 ,Y: 0.3389323 ,Z: 2.4135
Hip Left:  X: 0.6644755 ,Y: 0.2692744 ,Z: 2.436372
Hip Right:  X: 0.8230597 ,Y: 0.2533677 ,Z: 2.425755
Elbow Left:  X: 0.5137002 ,Y: 0.3956682 ,Z: 2.402755
Wrist Left:  X: 0.5018181 ,Y: 0.1648825 ,Z: 2.307054
Hand Left:  X: 0.492199 ,Y: 0.08882343 ,Z: 2.284731
Elbow Right:  X: 0.9835521 ,Y: 0.342112 ,Z: 2.364879
Wrist Right:  X: 1.019322 ,Y: 0.1066722 ,Z: 2.337452
Hand Right:  X: 1.02746 ,Y: 0.02424015 ,Z: 2.338311
--------------------------------------
Head:  X: 0.6761332 ,Y: 0.8361692 ,Z: 2.231029
Shoulder Center:  X: 0.705339 ,Y: 0.7177467 ,Z: 2.342109
Shoulder Left:  X: 0.5414749 ,Y: 0.6505935 ,Z: 2.390104
Shoulder Right:  X: 0.8924993 ,Y: 0.6181099 ,Z: 2.335225
Spine:  X: 0.7202083 ,Y: 0.4045209 ,Z: 2.411013
Hip Center:  X: 0.7231993 ,Y: 0.3419415 ,Z: 2.428076
Hip Left:  X: 0.6471044 ,Y: 0.2712889 ,Z: 2.452297
Hip Right:  X: 0.8064886 ,Y: 0.2567362 ,Z: 2.435548
Elbow Left:  X: 0.5009568 ,Y: 0.372124 ,Z: 2.433318
Wrist Left:  X: 0.4833434 ,Y: 0.1519902 ,Z: 2.369247
Hand Left:  X: 0.4701631 ,Y: 0.07953369 ,Z: 2.347666
Elbow Right:  X: 0.9669584 ,Y: 0.3556963 ,Z: 2.361778
Wrist Right:  X: 0.9982218 ,Y: 0.1149989 ,Z: 2.315244
Hand Right:  X: 1.00416 ,Y: 0.0306307 ,Z: 2.296161
--------------------------------------
Head:  X: 0.6577991 ,Y: 0.8479649 ,Z: 2.257349
Shoulder Center:  X: 0.6913808 ,Y: 0.7223902 ,Z: 2.356633
Shoulder Left:  X: 0.524668 ,Y: 0.656772 ,Z: 2.413601
Shoulder Right:  X: 0.8742595 ,Y: 0.6267547 ,Z: 2.350186
Spine:  X: 0.701829 ,Y: 0.4052109 ,Z: 2.423144
Hip Center:  X: 0.7037629 ,Y: 0.3417645 ,Z: 2.439636
Hip Left:  X: 0.6281324 ,Y: 0.2706802 ,Z: 2.462949
Hip Right:  X: 0.7841926 ,Y: 0.2573528 ,Z: 2.445415
Elbow Left:  X: 0.4923495 ,Y: 0.3625125 ,Z: 2.460145
Wrist Left:  X: 0.4644883 ,Y: 0.1354388 ,Z: 2.432283
Hand Left:  X: 0.4515892 ,Y: 0.06452847 ,Z: 2.411162
Elbow Right:  X: 0.9469073 ,Y: 0.3685637 ,Z: 2.360993
Wrist Right:  X: 0.9778942 ,Y: 0.1269836 ,Z: 2.303175
Hand Right:  X: 0.9893196 ,Y: 0.0423546 ,Z: 2.28469
--------------------------------------
Head:  X: 0.6419199 ,Y: 0.8533458 ,Z: 2.270552
Shoulder Center:  X: 0.6733009 ,Y: 0.7318214 ,Z: 2.375107
Shoulder Left:  X: 0.5036126 ,Y: 0.6673651 ,Z: 2.437078
Shoulder Right:  X: 0.8560109 ,Y: 0.6345068 ,Z: 2.36444
Spine:  X: 0.679785 ,Y: 0.4098292 ,Z: 2.436193
Hip Center:  X: 0.6809294 ,Y: 0.3454809 ,Z: 2.451616
Hip Left:  X: 0.6028767 ,Y: 0.2743026 ,Z: 2.475235
Hip Right:  X: 0.7613966 ,Y: 0.26001 ,Z: 2.45451
Elbow Left:  X: 0.4711801 ,Y: 0.3789767 ,Z: 2.503476
Wrist Left:  X: 0.4477358 ,Y: 0.149318 ,Z: 2.500014
Hand Left:  X: 0.4350603 ,Y: 0.07963669 ,Z: 2.479259
Elbow Right:  X: 0.9300895 ,Y: 0.3776015 ,Z: 2.364696
Wrist Right:  X: 0.9475862 ,Y: 0.1408262 ,Z: 2.284131
Hand Right:  X: 0.9471628 ,Y: 0.06034356 ,Z: 2.254982
--------------------------------------
Head:  X: 0.6181211 ,Y: 0.8636096 ,Z: 2.293062
Shoulder Center:  X: 0.6546749 ,Y: 0.739754 ,Z: 2.389828
Shoulder Left:  X: 0.4877723 ,Y: 0.6729996 ,Z: 2.453481
Shoulder Right:  X: 0.8320239 ,Y: 0.6454453 ,Z: 2.378788
Spine:  X: 0.6593186 ,Y: 0.4144632 ,Z: 2.447167
Hip Center:  X: 0.6602227 ,Y: 0.3494402 ,Z: 2.461768
Hip Left:  X: 0.5838283 ,Y: 0.2777445 ,Z: 2.484726
Hip Right:  X: 0.7384415 ,Y: 0.2652401 ,Z: 2.462806
Elbow Left:  X: 0.4466881 ,Y: 0.455816 ,Z: 2.521101
Wrist Left:  X: 0.439226 ,Y: 0.2224551 ,Z: 2.533025
Hand Left:  X: 0.4267027 ,Y: 0.1536106 ,Z: 2.51252
Elbow Right:  X: 0.9098506 ,Y: 0.3771058 ,Z: 2.367136
Wrist Right:  X: 0.9099267 ,Y: 0.1538808 ,Z: 2.273912
Hand Right:  X: 0.9238163 ,Y: 0.0695132 ,Z: 2.246579
--------------------------------------
Head:  X: 0.5966988 ,Y: 0.8716429 ,Z: 2.312103
Shoulder Center:  X: 0.6330995 ,Y: 0.7473198 ,Z: 2.403747
Shoulder Left:  X: 0.4601286 ,Y: 0.6776258 ,Z: 2.476457
Shoulder Right:  X: 0.8125997 ,Y: 0.6493038 ,Z: 2.387038
Spine:  X: 0.6384839 ,Y: 0.4232458 ,Z: 2.456885
Hip Center:  X: 0.6395281 ,Y: 0.3584376 ,Z: 2.470655
Hip Left:  X: 0.5634074 ,Y: 0.281673 ,Z: 2.495917
