Head:  X: -0.2910867 ,Y: 0.7151734 ,Z: 2.022775
Shoulder Center:  X: -0.3498697 ,Y: 0.5409529 ,Z: 2.073875
Shoulder Left:  X: -0.4904849 ,Y: 0.4882013 ,Z: 2.023377
Shoulder Right:  X: -0.1747905 ,Y: 0.5210274 ,Z: 2.123697
Spine:  X: -0.3495484 ,Y: 0.2715755 ,Z: 2.086162
Hip Center:  X: -0.3494841 ,Y: 0.2176999 ,Z: 2.091249
Hip Left:  X: -0.4204258 ,Y: 0.1352553 ,Z: 2.06963
Hip Right:  X: -0.2783633 ,Y: 0.1500271 ,Z: 2.115942
Elbow Left:  X: -0.5054238 ,Y: 0.6663948 ,Z: 1.868238
Wrist Left:  X: -0.5295095 ,Y: 0.4231912 ,Z: 1.91369
Hand Left:  X: -0.5652542 ,Y: 0.3724296 ,Z: 1.97644
Elbow Right:  X: -0.05453071 ,Y: 0.6717708 ,Z: 2.012928
Wrist Right:  X: -0.05120241 ,Y: 0.8645751 ,Z: 1.90982
Hand Right:  X: -0.05111184 ,Y: 0.9275661 ,Z: 1.879796
Knee Left:  X: -0.3429543 ,Y: -0.2135941 ,Z: 1.813602
Ankle Left:  X: -0.3402444 ,Y: -0.566302 ,Z: 1.956812
Knee Right:  X: -0.1311152 ,Y: -0.2060438 ,Z: 1.89817
Ankle Right:  X: -0.2368954 ,Y: -0.5546334 ,Z: 1.985586
--------------------------------------
Head:  X: -0.2920661 ,Y: 0.7140781 ,Z: 1.889257
Shoulder Center:  X: -0.2957507 ,Y: 0.5248452 ,Z: 1.930564
Shoulder Left:  X: -0.4553954 ,Y: 0.411799 ,Z: 1.938576
Shoulder Right:  X: -0.1355717 ,Y: 0.4645554 ,Z: 1.998203
Spine:  X: -0.3142216 ,Y: 0.2688149 ,Z: 2.026059
Hip Center:  X: -0.3172948 ,Y: 0.2181404 ,Z: 2.045494
Hip Left:  X: -0.3977434 ,Y: 0.1458016 ,Z: 2.046191
Hip Right:  X: -0.2448213 ,Y: 0.1485639 ,Z: 2.088302
Elbow Left:  X: -0.4036815 ,Y: 0.450089 ,Z: 1.672604
Wrist Left:  X: -0.4735233 ,Y: 0.3823132 ,Z: 1.822469
Hand Left:  X: -0.4968039 ,Y: 0.3597212 ,Z: 1.875909
Elbow Right:  X: -0.02524167 ,Y: 0.5001221 ,Z: 1.786355
Wrist Right:  X: -0.1383571 ,Y: 0.5489439 ,Z: 1.621503
Hand Right:  X: -0.1582091 ,Y: 0.6003698 ,Z: 1.583768
Knee Left:  X: -0.3444296 ,Y: -0.2196933 ,Z: 1.806741
Ankle Left:  X: -0.3365802 ,Y: -0.5708407 ,Z: 1.958068
Knee Right:  X: -0.09321733 ,Y: -0.2195225 ,Z: 1.930191
