Head:  X: 0.3106379 ,Y: 0.5529291 ,Z: 1.950197
Shoulder Center:  X: 0.2963152 ,Y: 0.3867351 ,Z: 2.04532
Shoulder Left:  X: 0.1271155 ,Y: 0.2969255 ,Z: 2.005245
Shoulder Right:  X: 0.487388 ,Y: 0.3742148 ,Z: 2.14063
Spine:  X: 0.3210296 ,Y: 0.1085956 ,Z: 2.080953
Hip Center:  X: 0.3259725 ,Y: 0.05296772 ,Z: 2.090867
Hip Left:  X: 0.2524317 ,Y: -0.04905893 ,Z: 2.078994
Hip Right:  X: 0.4145543 ,Y: -0.01427874 ,Z: 2.120057
Elbow Left:  X: -0.1017233 ,Y: 0.3020872 ,Z: 1.868169
Wrist Left:  X: -0.2866441 ,Y: 0.3504935 ,Z: 1.679584
Hand Left:  X: -0.3550304 ,Y: 0.3818459 ,Z: 1.62643
Elbow Right:  X: 0.7350624 ,Y: 0.4826827 ,Z: 2.170455
Wrist Right:  X: 0.9243542 ,Y: 0.6058549 ,Z: 2.157042
Hand Right:  X: 0.9874514 ,Y: 0.6469123 ,Z: 2.156371
Knee Left:  X: 0.2590521 ,Y: -0.3085441 ,Z: 1.764466
Ankle Left:  X: 0.261064 ,Y: -0.638104 ,Z: 1.779273
Knee Right:  X: 0.5246854 ,Y: -0.3084826 ,Z: 1.845359
Ankle Right:  X: 0.5395483 ,Y: -0.6456383 ,Z: 1.844737
--------------------------------------
Head:  X: 0.2882227 ,Y: 0.5162549 ,Z: 1.803035
Shoulder Center:  X: 0.263205 ,Y: 0.334999 ,Z: 1.901297
Shoulder Left:  X: 0.1328136 ,Y: 0.2340066 ,Z: 1.886639
Shoulder Right:  X: 0.4595577 ,Y: 0.3371123 ,Z: 2.058635
Spine:  X: 0.3109531 ,Y: 0.07318403 ,Z: 2.008896
Hip Center:  X: 0.3201001 ,Y: 0.02043235 ,Z: 2.032844
Hip Left:  X: 0.2565739 ,Y: -0.06502844 ,Z: 2.043471
Hip Right:  X: 0.4083341 ,Y: -0.04371655 ,Z: 2.076513
Elbow Left:  X: -0.08582985 ,Y: 0.07817685 ,Z: 1.820876
Wrist Left:  X: -0.2518268 ,Y: -0.04021683 ,Z: 1.718664
Hand Left:  X: -0.3437288 ,Y: -0.08670399 ,Z: 1.672168
Elbow Right:  X: 0.6329306 ,Y: 0.4166482 ,Z: 2.184466
Wrist Right:  X: 0.8291591 ,Y: 0.5106505 ,Z: 2.315425
Hand Right:  X: 0.8770105 ,Y: 0.5556058 ,Z: 2.330438
Knee Left:  X: 0.251596 ,Y: -0.3111649 ,Z: 1.759285
Ankle Left:  X: 0.2525045 ,Y: -0.6428656 ,Z: 1.783557
Knee Right:  X: 0.5248675 ,Y: -0.3173793 ,Z: 1.844346
Ankle Right:  X: 0.5378978 ,Y: -0.6506953 ,Z: 1.85147
--------------------------------------
Head:  X: 0.2546905 ,Y: 0.4770272 ,Z: 1.707078
Shoulder Center:  X: 0.241541 ,Y: 0.2914559 ,Z: 1.813597
Shoulder Left:  X: 0.1148389 ,Y: 0.1864557 ,Z: 1.81167
Shoulder Right:  X: 0.4339161 ,Y: 0.3332405 ,Z: 1.925754
Spine:  X: 0.3000391 ,Y: 0.06054876 ,Z: 1.930124
Hip Center:  X: 0.3120466 ,Y: 0.01576519 ,Z: 1.957379
Hip Left:  X: 0.259782 ,Y: -0.07269548 ,Z: 1.972857
Hip Right:  X: 0.4012129 ,Y: -0.03789818 ,Z: 2.018227
Elbow Left:  X: -0.0185573 ,Y: 0.01781431 ,Z: 1.784518
Wrist Left:  X: -0.1251707 ,Y: -0.1285182 ,Z: 1.657265
Hand Left:  X: -0.1723704 ,Y: -0.1809477 ,Z: 1.56892
Elbow Right:  X: 0.6641806 ,Y: 0.4391305 ,Z: 1.929818
Wrist Right:  X: 0.8200016 ,Y: 0.5598144 ,Z: 1.777374
Hand Right:  X: 0.8690798 ,Y: 0.6147482 ,Z: 1.749721
Knee Left:  X: 0.2587269 ,Y: -0.3282953 ,Z: 1.750772
Ankle Left:  X: 0.259178 ,Y: -0.6466495 ,Z: 1.782949
Knee Right:  X: 0.5076377 ,Y: -0.3325379 ,Z: 1.821066
Ankle Right:  X: 0.5352453 ,Y: -0.6553476 ,Z: 1.845169
--------------------------------------
Head:  X: 0.3715247 ,Y: 0.5868393 ,Z: 2.042709
Shoulder Center:  X: 0.3582975 ,Y: 0.4036812 ,Z: 2.097986
Shoulder Left:  X: 0.2026338 ,Y: 0.2477691 ,Z: 2.04613
Shoulder Right:  X: 0.5205386 ,Y: 0.2863994 ,Z: 2.090719
Spine:  X: 0.351289 ,Y: 0.0685928 ,Z: 2.094126
Hip Center:  X: 0.3514829 ,Y: 0.003234595 ,Z: 2.08842
Hip Left:  X: 0.2754753 ,Y: -0.06726032 ,Z: 2.081488
Hip Right:  X: 0.4279416 ,Y: -0.06821766 ,Z: 2.094384
Elbow Left:  X: 0.09768996 ,Y: 0.1281499 ,Z: 1.887887
Wrist Left:  X: 0.168781 ,Y: 0.2577101 ,Z: 1.732772
Hand Left:  X: 0.1699258 ,Y: 0.2794401 ,Z: 1.70884
Elbow Right:  X: 0.5403519 ,Y: 0.09008561 ,Z: 1.960039
Wrist Right:  X: 0.6068538 ,Y: 0.2287765 ,Z: 1.733092
Hand Right:  X: 0.5865258 ,Y: 0.2400432 ,Z: 1.734674
Knee Left:  X: 0.2587609 ,Y: -0.311442 ,Z: 1.76642
Ankle Left:  X: 0.2568507 ,Y: -0.6470867 ,Z: 1.787081
Knee Right:  X: 0.523637 ,Y: -0.3317789 ,Z: 1.837726
Ankle Right:  X: 0.5361797 ,Y: -0.6547461 ,Z: 1.850821
--------------------------------------
Head:  X: 0.4306627 ,Y: 0.6049432 ,Z: 2.137398
Shoulder Center:  X: 0.3939514 ,Y: 0.4100589 ,Z: 2.149285
Shoulder Left:  X: 0.2092725 ,Y: 0.2885559 ,Z: 2.113579
Shoulder Right:  X: 0.5529681 ,Y: 0.2776961 ,Z: 2.195346
Spine:  X: 0.3665739 ,Y: 0.08027478 ,Z: 2.163028
Hip Center:  X: 0.3703591 ,Y: 0.01720061 ,Z: 2.129549
Hip Left:  X: 0.2855102 ,Y: -0.05256509 ,Z: 2.102894
Hip Right:  X: 0.4461437 ,Y: -0.07323589 ,Z: 2.141827
Elbow Left:  X: 0.1645016 ,Y: 0.1359485 ,Z: 1.976132
Wrist Left:  X: 0.2659732 ,Y: 0.309736 ,Z: 1.839776
Hand Left:  X: 0.2699346 ,Y: 0.3339588 ,Z: 1.815497
Elbow Right:  X: 0.5736887 ,Y: 0.09012976 ,Z: 2.093388
Wrist Right:  X: 0.5959082 ,Y: 0.2683492 ,Z: 1.972923
Hand Right:  X: 0.5936012 ,Y: 0.3370079 ,Z: 1.911718
Knee Left:  X: 0.2571234 ,Y: -0.3023452 ,Z: 1.774786
Ankle Left:  X: 0.2591626 ,Y: -0.6490303 ,Z: 1.788306
Knee Right:  X: 0.5280697 ,Y: -0.3300323 ,Z: 1.842302
Ankle Right:  X: 0.5374173 ,Y: -0.6546011 ,Z: 1.852741
--------------------------------------
Head:  X: 0.3787179 ,Y: 0.5952348 ,Z: 2.074865
Shoulder Center:  X: 0.3629293 ,Y: 0.4109721 ,Z: 2.118756
Shoulder Left:  X: 0.1842178 ,Y: 0.2845717 ,Z: 2.092431
Shoulder Right:  X: 0.525161 ,Y: 0.2818557 ,Z: 2.15626
Spine:  X: 0.3565096 ,Y: 0.08640227 ,Z: 2.139101
Hip Center:  X: 0.3596963 ,Y: 0.02185363 ,Z: 2.120995
Hip Left:  X: 0.2790782 ,Y: -0.051848 ,Z: 2.099834
Hip Right:  X: 0.4379194 ,Y: -0.0648507 ,Z: 2.136211
Elbow Left:  X: 0.1686926 ,Y: 0.1257044 ,Z: 1.967789
Wrist Left:  X: 0.241498 ,Y: 0.3105232 ,Z: 1.818274
Hand Left:  X: 0.2455939 ,Y: 0.3077638 ,Z: 1.821448
Elbow Right:  X: 0.556394 ,Y: 0.09693404 ,Z: 2.086654
Wrist Right:  X: 0.557305 ,Y: 0.2719105 ,Z: 1.961377
Hand Right:  X: 0.5562886 ,Y: 0.3316361 ,Z: 1.9008
Knee Left:  X: 0.2529757 ,Y: -0.3079829 ,Z: 1.770036
Ankle Left:  X: 0.2562388 ,Y: -0.6493133 ,Z: 1.788982
Knee Right:  X: 0.5280977 ,Y: -0.3286608 ,Z: 1.84146
Ankle Right:  X: 0.5375586 ,Y: -0.6528722 ,Z: 1.849206
--------------------------------------
Head:  X: 0.374826 ,Y: 0.5929664 ,Z: 2.059488
Shoulder Center:  X: 0.3581579 ,Y: 0.4088581 ,Z: 2.111652
Shoulder Left:  X: 0.1805021 ,Y: 0.2859527 ,Z: 2.089523
Shoulder Right:  X: 0.5222577 ,Y: 0.286608 ,Z: 2.149088
Spine:  X: 0.3561594 ,Y: 0.08786023 ,Z: 2.123851
Hip Center:  X: 0.3576533 ,Y: 0.02390434 ,Z: 2.117799
Hip Left:  X: 0.2778951 ,Y: -0.05084069 ,Z: 2.099031
Hip Right:  X: 0.436723 ,Y: -0.06038575 ,Z: 2.133398
Elbow Left:  X: 0.1684674 ,Y: 0.1303069 ,Z: 1.964918
Wrist Left:  X: 0.2427785 ,Y: 0.3001654 ,Z: 1.823275
Hand Left:  X: 0.2409099 ,Y: 0.3058115 ,Z: 1.816152
Elbow Right:  X: 0.552906 ,Y: 0.09914353 ,Z: 2.080575
Wrist Right:  X: 0.5519274 ,Y: 0.2703811 ,Z: 1.952041
Hand Right:  X: 0.5516973 ,Y: 0.3266721 ,Z: 1.889213
Knee Left:  X: 0.2523789 ,Y: -0.309554 ,Z: 1.768809
Ankle Left:  X: 0.2566429 ,Y: -0.6501727 ,Z: 1.789996
Knee Right:  X: 0.5275233 ,Y: -0.3287775 ,Z: 1.8421
Ankle Right:  X: 0.5363326 ,Y: -0.6534127 ,Z: 1.852166
--------------------------------------
Head:  X: 0.3732139 ,Y: 0.5840865 ,Z: 2.05584
Shoulder Center:  X: 0.3568706 ,Y: 0.4030575 ,Z: 2.108843
Shoulder Left:  X: 0.1791961 ,Y: 0.2843241 ,Z: 2.089295
Shoulder Right:  X: 0.5181118 ,Y: 0.286434 ,Z: 2.146513
