Head:  X: 0.2088476 ,Y: 0.4430728 ,Z: 1.710517
Shoulder Center:  X: 0.1698166 ,Y: 0.260526 ,Z: 1.806819
Shoulder Left:  X: 0.02026397 ,Y: 0.1902725 ,Z: 1.806823
Shoulder Right:  X: 0.3645196 ,Y: 0.2083719 ,Z: 1.911477
Spine:  X: 0.1864799 ,Y: 0.008361265 ,Z: 1.933508
Hip Center:  X: 0.1898125 ,Y: -0.04207169 ,Z: 1.961588
Hip Left:  X: 0.1171252 ,Y: -0.1183318 ,Z: 1.976077
Hip Right:  X: 0.2720402 ,Y: -0.110187 ,Z: 2.015589
Elbow Left:  X: -0.04159603 ,Y: -0.03319892 ,Z: 1.842494
Wrist Left:  X: -0.04774772 ,Y: -0.2720565 ,Z: 1.833323
Hand Left:  X: -0.03365591 ,Y: -0.4324497 ,Z: 1.830594
Elbow Right:  X: 0.5311348 ,Y: 0.07389882 ,Z: 1.995525
Wrist Right:  X: 0.6757071 ,Y: -0.1159474 ,Z: 1.971966
Hand Right:  X: 0.7558496 ,Y: -0.2557295 ,Z: 1.96134
Knee Left:  X: 0.1285152 ,Y: -0.3387479 ,Z: 1.702963
Ankle Left:  X: 0.1733617 ,Y: -0.6267833 ,Z: 1.71418
Knee Right:  X: 0.3808234 ,Y: -0.328429 ,Z: 1.781533
Ankle Right:  X: 0.3758796 ,Y: -0.6490035 ,Z: 1.789955
--------------------------------------
Head:  X: 0.1979769 ,Y: 0.5488762 ,Z: 1.882943
Shoulder Center:  X: 0.1578603 ,Y: 0.3560864 ,Z: 1.92957
Shoulder Left:  X: 0.00529979 ,Y: 0.2683842 ,Z: 1.907785
Shoulder Right:  X: 0.3590259 ,Y: 0.2638814 ,Z: 2.015442
Spine:  X: 0.1603857 ,Y: 0.06952256 ,Z: 2.008648
Hip Center:  X: 0.1609671 ,Y: 0.01223775 ,Z: 2.027607
Hip Left:  X: 0.0829844 ,Y: -0.06620629 ,Z: 2.030677
Hip Right:  X: 0.2409602 ,Y: -0.06934759 ,Z: 2.065523
Elbow Left:  X: -0.117498 ,Y: 0.1123981 ,Z: 1.780649
