Head:  X: 0.2514026 ,Y: 0.5417441 ,Z: 2.141166
Shoulder Center:  X: 0.2236667 ,Y: 0.3614919 ,Z: 2.169998
Shoulder Left:  X: 0.08614942 ,Y: 0.2645824 ,Z: 2.144297
Shoulder Right:  X: 0.3690584 ,Y: 0.2832232 ,Z: 2.194309
Spine:  X: 0.2249836 ,Y: 0.08628651 ,Z: 2.178519
Hip Center:  X: 0.227695 ,Y: 0.03178205 ,Z: 2.168784
Hip Left:  X: 0.1648409 ,Y: -0.03792243 ,Z: 2.151311
Hip Right:  X: 0.2921499 ,Y: -0.02953409 ,Z: 2.181532
Elbow Left:  X: 0.0103439 ,Y: 0.09082249 ,Z: 2.257688
Wrist Left:  X: -0.006303208 ,Y: -0.1354212 ,Z: 2.196748
Hand Left:  X: -0.01185224 ,Y: -0.2108358 ,Z: 2.179994
Elbow Right:  X: 0.4189661 ,Y: 0.05670148 ,Z: 2.159681
Wrist Right:  X: 0.4459029 ,Y: -0.01469531 ,Z: 1.944648
Hand Right:  X: 0.4528103 ,Y: -0.03627473 ,Z: 1.866816
Knee Left:  X: 0.1818577 ,Y: -0.2908241 ,Z: 1.843008
Ankle Left:  X: 0.2150594 ,Y: -0.5519589 ,Z: 1.71497
Knee Right:  X: 0.4047369 ,Y: -0.3140042 ,Z: 1.887111
Ankle Right:  X: 0.4544151 ,Y: -0.5991352 ,Z: 1.817846
--------------------------------------
Head:  X: 0.2441724 ,Y: 0.5257864 ,Z: 2.091124
Shoulder Center:  X: 0.2202048 ,Y: 0.3481601 ,Z: 2.136335
Shoulder Left:  X: 0.07641483 ,Y: 0.2580305 ,Z: 2.126031
Shoulder Right:  X: 0.3604984 ,Y: 0.270467 ,Z: 2.142704
Spine:  X: 0.2260728 ,Y: 0.08273847 ,Z: 2.160593
Hip Center:  X: 0.2274736 ,Y: 0.02925118 ,Z: 2.162112
Hip Left:  X: 0.1646695 ,Y: -0.03951864 ,Z: 2.150719
Hip Right:  X: 0.2932583 ,Y: -0.03202965 ,Z: 2.17669
Elbow Left:  X: 0.007584475 ,Y: 0.0854004 ,Z: 2.245511
Wrist Left:  X: 0.06226762 ,Y: -0.07185578 ,Z: 2.072211
Hand Left:  X: 0.1372505 ,Y: -0.05107109 ,Z: 2.046494
Elbow Right:  X: 0.4221818 ,Y: 0.04814914 ,Z: 2.153129
Wrist Right:  X: 0.4676938 ,Y: -0.0104585 ,Z: 1.921891
