Head:  X: 0.1853132 ,Y: 0.59266 ,Z: 2.24337
Shoulder Center:  X: 0.161416 ,Y: 0.3920423 ,Z: 2.300021
Shoulder Left:  X: -0.01215835 ,Y: 0.3003882 ,Z: 2.268649
Shoulder Right:  X: 0.3330997 ,Y: 0.2901055 ,Z: 2.339493
Spine:  X: 0.1124379 ,Y: 0.1813942 ,Z: 2.312712
Hip Center:  X: 0.109637 ,Y: 0.1416965 ,Z: 2.284839
Hip Left:  X: 0.01591164 ,Y: 0.06644716 ,Z: 2.258233
Hip Right:  X: 0.1712778 ,Y: 0.06181995 ,Z: 2.29361
Elbow Left:  X: -0.2147317 ,Y: 0.2734475 ,Z: 2.098591
Wrist Left:  X: -0.07795212 ,Y: 0.03595722 ,Z: 2.037619
Hand Left:  X: -0.03235893 ,Y: -0.04320623 ,Z: 2.021828
Elbow Right:  X: 0.557285 ,Y: 0.2346478 ,Z: 2.350933
Wrist Right:  X: 0.7176219 ,Y: 0.3661858 ,Z: 2.15201
Hand Right:  X: 0.7573525 ,Y: 0.4070863 ,Z: 2.102744
Knee Left:  X: 0.1015766 ,Y: -0.192869 ,Z: 1.733776
Ankle Left:  X: -0.02531315 ,Y: -0.3979983 ,Z: 1.488661
Knee Right:  X: 0.1169602 ,Y: -0.1668058 ,Z: 1.75054
Ankle Right:  X: 0.3418651 ,Y: -0.3572038 ,Z: 2.050928
--------------------------------------
Head:  X: 0.1395391 ,Y: 0.6058764 ,Z: 2.336595
Shoulder Center:  X: 0.1379878 ,Y: 0.3946711 ,Z: 2.362829
Shoulder Left:  X: -0.03883548 ,Y: 0.3162823 ,Z: 2.323169
Shoulder Right:  X: 0.3103215 ,Y: 0.3115229 ,Z: 2.356002
Spine:  X: 0.0939105 ,Y: 0.1957089 ,Z: 2.368936
Hip Center:  X: 0.08858498 ,Y: 0.1641237 ,Z: 2.330083
Hip Left:  X: -0.0001236356 ,Y: 0.1017002 ,Z: 2.304234
Hip Right:  X: 0.1441267 ,Y: 0.0785113 ,Z: 2.326969
Elbow Left:  X: -0.1631559 ,Y: 0.5094702 ,Z: 2.151298
Wrist Left:  X: -0.1366273 ,Y: 0.7354629 ,Z: 2.030457
Hand Left:  X: -0.115042 ,Y: 0.7991418 ,Z: 2.011197
Elbow Right:  X: 0.5234196 ,Y: 0.5007017 ,Z: 2.261558
Wrist Right:  X: 0.5175046 ,Y: 0.7802731 ,Z: 2.181281
Hand Right:  X: 0.5409636 ,Y: 0.8458917 ,Z: 2.187258
Knee Left:  X: 0.005499736 ,Y: -0.2535656 ,Z: 2.006625
Ankle Left:  X: 0.1784084 ,Y: -0.4875134 ,Z: 1.644063
Knee Right:  X: 0.3076051 ,Y: -0.1771149 ,Z: 1.777984
Ankle Right:  X: 0.4885285 ,Y: -0.3626834 ,Z: 2.1153
--------------------------------------
Head:  X: 0.155598 ,Y: 0.5938433 ,Z: 2.195114
Shoulder Center:  X: 0.1419795 ,Y: 0.4081173 ,Z: 2.327557
Shoulder Left:  X: -0.005918064 ,Y: 0.3118203 ,Z: 2.300278
Shoulder Right:  X: 0.2998293 ,Y: 0.3373369 ,Z: 2.329069
Spine:  X: 0.1327562 ,Y: 0.3697018 ,Z: 2.337784
Hip Center:  X: 0.1300825 ,Y: 0.3683758 ,Z: 2.320283
Hip Left:  X: 0.03425043 ,Y: 0.2803005 ,Z: 2.297848
Hip Right:  X: 0.1680784 ,Y: 0.3249551 ,Z: 2.300897
Elbow Left:  X: -0.1631787 ,Y: 0.4565015 ,Z: 2.188103
Wrist Left:  X: -0.05315436 ,Y: 0.5869417 ,Z: 2.030394
Hand Left:  X: -0.02663596 ,Y: 0.649869 ,Z: 2.030392
Elbow Right:  X: 0.4586397 ,Y: 0.5338792 ,Z: 2.196343
Wrist Right:  X: 0.407859 ,Y: 0.3366401 ,Z: 2.278956
Hand Right:  X: 0.3985959 ,Y: 0.3357093 ,Z: 2.278222
Knee Left:  X: 0.0124761 ,Y: -0.1038781 ,Z: 1.877601
Ankle Left:  X: 0.02473925 ,Y: -0.5643885 ,Z: 1.579054
Knee Right:  X: 0.2985922 ,Y: -0.08638448 ,Z: 1.930406
Ankle Right:  X: 0.3931485 ,Y: -0.5612718 ,Z: 1.637346
--------------------------------------
Head:  X: 0.1640882 ,Y: 0.5975929 ,Z: 2.24495
Shoulder Center:  X: 0.1436642 ,Y: 0.3923633 ,Z: 2.289965
Shoulder Left:  X: -0.02308593 ,Y: 0.3323319 ,Z: 2.264047
Shoulder Right:  X: 0.3228329 ,Y: 0.3096342 ,Z: 2.299967
Spine:  X: 0.1086797 ,Y: 0.2035302 ,Z: 2.295137
Hip Center:  X: 0.1065474 ,Y: 0.1720016 ,Z: 2.256459
Hip Left:  X: 0.02266107 ,Y: 0.1140394 ,Z: 2.240793
Hip Right:  X: 0.1648772 ,Y: 0.07628191 ,Z: 2.239411
Elbow Left:  X: -0.1910907 ,Y: 0.4794877 ,Z: 2.080919
Wrist Left:  X: -0.3052127 ,Y: 0.6810038 ,Z: 1.885557
Hand Left:  X: -0.3381288 ,Y: 0.726266 ,Z: 1.853469
Elbow Right:  X: 0.5885482 ,Y: 0.4271112 ,Z: 2.218947
Wrist Right:  X: 0.4383563 ,Y: 0.2825459 ,Z: 2.276574
Hand Right:  X: 0.3997018 ,Y: 0.239919 ,Z: 2.305739
Knee Left:  X: 0.001998369 ,Y: -0.2039722 ,Z: 1.782977
Ankle Left:  X: 0.02256431 ,Y: -0.5610223 ,Z: 1.57303
Knee Right:  X: 0.3411297 ,Y: -0.2317531 ,Z: 1.809748
Ankle Right:  X: 0.3875275 ,Y: -0.5654828 ,Z: 1.62573
--------------------------------------
Head:  X: 0.1397976 ,Y: 0.6008244 ,Z: 2.225859
Shoulder Center:  X: 0.1343953 ,Y: 0.3589279 ,Z: 2.266882
Shoulder Left:  X: -0.03193827 ,Y: 0.2946463 ,Z: 2.252586
Shoulder Right:  X: 0.2980344 ,Y: 0.2850459 ,Z: 2.284149
Spine:  X: 0.1053216 ,Y: 0.1681554 ,Z: 2.282469
Hip Center:  X: 0.1038266 ,Y: 0.1335448 ,Z: 2.246767
Hip Left:  X: 0.0238833 ,Y: 0.06759225 ,Z: 2.222001
Hip Right:  X: 0.1592927 ,Y: 0.04968407 ,Z: 2.253051
Elbow Left:  X: -0.1251364 ,Y: 0.1015398 ,Z: 2.156749
Wrist Left:  X: 0.04902032 ,Y: 0.05729038 ,Z: 1.910704
Hand Left:  X: 0.08868955 ,Y: 0.05657613 ,Z: 1.875427
Elbow Right:  X: 0.4791809 ,Y: 0.1167241 ,Z: 2.221255
Wrist Right:  X: 0.3718226 ,Y: 0.08041344 ,Z: 1.937089
Hand Right:  X: 0.369207 ,Y: 0.06322978 ,Z: 1.892793
Knee Left:  X: 0.03712876 ,Y: -0.184491 ,Z: 1.718941
Ankle Left:  X: 0.1074695 ,Y: -0.5719088 ,Z: 1.665043
Knee Right:  X: 0.2607273 ,Y: -0.1997669 ,Z: 1.758992
Ankle Right:  X: 0.2851072 ,Y: -0.5202398 ,Z: 1.552035
--------------------------------------
Head:  X: 0.1404478 ,Y: 0.5694 ,Z: 2.206394
Shoulder Center:  X: 0.1314785 ,Y: 0.3133478 ,Z: 2.235286
Shoulder Left:  X: -0.02842666 ,Y: 0.2759542 ,Z: 2.239794
Shoulder Right:  X: 0.3212259 ,Y: 0.2884702 ,Z: 2.285006
Spine:  X: 0.1179009 ,Y: 0.1323116 ,Z: 2.243475
Hip Center:  X: 0.1195394 ,Y: 0.1008299 ,Z: 2.20951
Hip Left:  X: 0.05287091 ,Y: 0.03643604 ,Z: 2.183333
Hip Right:  X: 0.1725366 ,Y: 0.006165166 ,Z: 2.206265
Elbow Left:  X: -0.07483438 ,Y: 0.05210798 ,Z: 2.21862
Wrist Left:  X: -0.07065483 ,Y: -0.06840653 ,Z: 2.032691
Hand Left:  X: -0.05407382 ,Y: -0.06539325 ,Z: 1.970518
Elbow Right:  X: 0.4155905 ,Y: 0.0844312 ,Z: 2.301705
Wrist Right:  X: 0.4410266 ,Y: 0.0274933 ,Z: 2.009926
Hand Right:  X: 0.4462213 ,Y: 0.03190896 ,Z: 1.976545
Knee Left:  X: 0.007296167 ,Y: -0.1568026 ,Z: 1.812054
Ankle Left:  X: 0.08286408 ,Y: -0.5152991 ,Z: 1.62365
Knee Right:  X: 0.1942918 ,Y: -0.05946403 ,Z: 1.663634
Ankle Right:  X: 0.1256729 ,Y: -0.2768104 ,Z: 1.452005
--------------------------------------
Head:  X: 0.183952 ,Y: 0.5924528 ,Z: 2.198276
Shoulder Center:  X: 0.1491788 ,Y: 0.3796714 ,Z: 2.239876
Shoulder Left:  X: -0.02218425 ,Y: 0.2854233 ,Z: 2.237918
Shoulder Right:  X: 0.3361166 ,Y: 0.2738672 ,Z: 2.280947
Spine:  X: 0.1499433 ,Y: 0.1462917 ,Z: 2.244279
Hip Center:  X: 0.1530208 ,Y: 0.1021305 ,Z: 2.211735
Hip Left:  X: 0.08267784 ,Y: 0.04186963 ,Z: 2.225365
Hip Right:  X: 0.2298607 ,Y: -0.009583602 ,Z: 2.168303
Elbow Left:  X: -0.08519901 ,Y: 0.05935093 ,Z: 2.234177
Wrist Left:  X: -0.07073865 ,Y: -0.02540031 ,Z: 1.953961
Hand Left:  X: -0.06080072 ,Y: -0.06208691 ,Z: 1.890278
Elbow Right:  X: 0.4061595 ,Y: 0.06445923 ,Z: 2.301289
Wrist Right:  X: 0.457237 ,Y: -0.01043995 ,Z: 2.102394
Hand Right:  X: 0.4698625 ,Y: 0.01608345 ,Z: 1.962939
Knee Left:  X: 0.01723758 ,Y: -0.2349493 ,Z: 1.937538
Ankle Left:  X: 0.1156535 ,Y: -0.5630257 ,Z: 1.682057
Knee Right:  X: 0.1943298 ,Y: -0.1621073 ,Z: 1.711581
Ankle Right:  X: 0.197904 ,Y: -0.4539962 ,Z: 1.595442
--------------------------------------
Head:  X: 0.1959335 ,Y: 0.593733 ,Z: 2.181863
Shoulder Center:  X: 0.1551448 ,Y: 0.3607827 ,Z: 2.223259
Shoulder Left:  X: -0.01193933 ,Y: 0.2986957 ,Z: 2.222419
Shoulder Right:  X: 0.3436839 ,Y: 0.2763637 ,Z: 2.272547
Spine:  X: 0.1528876 ,Y: 0.1360584 ,Z: 2.234433
Hip Center:  X: 0.1574251 ,Y: 0.09477376 ,Z: 2.203543
Hip Left:  X: 0.08111331 ,Y: 0.04273112 ,Z: 2.214526
Hip Right:  X: 0.2333168 ,Y: -0.01436193 ,Z: 2.171539
